TrialNumber,Eccentricity,ReactionTime_s_
1,-40,0.4975782
2,0,0.354346
3,-30,0.3700561
4,-10,0.3252946
5,0,0.3215475
6,0,0.252368
7,-30,0.3297778
8,-20,0.2783739
9,-10,0.2772589
10,0,0.2901295
11,0,0.322408
12,-40,0.2904359
13,-10,0.3573425
14,-10,0.3790494
15,0,0.4123396
16,-40,0.4402677
17,-30,0.5613836
18,-40,0.4905717
19,-10,0.3268588
20,-30,0.3561021
21,-10,0.2499992
22,-30,0.525444
23,-20,0.6145723
24,-40,0.3612685
25,0,0.5744373
26,-30,0.4071481
27,-20,0.3926065
28,-20,0.3741029
29,0,0.352053
30,-30,0.3296436
31,0,0.3107675
32,-10,0.3685986
33,-10,0.3418013
34,-40,0.3890133
35,-40,0.4810608
36,-20,0.4160613
37,0,0.7283137
38,-10,0.3279989
39,-30,0.4404617
40,-10,0.3696126
41,-30,0.209265
42,-20,0.4250999
43,-10,0.2399374
44,-40,0.5243584
45,-40,0.4900295
46,0,0.3652492
47,-40,0.3535781
48,-20,0.3282694
49,-20,0.2722042
50,-30,0.3377565
51,0,0.3309643
52,-30,0.3923355
53,-30,0.6580688
54,-20,0.4323937
55,-10,0.3183084
56,-20,0.3782922
57,-40,0.3955522
58,0,0.5460308
59,-20,0.3895507
60,-40,0.3759868
61,-10,0.556696
62,-20,0.419546
63,-10,0.4613472
64,-40,0.5324618
65,-30,0.3969849
66,-30,0.3424035
67,0,0.3338717
68,-10,0.3352626
69,-10,0.3500187
70,-20,0.3535359
71,-40,0.4238197
72,-30,0.4063423
73,0,0.3033063
74,-20,0.4021738
75,-20,0.6115817
76,-10,0.2663753
77,-40,0.3309769
78,-10,0.4748599
79,0,0.4568054
80,-20,0.40026
81,-20,0.4406557
82,-40,0.4114158
83,-30,0.5412813
84,0,0.4031033
85,-30,0.3405192
86,-30,0.4173852
87,-20,0.7216496
88,-30,0.2369917
89,-40,0.2797698
90,-20,0.2209694
91,-10,0.2798275
92,0,0.3720403
93,0,0.3716497
94,-10,0.2188224
95,-30,0.2348262
96,-40,0.366436
97,-40,0.3436094
98,-20,0.3421216
99,-10,0.3713901
100,0,0.334437
101,-40,0.72036
102,0,0.3649497
103,-30,0.2894035
104,-10,0.255055
105,-20,0.3023367
106,0,0.3093959
107,0,0.314329
108,-30,0.4686763
109,-40,0.4106442
110,-30,0.3720941
111,0,0.3978498
112,-10,0.2736559
113,-40,0.4577894
114,0,0.317382
115,-40,0.3569308
116,0,0.423622
117,-40,0.4820637
