TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.4172669
2,30,0.3757429
3,30,0.3785333
4,40,0.5149044
5,20,0.4201908
6,10,0.4955924
7,20,0.3865179
8,30,0.4346315
9,0,0.4804985
10,30,0.3951586
11,20,0.348966
12,20,0.3843588
13,10,0.3885509
14,0,0.3463553
15,20,0.4427108
16,0,0.396858
17,40,0.4318524
18,0,0.3568655
19,40,0.4843197
20,10,0.4478153
21,10,0.4324877
22,20,0.3655584
23,0,0.3497432
24,30,0.5416164
25,30,0.5059716
26,0,0.3734663
27,40,0.415712
28,10,0.4428986
29,30,0.4281548
30,20,0.3536055
31,10,0.3724883
32,30,0.4466808
33,10,0.4519051
34,20,0.3596327
35,0,0.3676021
36,10,0.3851243
37,10,0.3891706
38,40,0.4167534
39,30,0.4667015
40,10,0.3346885
41,0,0.4171986
42,40,0.6389546
43,0,0.4075375
44,30,0.4108076
45,40,0.5158127
46,20,0.3833272
47,40,0.5877655
48,40,0.6294138
49,20,0.6110953
50,40,0.5378395
51,-30,0.3496986
52,-10,0.4076255
53,0,0.465606
54,-10,0.3226416
55,-40,0.5023574
56,0,0.3415096
57,-10,0.3892832
58,-30,0.4572693
59,-30,0.4320359
60,0,0.47849
61,-20,0.2654197
62,0,0.4928398
63,-20,0.4363095
64,0,0.423726
65,-20,0.3796983
66,-20,0.4008204
67,-40,0.4140599
68,-40,0.4338366
69,0,0.3910777
70,-40,0.5044515
71,-40,0.4083076
72,-30,0.381235
73,-10,0.3715036
74,-10,0.3647371
75,-20,0.4386204
76,-40,0.383973
77,-10,0.3273051
78,0,0.3208989
79,-20,0.3594962
80,-20,0.4364456
81,-40,0.4486408
82,-30,0.3459846
83,-10,0.4356169
84,-20,0.3732153
85,-40,0.4256521
86,-30,0.3807434
87,-30,0.3678162
88,-40,0.4614752
89,0,0.4105407
90,0,0.3251267
91,-30,0.3811858
92,-10,0.4435462
93,0,0.4229612
94,-10,0.3360467
95,-20,0.3732202
96,-20,0.5263407
97,-40,0.4582738
98,-10,0.4762005
99,-30,0.3967237
100,-30,0.5016357
