TrialNumber,Eccentricity,ReactionTime_s_
1,-10,0.435769498
2,20,0.413853747
3,-30,0.400781695
4,40,0.491516715
5,-20,0.616318225
6,0,0.369617351
7,20,0.388912444
8,-20,0.414009865
9,20,0.382495882
10,10,0.393497732
11,-40,0.483028466
12,10,0.366313804
13,-30,0.494702226
14,20,0.30376118
15,-10,0.356140974
16,30,0.352163962
17,-10,0.275152977
18,-30,0.33151321
19,0,0.358553202
20,10,0.348742642
21,-10,0.41728019
22,-20,0.446529771
23,-20,0.383657465
24,-20,0.363694433
25,0,0.357933566
26,0,0.455926186
27,10,0.367296391
28,-20,0.48272634
29,20,0.341890633
30,-40,0.342856005
31,-10,0.281623081
32,20,0.328212708
33,0,0.302931201
34,-40,0.407654294
35,30,0.311587456
36,40,0.395566707
37,-10,0.362273452
38,-40,0.426146302
39,-40,0.368844174
40,10,0.32840562
41,30,0.370875646
42,40,0.485880029
43,0,0.406673566
44,-10,0.389454769
45,10,0.353448197
46,30,0.357773951
47,40,0.436509129
48,-30,0.427375968
49,-30,0.442836197
50,-20,0.326424273
51,-30,0.335763698
52,0,0.352836974
53,0,0.307507104
54,30,0.305945143
55,20,0.415592092
56,-10,0.399070446
57,20,0.462673218
58,-20,0.335373652
59,30,0.35575071
60,30,0.328772857
61,40,0.457050901
62,-30,0.451558651
63,30,0.320944113
64,0,0.385432983
65,0,0.391746129
66,-20,0.362133389
67,30,0.292624718
68,0,0.384484996
69,0,0.340930648
70,40,0.36536116
71,-30,0.482485632
72,40,0.340292119
73,30,0.38123837
74,-30,0.354318337
75,10,0.367138304
76,-10,0.36768017
77,10,0.345117888
78,10,0.278525066
79,10,0.28516777
80,0,0.358622056
81,0,0.363181793
82,0,0.420956485
83,0,0.349023183
84,0,0.311170385
85,-40,0.41687112
86,20,0.33173824
87,0,0.329229944
88,0,0.322438829
89,-40,0.377624275
90,20,0.52999822
91,-40,0.303675026
92,-40,0.508904015
93,-10,0.363943304
94,0,0.347756259
95,40,0.335087822
96,-30,0.372200207
97,-40,0.342674244
98,40,0.315647995
99,-20,0.389670783
100,40,0.422160538
