TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.5251449
2,40,0.4956188
3,40,0.4222791
4,10,0.5164637
5,30,0.4994543
6,30,0.434809
7,0,0.3207422
8,40,0.3948003
9,20,0.4339346
10,30,0.4943599
11,20,0.4403292
12,0,0.4884592
13,10,0.4022827
14,30,0.4200444
15,40,0.4737904
16,10,0.4855875
17,10,0.426082
18,40,0.4802637
19,10,0.2644168
20,20,0.4290402
21,30,0.4367238
22,10,0.461402
23,30,0.4551327
24,0,0.5465656
25,30,0.3722756
26,40,0.3989363
27,30,0.4585038
28,0,0.3832701
29,10,0.4092259
30,20,0.555584
31,40,0.5377486
32,20,0.3769944
33,10,0.3330931
34,20,0.330175
35,20,0.5109417
36,0,0.4338291
37,40,0.5445232
38,20,0.4719739
39,30,0.4951731
40,0,0.2749126
41,20,0.3858573
42,0,0.4018521
43,0,0.4258148
44,10,0.4469298
45,40,0.4852528
46,20,0.4572646
47,0,0.3706053
48,10,0.2976012
49,30,0.475149
50,40,0.4960817
51,-10,0.5349243
52,-30,0.3363685
53,-10,0.3012325
54,0,0.3350017
55,0,0.2631801
56,-20,0.3630445
57,-10,0.4477409
58,-10,0.2995719
59,-30,0.333833
60,-20,0.3931149
61,-40,0.4125335
62,-10,0.3956755
63,-20,0.316517
64,0,0.3198164
65,-40,0.5017676
66,-30,0.3671061
67,-10,0.351829
68,0,0.3753021
69,-30,0.4710427
70,-40,0.5492209
71,-30,0.5064492
72,-40,0.4572227
73,-20,0.4841272
74,-30,0.3139465
75,-30,0.4386375
76,0,0.4495184
77,-20,0.2970702
78,-30,0.4479128
79,0,0.3326074
80,0,0.2509016
81,-40,0.465052
82,-40,0.4662761
83,0,0.2587194
84,-20,0.3838946
85,-30,0.3857615
86,-40,0.413241
87,-20,0.4051246
88,-40,0.52726
89,-40,0.5293187
90,-30,0.46743
91,-20,0.482729
92,-10,0.4982089
93,0,0.4679548
94,-10,0.3798793
95,-20,0.4905882
96,-10,0.4551269
97,-20,0.3916614
98,-10,0.4027905
99,0,0.3909511
100,-40,0.3395363
