TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.5251388
2,-10,0.404662883
3,-10,0.435213361
4,0,0.320976896
5,-30,0.548755357
6,0,0.48287812
7,-20,0.485438436
8,-20,0.59442435
9,0,0.474598523
10,0,0.396133486
11,-40,1.182265241
12,0,0.492969762
13,-10,0.460978288
14,-10,0.66909888
15,-20,0.474126908
16,-40,0.58401123
17,-10,0.381254239
18,-20,0.448968965
19,-40,0.497571049
20,-30,0.435845476
21,-10,0.495638281
22,-30,0.399651517
23,-20,0.397120958
24,-30,0.480306264
25,-10,0.322633763
26,-40,0.613283195
27,-40,0.572441528
28,-30,0.636739027
29,0,0.342893173
30,-30,0.527804449
31,-40,0.486926736
32,-10,0.375265869
33,-20,0.51226138
34,-30,0.453937746
35,-30,0.481799493
36,-10,0.45153996
37,-20,0.395012165
38,-30,0.441673929
39,-40,0.686174204
40,-20,0.651101706
41,-10,0.637633443
42,-40,0.721172645
43,-20,0.514710761
44,-20,0.505962482
45,0,0.467941293
46,-40,0.653388819
47,-40,0.550273523
48,-30,0.533910743
49,0,0.604391481
50,0,0.531463127
51,0,0.51539291
52,40,0.500009533
53,20,0.376498492
54,30,0.486174139
55,10,0.412161338
56,30,0.600895698
57,10,0.533100395
58,20,0.449572216
59,20,0.388476951
60,0,0.539369062
61,20,0.502894196
62,20,0.582672608
63,10,0.536965002
64,10,0.551331508
65,30,0.644274622
66,20,0.546297351
67,20,0.430249702
68,40,0.526186672
69,30,0.587223763
70,40,0.621618034
71,40,0.548024212
72,10,0.355210494
73,0,0.646285607
74,10,0.522265489
75,0,0.520223294
76,40,0.643469729
77,40,0.562938974
78,0,0.442716227
79,0,0.44213562
80,30,0.653527599
81,10,0.523405684
82,30,0.442595435
83,10,0.448332849
84,40,0.69837803
85,30,0.609309047
86,30,0.533805307
87,30,0.509769081
88,40,0.546245687
89,40,0.785680182
90,20,0.489965564
91,20,0.493140532
92,10,0.409451456
93,40,0.573768019
94,30,0.457422939
95,0,0.479710566
96,10,0.450406084
97,0,0.538904926
98,20,0.513956224
99,0,0.739112819
100,0,0.472311251
