TrialNumber,Eccentricity,ReactionTime_s_
1,-30,0.3326713
2,40,0.4017822
3,-40,0.6883855
4,0,0.4418885
5,-30,0.374859
6,-20,0.4435289
7,30,0.509665
8,-40,0.5398263
9,-10,0.3786101
10,0,0.4295034
11,0,0.3953177
12,-40,0.4417047
13,30,0.4696302
14,30,0.4634796
15,-20,0.4771389
16,-10,0.565123
17,10,0.4458672
18,40,0.5763288
19,-30,0.4979597
20,0,0.402039
21,0,0.4875089
22,20,0.4841047
23,20,0.3964225
24,-10,0.4550204
25,-30,0.6518422
26,-40,0.5610991
27,20,0.5244633
28,-40,0.7286041
29,20,0.5810477
30,0,0.4859013
31,0,0.473375
32,10,0.4935968
33,40,0.7416185
34,10,0.5603858
35,30,0.613011
36,-10,0.4994485
37,-20,0.5715249
38,10,0.5164668
39,20,0.5070968
40,40,0.5838176
41,10,0.550954
42,0,0.4784584
43,-10,0.5003995
44,-30,0.4830834
45,0,0.6646777
46,0,0.4698208
47,20,0.4741451
48,0,0.5008753
49,-40,0.5723208
50,-10,0.4889471
51,0,0.5047643
52,-20,0.4976924
53,-10,0.5096329
54,30,0.5783627
55,20,0.4587216
56,30,0.5095006
57,-20,0.5387462
58,20,0.488411
59,-20,0.5257966
60,-30,0.4724541
61,0,0.4171231
62,30,0.5247278
63,40,0.6532917
64,-10,0.5523468
65,10,0.4521438
66,20,0.5772003
67,-40,0.6735439
68,10,0.4809861
69,40,0.6425901
70,-40,0.6743348
71,10,0.5854991
72,-20,0.5857962
73,0,0.4994421
74,40,1.1924963
75,-20,0.5160036
76,10,0.5139223
77,-40,0.7522379
78,-20,0.581536
79,40,0.6062391
80,30,0.4106835
81,0,0.4416207
82,-20,0.5335105
83,20,0.5060016
84,0,0.4986749
85,-30,0.5059015
86,-10,0.5282316
87,-30,0.5737625
88,-40,0.5920513
89,30,0.7740285
90,0,0.552707
91,-10,0.4779929
92,-30,0.5449776
93,-30,0.6637384
94,30,0.6547328
95,0,0.6496743
96,40,0.8006682
97,0,0.560185
98,40,0.8477239
99,10,0.5250776
100,0,0.5679222
