TrialNumber,Eccentricity,ReactionTime_s_
1,-30,0.977144096
2,0,0.539333537
3,-30,0.760954939
4,-10,0.796489075
5,-10,0.751408637
6,-40,0.79480018
7,-30,0.64411837
8,-20,0.644242434
9,-30,0.506597828
10,-30,0.564298475
11,-30,0.571150012
12,-40,0.755941793
13,-20,0.516580521
14,0,0.560432859
15,-40,0.840076196
16,-10,0.780553126
17,-20,0.781191076
18,-10,0.555900906
19,-10,0.542657511
20,-40,0.660810276
21,0,0.792245911
22,-30,0.79697582
23,0,0.58861404
24,-10,0.582911682
25,-40,0.835070085
26,-10,0.573937733
27,-20,0.812876184
28,0,0.63320456
29,-20,0.852042482
30,-40,0.804481295
31,0,1.060810397
32,-20,0.739300826
33,-20,0.605934674
34,0,0.639110668
35,0,0.505331297
36,-30,0.581781008
37,-30,0.623197053
38,-40,0.567884731
39,0,0.617534651
40,-30,0.599180612
41,-20,0.572763595
42,-10,0.478982816
43,0,0.556365361
44,-40,0.74542842
45,-40,0.733534647
46,-40,0.634215156
47,-10,0.51219304
48,-20,0.660839587
49,-20,0.580998374
50,-10,1.310269074
51,30,0.713053964
52,40,0.71587949
53,20,0.654878432
54,30,0.504902143
55,20,0.579686576
56,40,1.184330152
57,40,0.966135447
58,30,0.703087409
59,40,0.760724102
60,20,0.531552538
61,20,0.47522695
62,0,0.606263077
63,10,0.57944092
64,30,0.861959949
65,40,1.05717525
66,30,0.820700939
67,20,0.594299127
68,10,0.543387199
69,30,0.813221862
70,10,0.816171209
71,0,0.578665602
72,10,0.573921325
73,0,0.801085301
74,10,0.588835376
75,0,0.604247136
76,0,0.479036734
77,30,0.787166319
78,10,0.453905339
79,10,0.577820304
80,10,0.553719736
81,40,0.705122797
82,40,0.649778978
83,30,0.778686784
84,20,0.864120217
85,10,0.663283621
86,20,0.515182297
87,20,0.475409142
88,0,0.541241481
89,0,0.506088008
90,30,0.59765303
91,30,0.640467974
92,0,0.600204615
93,10,0.496180453
94,40,1.256793094
95,20,0.65057073
96,0,0.527307367
97,40,0.698363599
98,0,0.517041575
99,40,1.056796482
100,20,0.448108529
