TrialNumber,Eccentricity,ReactionTime_s_
1,10,0.704780855
2,10,0.434171507
3,0,0.559271276
4,10,0.446645897
5,-30,0.571929019
6,-40,0.491094159
7,40,0.48062936
8,-30,0.415821997
9,-30,0.440746606
10,0,0.512704145
11,-20,0.531797091
12,0,0.50840939
13,-20,0.451915173
14,-10,0.435617203
15,10,0.498320649
16,40,0.648578593
17,0,0.561925897
18,0,0.59998829
19,20,0.614174629
20,-30,0.407966379
21,20,0.36871676
22,30,0.519768599
23,0,0.58822451
24,30,0.573190591
25,40,0.587054837
26,-30,0.380572541
27,0,0.589416763
28,-40,0.834810052
29,10,0.458048667
30,30,0.453839669
31,10,0.45898941
32,-40,0.444800543
33,30,0.524675012
34,-20,0.5198622
35,-20,0.647008197
36,-40,0.656992262
37,20,0.383175443
38,30,0.426512661
39,10,0.511080688
40,-40,0.426864745
41,30,0.467593541
42,0,0.394160145
43,40,0.380333255
44,20,0.438288283
45,-10,0.530402737
46,40,0.324721734
47,-10,0.367451312
48,-40,0.497336424
49,-10,0.320910182
50,40,0.371701337
51,0,0.336697396
52,20,0.454241099
53,20,0.366045042
54,30,0.398626646
55,-20,0.434161462
56,-10,0.444148136
57,20,0.546756642
58,-40,0.411801885
59,0,0.432492031
60,-10,0.518202359
61,0,0.43702001
62,0,0.560346536
63,20,0.377508247
64,40,0.616216528
65,-30,0.575302947
66,20,0.37831981
67,-30,0.329534599
68,-20,0.508239847
69,0,0.470003119
70,-20,0.35060732
71,-40,0.468865859
72,0,0.433546752
73,10,0.489479541
74,-20,0.566905928
75,30,0.45857056
76,-10,0.360219194
77,-20,0.348420766
78,-30,0.349844442
79,0,0.505171411
80,40,0.446126428
81,20,0.464298747
82,-20,0.384295953
83,0,0.311746382
84,0,0.325628621
85,-10,0.498774985
86,40,0.773082537
87,10,0.389662352
88,10,0.552276905
89,-10,0.36568319
90,0,0.395328567
91,30,0.562364048
92,-30,0.754623764
93,40,0.518858714
94,-40,0.571898852
95,-30,0.454828411
96,0,0.448283389
97,30,0.511904408
98,0,0.553050538
99,-40,0.437421927
100,-10,0.344565841
