TrialNumber,Eccentricity,ReactionTime_s_
1,-40,0.694421328
2,-20,0.484625063
3,-10,0.42862176
4,0,0.408715112
5,-10,0.664497583
6,-30,0.697769622
7,-20,0.460099645
8,0,0.510181046
9,-30,0.515367543
10,-30,0.577048331
11,0,0.382603684
12,-30,0.351773776
13,-30,0.399903497
14,-20,0.542106934
15,-40,0.527565491
16,-40,0.622943448
17,-30,0.438629841
18,-40,0.507894636
19,-20,0.536706105
20,-10,0.433095643
21,-40,0.721695125
22,-30,0.458586569
23,-20,0.413263213
24,-40,0.522462634
25,0,0.340171791
26,-10,0.466793013
27,-40,0.532258691
28,0,0.547832594
29,-20,0.477601935
30,-20,0.405709491
31,-10,0.599718381
32,-10,0.463874714
33,-10,0.472862384
34,-20,0.550832677
35,0,0.355439256
36,-30,0.606168521
37,0,0.44083553
38,-10,0.477280191
39,-20,0.409616149
40,-10,0.526490589
41,-40,0.72394028
42,-30,0.677547413
43,-30,0.470903548
44,-40,0.683717021
45,0,0.396157526
46,-40,0.514659754
47,0,0.565735472
48,-10,0.435017963
49,-20,0.617116132
50,0,0.460610449
51,30,0.394489679
52,20,0.480734711
53,30,0.401904287
54,40,0.43565013
55,40,0.763774452
56,30,0.63297202
57,40,0.788057607
58,20,0.431695925
59,0,0.631193238
60,20,0.500247119
61,10,0.50319278
62,40,0.894329681
63,20,0.659846616
64,0,0.358052424
65,20,0.541878956
66,20,0.579801117
67,20,0.497450586
68,10,0.655099422
69,40,0.622370805
70,30,0.540368588
71,30,0.596662579
72,40,0.714900629
73,20,0.624459375
74,10,0.513798804
75,40,0.47910381
76,0,0.427428928
77,30,0.589205903
78,10,0.509828937
79,10,0.470244552
80,10,0.488661397
81,10,0.557542539
82,0,0.572260072
83,30,0.652975863
84,0,0.408553576
85,20,0.495113899
86,30,0.817360178
87,30,0.478068698
88,40,0.877875322
89,20,0.486818241
90,10,0.57813241
91,40,0.690644494
92,40,0.620912735
93,0,0.467156557
94,0,0.394146993
95,30,0.704923276
96,10,0.41890175
97,0,0.559751532
98,0,0.519462803
99,10,0.500386967
100,0,0.324980125
