TrialNumber,Eccentricity,ReactionTime_s_
1,-10,0.44504
2,-30,0.4063414
3,20,0.592781
4,0,0.5226397
5,-30,0.5004197
6,10,0.409235
7,-30,0.4931375
8,-40,0.5564715
9,-40,0.4045793
10,0,0.4360737
11,-10,0.4054801
12,40,0.5446442
13,0,0.4051056
14,30,0.4257462
15,30,0.4267351
16,40,0.5902263
17,-30,0.4245377
18,-30,0.5189493
19,20,0.4202348
20,-10,0.4214754
21,-40,0.4822559
22,10,0.4762468
23,20,0.6691206
24,30,0.5061605
25,0,0.4920251
26,0,0.5640021
27,-30,0.4509688
28,-10,0.4057526
29,0,0.5661497
30,0,0.4408404
31,40,0.7040962
32,-10,0.5426043
33,40,0.6800246
34,20,0.5751599
35,-30,0.6159714
36,20,0.547566
37,-20,0.5488725
38,-20,0.6406276
39,0,0.5195972
40,10,0.5833648
41,0,0.4394396
42,-40,0.6055504
43,30,0.5080596
44,-20,0.5324487
45,20,0.5607546
46,0,0.5966763
47,0,0.4833467
48,-20,0.503624
49,-40,0.4932599
50,30,0.5657451
51,-30,0.6140931
52,0,0.6194817
53,-40,1.0051042
54,10,0.4969734
55,-40,0.5235421
56,10,0.4375672
57,20,0.4573911
58,20,0.4711022
59,-10,0.5913334
60,-10,0.4910953
61,40,0.4866333
62,30,0.4594323
63,10,0.45899
64,-10,0.5683708
65,-30,0.519701
66,-40,0.475318
67,-20,0.5628443
68,-30,0.4826889
69,-20,0.6383524
70,10,0.4900081
71,-40,0.5269257
72,10,0.5186536
73,30,0.6187805
74,40,0.5301805
75,30,0.5255535
76,0,0.5547884
77,0,0.4616551
78,40,0.4886183
79,-10,0.4626706
80,-20,0.548595
81,-20,0.7129717
82,0,0.6269682
83,20,0.6811017
84,-20,0.6323887
85,30,0.5026792
86,10,0.5561391
87,0,0.4972474
88,40,0.5875615
89,-20,0.4823205
90,0,0.5042762
91,30,0.4558777
92,0,0.4803259
93,10,0.429976
94,20,0.4773273
95,-40,0.6371129
96,40,0.6644012
97,0,0.4870773
98,-10,0.4736168
99,0,0.4772106
100,40,0.507637
