TrialNumber,Eccentricity,ReactionTime_s_
1,30,0.566631541
2,-10,0.445217292
3,-10,0.454629833
4,20,0.565053292
5,20,0.52272575
6,10,0.541192583
7,20,0.438745708
8,30,0.404878375
9,40,0.536395542
10,0,0.479300459
11,-30,0.804123625
12,-30,0.516785583
13,-40,0.579601875
14,40,0.559228083
15,10,0.390143459
16,0,0.427066208
17,20,0.556368
18,40,0.492552667
19,-30,0.533614167
20,30,0.459320333
21,40,0.516628167
22,-30,0.450379084
23,0,0.430265958
24,-20,0.631989875
25,0,0.58020725
26,-20,0.559788417
27,-30,0.520063041
28,-40,0.490332708
29,30,0.574581417
30,0,0.541666041
31,30,0.6482615
32,-20,0.566944625
33,-30,0.620756791
34,0,0.462339208
35,-20,0.506701166
36,-10,0.526311292
37,-40,0.6336555
38,20,0.494588625
39,-40,0.551294791
40,-40,0.491468584
41,-30,0.563823166
42,20,0.450712
43,-30,0.490576917
44,0,0.608264375
45,-40,0.570888166
46,10,0.602595875
47,-20,0.450843916
48,0,0.4638565
49,0,0.468732875
50,0,0.470613209
51,10,0.400957
52,0,0.38833975
53,0,0.459913792
54,0,0.47216875
55,30,0.59187175
56,0,0.474663292
57,20,0.572606583
58,10,0.544241167
59,-30,0.548736042
60,30,0.51710325
61,-40,0.513341833
62,0,0.35875225
63,20,0.411663291
64,-10,0.617738208
65,0,0.499758833
66,-10,0.537727875
67,-10,0.535416708
68,40,0.504365708
69,40,0.570660333
70,10,0.444827375
71,-20,0.535810292
72,10,0.544688167
73,-10,0.515426334
74,-20,0.435233
75,0,0.525804375
76,0,0.436669459
77,30,0.548325125
78,-40,0.503211792
79,-10,0.42372375
80,-10,0.381025375
81,20,0.469887167
82,-10,0.550147
83,30,0.565453292
84,10,0.550793916
85,40,0.542343084
86,-30,0.583230958
87,-20,0.525610084
88,-40,0.650788833
89,40,0.518215125
90,-20,0.611092834
91,30,0.585652625
92,20,0.562545667
93,10,0.564590708
94,10,0.558299417
95,0,0.516684917
96,40,0.593650333
97,40,0.552689041
98,-40,0.571255625
99,-20,0.431814542
100,0,0.49600575
