TrialNumber,Eccentricity,ReactionTime_s_
1,15,0.3339765
2,-15,0.2625604
3,-5,-0.0341737
4,-5,0.0895003
5,0,0.2395109
6,-30,0.2561938
7,-15,0.2198196
8,-20,0.2180704
9,0,0.1885819
10,35,0.255465
11,-40,0.2057372
12,-5,0.1871026
13,35,0.0426786
14,-25,0.212483
15,-35,0.2198287
16,-30,0.1172042
17,10,0.2307041
18,-20,0.1987363
19,10,-0.0633817
20,40,0.2632504
21,-5,0.1297594
22,-10,0.2063158
23,20,0.2134885
24,-15,0.22716
25,-40,0.2163614
26,-10,0.2272968
27,40,0.2328849
28,20,0.2498223
29,0,0.2559523
30,-5,0.228144
31,40,0.2272942
32,25,0.2397809
33,0,0.2395701
34,15,0.2437407
35,-20,0.2411918
36,25,0.232873
37,15,0.1497001
38,-20,0.2090778
39,-40,0.2529389
40,5,0.256616
41,35,0.2500229
42,15,0.2643389
43,-25,0.2407526
44,-15,0.1440801
45,30,0.2584348
46,25,0.2150862
47,-10,0.2425556
48,10,0.2270375
49,-35,0.2532058
50,-10,-0.0388823
51,5,0.0940185
52,40,0.1781013
53,30,0.2499452
54,0,0.2284134
55,-30,0.2167848
56,-40,0.2629982
57,30,0.2319986
58,20,0.2190748
59,-10,0.1237558
60,-20,0.2161097
61,5,0.2104977
62,-10,0.2427787
63,-35,0.2368603
64,-40,0.2735376
65,-35,0.1114522
66,35,0.0133302
67,35,0.2541777
68,0,0.1850167
69,-10,0.2041322
70,-25,0.2434566
71,-35,0.2079686
72,-30,0.0385049
73,30,0.0741028
74,-30,0.0330902
75,20,0.22518
76,-15,0.2327368
77,-40,0.1334455
78,5,0.2610047
79,5,0.2218033
80,15,0.0042914
81,25,0.2398656
82,5,0.2046721
83,-20,0.115378
84,-25,0.2595626
85,20,-0.0307
86,-15,-0.0275835
87,15,0.2088409
88,25,0.1865955
89,0,0.2816036
90,15,0.2230093
91,10,0.2446307
92,-30,0.2646868
93,-25,0.1246148
94,-5,0.2083792
95,5,0.2347681
96,30,0.325467
97,-10,0.1196767
98,0,-0.0135627
99,10,0.2482911
100,0,0.2363564
101,15,0.2209694
102,30,0.2507037
103,-5,0.2240262
104,25,0.1759309
105,10,0.2583642
106,-40,0.2758385
107,-25,0.0303849
108,-10,0.2277746
109,5,0.2206617
110,30,0.2721485
111,-5,0.2329268
112,-25,0.2146829
113,-20,0.00572410000000001
114,25,0.2295518
115,-15,0.1299091
116,-35,0.1630558
117,20,0.2493779
118,0,0.2125791
119,0,0.2132746
120,-35,0.1713131
121,-35,0.229219
122,-40,0.2556385
123,-40,0.2568508
124,-35,0.2340409
125,-30,0.2482499
126,0,0.2081121
127,35,0.2238684
128,40,0.1720252
129,-10,0.1833233
130,10,0.2000286
131,15,0.0852538
132,35,0.2763709
133,30,0.2606566
134,-40,0.2667332
135,40,0.2422843
136,20,0.2668058
137,0,0.0569582
138,20,0.2493658
139,35,0.1351111
140,-5,0.220853
141,-25,0.2002267
142,0,0.1569607
143,10,0.0119599
144,30,0.2286068
145,0,0.2301504
146,-15,0.2247331
147,40,0.260596
148,5,0.2671227
149,-30,0.2417942
150,20,-0.0296463
151,-20,0.2395452
152,-30,0.2613677
153,35,0.3851342
154,40,0.2372577
155,-5,0.1297712
156,-15,0.1174438
157,-35,0.2701669
158,10,0.2114629
159,30,0.2294836
160,-25,0.2205563
161,40,0.2492223
162,-15,0.2463546
163,40,0.1183303
164,0,0.1995952
165,-30,0.1053789
166,0,0.2241985
167,25,0.2606052
168,35,0.1737529
169,10,0.217624
170,-20,0.2491888
171,-20,0.1652407
172,0,0.2362428
173,0,0.1461405
174,25,0.2276988
175,20,0.2273763
176,0,0.0340587
177,15,0.2618349
178,25,0.2264243
179,-25,-0.0687349
180,5,0.061766
