TrialNumber,Eccentricity,ReactionTime_s_
1,30,0.221307294
2,-40,0.169517895
3,40,0.161495585
4,-10,0.200570723
5,30,0.171008335
6,25,0.08553209
7,40,0.175799188
8,-5,0.195615727
9,-40,0.260941666
10,0,0.142899739
11,30,0.242981889
12,5,0.108699117
13,20,0.259802257
14,-15,0.254372373
15,10,0.13031152
16,25,0.197581776
17,15,0.135617554
18,-10,0.101876786
19,20,0.117101274
20,0,0.216889715
21,-5,0.194743708
22,40,0.140416327
23,35,0.320417552
24,0,0.233551813
25,-25,0.186638874
26,20,0.18106516
27,15,0.216222576
28,10,0.230469213
29,-35,0.155947492
30,-30,0.194856981
31,-40,0.167501274
32,-40,0.238933848
33,-15,0.231262111
34,-30,0.163576491
35,-35,0.172304545
36,-5,0.161700019
37,0,0.166111149
38,15,0.119541345
39,-10,0.230354787
40,-40,0.130373455
41,0,0.165564345
42,-20,0.193021379
43,0,0.218600651
44,35,0.153880336
45,40,0.139348448
46,0,0.030702255
47,0,0.202564052
48,-40,0.237930223
49,-20,0.194392535
50,-20,0.185117532
51,5,0.164883267
52,20,0.183562942
53,5,0.228561876
54,10,0.10581892
55,-15,0.21250153
56,25,0.192767091
57,5,0.052030089
58,-35,0.096013868
59,-20,0.184066439
60,5,0.120789402
61,0,-0.004699813
62,-30,0.135890378
63,5,0.12143287
64,25,0.071309881
65,-25,0.167637752
66,10,0.096433029
67,-10,0.225685203
68,0,0.16539579
69,-25,0.044255897
70,20,0.186501379
71,-5,0.203205714
72,-35,0.151649997
73,40,0.155860033
74,15,0.208461808
75,25,0.15742128
76,-35,0.097512079
77,25,0.164809245
78,0,0.188252708
79,20,0.101021059
80,30,0.194288176
81,20,0.238481536
82,0,0.029519054
83,-35,0.179163101
84,20,0.196163663
85,30,0.212734283
86,-30,0.073150673
87,25,-0.038805375
88,0,0.199402906
89,-25,0.062699526
90,0,0.290100116
91,-15,0.169291602
92,25,0.189062547
93,-10,0.252000671
94,-20,0.320452939
95,-10,0.177218054
96,-30,0.17120129
97,-5,0.160571456
98,-15,0.131076909
99,-30,0.069826766
100,35,0.219594655
101,40,0.236453988
102,-20,0.225787699
103,-30,0.215473979
104,-10,0.183087407
105,0,0.066846529
106,-30,0.187029087
107,-35,0.11325747
108,-20,0.126988899
109,0,0.189156182
110,15,0.208252129
111,0,0.202269512
112,30,0.22533796
113,15,0.241480563
114,-40,0.199460984
115,-20,0.113296576
116,-25,0.255785929
117,10,0.233969658
118,20,0.174418149
119,25,0.187520198
120,35,0.141570812
121,25,0.284589145
122,-35,0.188305318
123,35,0.200749293
124,-5,0.230169953
125,-15,0.127151507
126,35,0.220057959
127,10,0.207678179
128,-40,0.214254211
129,-35,0.209695503
130,-5,0.099320013
131,30,0.082904215
132,-5,0.148955703
133,5,0.17795622
134,-25,0.161393295
135,-20,0.128806713
136,10,0.203962767
137,-15,0.225608679
138,40,0.057880255
139,10,0.178003612
140,-15,0.299546124
141,40,0.079242131
142,15,0.065363198
143,-40,0.092365561
144,-25,0.190847948
145,0,0.18746965
146,15,0.252434114
147,0,0.247763733
148,20,0.136046582
149,-35,0.165753911
150,-30,0.222151894
151,-25,0.145593361
152,-40,0.153925132
153,-10,0.226701555
154,-25,0.197777134
155,15,0.222881793
156,15,0.204307926
157,10,0.199347629
158,30,0.237553294
159,35,0.165412402
160,-5,0.232719406
161,-25,0.113814459
162,-10,0.150159978
163,30,0.254974099
164,30,0.108651269
165,5,0.222674822
166,0,0.102896723
167,40,0.23948169
168,-30,0.30295682
169,-5,0.170683964
170,-20,0.019463603
171,35,0.21327938
172,5,0.311133931
173,10,0.208085991
174,5,0.141568206
175,40,0.244924114
176,-10,0.199517335
177,35,-0.040057396
178,-15,-0.035878876
179,-15,0.084256546
180,35,0.100465539
