TrialNumber,Eccentricity,ReactionTime_s_
1,-40,0.1721725
2,-10,0.1402117
3,-20,0.1647558
4,-10,0.1420036
5,-5,0.0246977
6,-25,0.0236269
7,-35,0.1107329
8,-40,0.0186414
9,-15,0.1489192
10,-20,0.1524949
11,0,0.1500046
12,-5,0.1400181
13,-10,0.1191227
14,-30,0.1510236
15,0,0.056232
16,-25,0.0975952
17,-5,0.1246888
18,-20,0.1326899
19,-30,0.1426635
20,-5,-0.0274534
21,-10,0.0386838
22,-35,0.1554376
23,-30,0.1660382
24,-15,0.1695321
25,-25,0.151823
26,0,0.1614815
27,-25,0.1435275
28,0,0.1224139
29,-20,0.1581957
30,0,0.161461
31,-15,0.1129825
32,-35,0.1079635
33,-35,0.1476855
34,0,-0.0331077
35,0,0.0393851
36,-40,0.1515136
37,-10,0.0853948
38,-40,0.1669447
39,-5,0.145798
40,-10,0.1382074
41,-35,0.0419109
42,-15,0.1315815
43,-20,0.1699519
44,-15,0.105003
45,-40,0.1646926
46,0,-0.0462455
47,-35,0.1514045
48,-40,0.1793846
49,-35,0.1430793
50,-20,0.1217114
51,-40,0.1624914
52,-25,0.1027714
53,-25,0.1450014
54,-30,0.1569331
55,0,0.1320343
56,-15,0.1051447
57,-5,0.1493128
58,-25,0.1455069
59,-25,0.1344973
60,-15,0.0029301
61,-40,-0.0230564
62,-20,0.2668684
63,-5,0.1434444
64,-25,0.1348426
65,-30,0.1586311
66,-40,0.158359
67,-30,0.1538874
68,-30,0.150872
69,-5,0.1294911
70,-15,0.1273201
71,-20,0.1417544
72,-30,0.1625516
73,-20,0.1425055
74,-10,0.0521248
75,-30,0.1521773
76,-15,0.1452308
77,-35,0.1630075
78,-35,0.1512107
79,-30,0.0826106
80,-10,0.1683071
81,-5,-0.0288278
82,-10,0.1467386
83,-40,0.1790157
84,-10,0.157322
85,-25,0.115993
86,0,0.1687598
87,-20,0.1371095
88,-35,0.1117168
89,-15,0.1458688
90,-5,0.1213424
91,25,0.1750836
92,40,0.1573143
93,0,0.0369134
94,10,0.1327367
95,20,0.1598968
96,10,0.0625215
97,35,0.1422693
98,10,0.2780668
99,30,0.1755514
100,25,0.1632479
101,25,0.1368332
102,25,0.1029039
103,5,0.1516146
104,25,0.1352289
105,30,0.1178691
106,0,0.2030987
107,20,0.1284724
108,30,0.1858251
109,25,0.1292603
110,20,0.1472826
111,20,0.1147732
112,30,0.0359455
113,15,0.0336142
114,30,0.0057539
115,30,0.1757255
116,35,0.1526812
117,5,-0.0052029
118,5,0.1431975
119,15,0.1260035
120,0,0.1195955
121,25,-0.0083014
122,20,0.1427701
123,40,0.1438962
124,30,0.1709974
125,15,0.0986557
126,20,0.2362486
127,0,0.198946
128,10,0.1479207
129,40,0.1655749
130,5,0.1597285
131,10,0.1527612
132,5,0.1188333
133,15,0.1561573
134,40,0.0375299
135,25,0.1785673
136,10,0.1761425
137,30,0.0431802
138,20,0.1820213
139,5,0.1753742
140,0,0.1621256
141,10,0.1583092
142,30,0.1621134
143,40,0.1739495
144,40,0.1759038
145,15,0.1275841
146,15,0.1219037
147,0,0.1127483
148,5,0.1521989
149,35,0.1565895
150,15,0.1765013
151,0,0.1140083
152,40,-0.0238725
153,15,0.1488945
154,5,0.1504215
155,35,0.1684685
156,35,0.1195165
157,35,0.1656134
158,35,0.1608499
159,15,0.164924
160,40,0.1495969
161,20,-0.0341163
162,40,0.1781747
163,10,0.1413736
164,5,0.0233281
165,0,0.1610931
166,35,0.1815875
167,25,0.1690921
168,10,0.020664
169,40,0.1612203
170,30,0.1829678
171,0,0.1491763
172,0,0.1890663
173,15,0.1797679
174,35,-0.0243915
175,10,0.1637937
176,20,0.1574066
177,25,0.1040684
178,20,0.0194778
179,5,0.1663703
180,35,0.2101275
