TrialNumber,Eccentricity,ReactionTime_s_
1,20,0.2528582
2,10,0.2761741
3,20,0.2208858
4,0,0.2030804
5,0,0.2080953
6,30,0.1896056
7,20,0.1984192
8,10,0.2373157
9,0,0.27064
10,5,0.234527
11,15,0.2604613
12,40,0.2401095
13,10,0.2427414
14,30,0.2182342
15,0,0.2167976
16,15,0.2223712
17,10,0.3540771
18,25,0.2543787
19,35,0.2316491
20,0,0.230721
21,0,0.241399
22,5,0.2116943
23,20,0.2180978
24,40,0.1958174
25,15,0.2313717
26,5,0.1233022
27,40,0.2464634
28,15,0.2264248
29,20,0.2522967
30,25,0.1958814
31,35,0.2533127
32,30,0.2417132
33,30,0.2582886
34,30,0.1927183
35,25,0.247781
36,0,0.2555655
37,30,0.2732505
38,25,0.244157
39,25,0.2128583
40,5,0.2955105
41,10,0.2111013
42,10,0.2358963
43,35,0.2387776
44,5,0.2514934
45,30,0.2640486
46,10,0.2295749
47,35,0.2455159
48,15,0.2603276
49,15,0.2420781
50,30,0.2310279
51,40,0.235885
52,35,0.2372539
53,20,0.3888893
54,20,0.247608
55,40,0.2393675
56,15,0.1816526
57,0,0.2664363
58,35,0.2288838
59,40,0.2664786
60,15,0.2423163
61,5,0.2698552
62,40,0.2129007
63,10,0.251801
64,35,0.2487002
65,0,0.280145
66,25,0.1958937
67,35,0.2537592
68,35,0.2017325
69,40,0.1696218
70,5,0.2139153
71,15,0.2360565
72,5,0.2414317
73,30,0.2375487
74,10,0.261351
75,30,0.1791842
76,40,0.2345177
77,20,0.2667015
78,10,0.2288455
79,5,0.239674
80,20,0.1916528
81,20,0.2241214
82,25,0.2229813
83,25,0.2408633
84,25,0.2223325
85,5,0.2078291
86,15,0.1859319
87,25,0.1827692
88,40,0.2396627
89,0,0.1635099
90,35,0.2609422
91,-35,0.2329399
92,-20,0.2040377
93,-10,0.2667576
94,0,0.3157064
95,-25,0.1866179
96,-15,0.2427232
97,-35,0.1850937
98,-30,0.2051201
99,-10,0.3393943
100,-40,0.1951411
101,0,0.2796086
102,-25,0.235504
103,-15,0.2095497
104,-25,0.1654636
105,-30,0.2115761
106,-30,0.233471
107,-10,0.1989017
108,-35,0.1630214
109,-20,0.2558521
110,-10,0.2009828
111,-30,0.2456635
112,-15,0.0329355
113,-25,0.2703843
114,-5,0.2337924
115,-5,0.3408793
116,-20,0.2277388
117,-10,0.2811296
118,-30,0.1768949
119,0,0.2202749
120,-35,0.2562281
121,-20,0.2409918
122,-35,0.2847215
123,-40,0.2379886
124,-40,0.2418399
125,-30,0.2323832
126,-25,0.2281669
127,-30,0.3054266
128,-40,0.2453118
129,-25,0.2200894
130,-35,0.2542725
131,0,0.2543871
132,-35,0.2534984
133,-35,0.2394974
134,-35,0.2361843
135,-20,-0.0180406
136,0,0.2669349
137,-40,0.2973696
138,-10,0.2758857
139,-15,0.231211
140,-40,0.2556105
141,-5,0.2547242
142,-10,0.2574045
143,-40,0.2590648
144,-15,0.249489
145,-10,0.2032022
146,-20,0.2724842
147,0,0.2705801
148,0,0.2510313
149,-15,0.1837752
150,-5,0.2243211
151,-15,0.2481801
152,-15,0.2139739
153,0,0.2775905
154,-35,0.2379032
155,-30,0.2149174
156,-25,0.224676
157,-20,0.2485593
158,-25,0.2296984
159,-30,0.2351508
160,-30,0.273436
161,-25,0.1348823
162,-25,0.1966184
163,0,0.2749815
164,-5,0.2412977
165,-5,0.2092268
166,-15,0.3666963
167,-5,0.2890866
168,-40,0.3001633
169,-20,0.519269
170,-20,0.2490425
171,-5,0.2310333
172,-40,0.2361672
173,-5,0.2445246
174,-40,0.1867534
175,-20,0.2279996
176,0,0.2040119
177,-10,0.2235262
178,-15,0.2037529
179,-10,0.2256502
180,-5,0.2949428
