TrialNumber,Eccentricity,ReactionTime_s_
1,-15,0.2106909
2,-30,0.1942961
3,-20,-0.0460115
4,-35,0.1713284
5,15,0.1620144
6,-40,0.1820228
7,-5,0.2014068
8,30,0.4372758
9,25,0.1926265
10,10,-0.0413765
11,40,0.1696525
12,20,0.3674282
13,30,0.2127983
14,-35,0.1699562
15,-25,0.1750191
16,15,0.1708483
17,-5,0.1639271
18,-35,-0.000646000000000001
19,25,0.1813562
20,5,0.1636485
21,40,0.2016033
22,-25,0.1996023
23,10,0.2131436
24,10,0.1444432
25,-15,0.188019
26,-15,0.3096055
27,0,0.2438411
28,40,0.2019061
29,30,0.2020595
30,-30,0.1790994
31,-35,0.2447636
32,15,0.0178857
33,-30,0.2045774
34,0,0.2186986
35,5,0.2389751
36,5,0.2151663
37,10,0.1675748
38,10,0.016535
39,-20,0.3500698
40,35,0.0748048
41,-40,0.1804778
42,-5,0.180763
43,-15,0.190172
44,40,0.1780939
45,-40,0.1686878
46,15,0.1817872
47,15,0.0851529
48,-30,0.1885326
49,-30,0.1824594
50,30,-0.0313035
51,0,0.1902922
52,0,0.1943874
53,-35,0.1735116
54,-15,0.216416
55,-35,0.2932679
56,-30,0.214449
57,15,0.0538502
58,-20,0.1973733
59,30,0.17666
60,20,0.2390006
61,-10,0.2917037
62,0,0.2030736
63,-20,0.1719224
64,15,0.163665
65,0,0.2085802
66,15,0.2625867
67,-5,0.224139
68,-25,0.2035475
69,30,0.1907424
70,35,0.2670604
71,20,0.2064136
72,-25,0.1615733
73,0,0.1585264
74,-25,0.1938249
75,0,0.2008109
76,35,0.1637518
77,-40,0.0857878
78,-15,0.1860432
79,-10,0.2257408
80,0,0.2072199
81,0,0.2245816
82,-10,0.1682036
83,25,0.208148
84,-30,0.1883447
85,20,0.2839166
86,5,0.181066
87,20,0.1603123
88,35,0.1848296
89,-20,0.2455876
90,-30,0.2260722
91,-40,0.1369381
92,35,0.1748259
93,-25,0.2663121
94,35,0.1927282
95,-35,0.0920664
96,25,0.3770683
97,0,0.279464
98,-5,0.1764666
99,-15,0.2001208
100,25,0.194632
101,5,0.2377061
102,10,0.2127239
103,35,0.176673
104,-20,0.1730589
105,-35,0.2180268
106,-25,0.1958556
107,35,0.1734795
108,-5,0.3189617
109,30,0.1379069
110,-15,0.272149
111,30,0.2047974
112,-20,0.2084927
113,10,0.1769106
114,35,0.1750096
115,40,0.1778539
116,-40,0.265353
117,-10,0.1716145
118,25,0.1629896
119,-5,0.1797869
120,20,0.1610392
121,-40,0.1677217
122,0,0.1564387
123,-10,0.1609255
124,-30,0.1881224
125,5,0.1151569
126,10,0.2132574
127,25,0.1684607
128,35,0.2327511
129,40,0.1500621
130,-10,0.2002624
131,0,0.2149096
132,-35,0.1968508
133,-40,0.2945113
134,5,0.3536205
135,-35,0.1952067
136,40,0.1699914
137,-5,0.1941563
138,20,0.2217594
139,-5,0.1823812
140,0,0.2609673
141,-15,0.2210939
142,-10,0.1688689
143,15,0.0578626
144,10,-0.0364574
145,-40,0.1125989
146,-5,0.1814596
147,-10,0.1644202
148,20,0.076666
149,40,0.1730127
150,40,0.1504445
151,40,0.2092164
152,-40,0.1541741
153,-20,0.1709337
154,0,0.0390446
155,25,0.1550205
156,30,0.1104343
157,-30,0.1650731
158,0,0.1665066
159,-20,0.1643395
160,-10,0.3265666
161,-10,0.2852233
162,20,0.1613669
163,0,0.1945156
164,0,0.2031962
165,25,0.199875
166,10,0.254848
167,30,0.4363574
168,-25,0.1823284
169,-25,0.1826982
170,-20,0.1871323
171,-15,0.0072994
172,5,0.1736932
173,5,0.193011
174,20,0.2016698
175,0,0.1895648
176,15,0.0125874
177,5,0.1672626
178,0,0.2383492
179,-25,0.1663355
180,25,0.254808
