TrialNumber,Eccentricity,ReactionTime_s_
1,-40,0.337479145
2,15,0.312736551
3,35,0.332698772
4,10,0.289399342
5,10,0.267136698
6,40,0.320160346
7,20,0.277381911
8,25,0.286509342
9,0,0.378273868
10,10,0.286587993
11,-15,0.377975311
12,-20,0.25665796
13,-35,0.224956564
14,-25,0.242453534
15,0,0.277863961
16,10,0.278841132
17,15,0.282141788
18,5,0.25974426
19,40,0.233781648
20,5,0.249182294
21,-10,0.300216532
22,-25,0.280030049
23,-35,0.278834309
24,-20,0.265309653
25,25,0.260935599
26,-5,0.271131736
27,20,0.247367581
28,35,0.249019762
29,-15,0.240806793
30,0,0.249240912
31,10,0.013769619
32,-5,0.257513337
33,-25,0.055447046
34,-5,0.277203156
35,15,0.236782429
36,10,0.245185684
37,15,0.236677396
38,-35,0.322535459
39,0,0.265945417
40,0,0.265333893
41,-20,0.287519327
42,-35,-0.044642094
43,-30,0.299750072
44,-15,0.265920709
45,-30,0.289495103
46,-10,0.364442867
47,15,0.235156395
48,-10,0.269511523
49,0,0.546691368
50,-20,0.266743188
51,-5,0.145888693
52,5,0.257308265
53,0,0.260196703
54,20,0.288113954
55,40,0.316930231
56,30,0.249134477
57,-30,0.24299371
58,10,0.249363172
59,-30,0.277398801
60,20,0.245057798
61,25,0.246253224
62,-35,0.271711877
63,35,0.256985335
64,-10,0.295834359
65,-10,0.343495767
66,-15,0.245479116
67,-20,0.25117676
68,-25,0.272524972
69,30,0.312062191
70,30,0.243808896
71,35,0.286888404
72,0,0.447145479
73,-15,0.285768776
74,0,0.262639824
75,5,0.255093986
76,-40,0.252087277
77,-20,0.419621273
78,-40,0.370104941
79,-25,0.233436211
80,35,0.263876159
81,-35,0.306056516
82,30,0.288597685
83,20,0.282297085
84,35,0.240285937
85,-30,0.263244911
86,15,0.202569493
87,40,0.230786826
88,40,0.284011119
89,-10,0.259662291
90,-10,0.309353577
91,0,0.253199967
92,15,0.222991582
93,-40,0.279534268
94,15,0.219465351
95,-30,0.297608539
96,25,0.253495537
97,0,0.256259469
98,30,0.26338477
99,-5,0.260524976
100,0,0.231593278
101,-15,0.288505095
102,-40,0.274051155
103,-30,0.32215765
104,10,0.040415986
105,-10,1.375374785
106,-30,0.299795115
107,25,0.278058365
108,-20,0.283974724
109,5,0.23585452
110,20,0.263195483
111,25,0.309047619
112,20,0.27348625
113,-20,0.28947135
114,-25,0.267691216
115,-10,0.317608587
116,10,0.264373967
117,25,0.292176646
118,20,0.298812561
119,40,0.349095428
120,-40,0.354404608
121,-40,0.429415234
122,-40,0.247857255
123,5,0.303747395
124,15,0.325139325
125,35,0.271367718
126,40,0.296036801
127,10,0.287114838
128,0,0.282105989
129,20,0.271299949
130,0,0.3388635
131,-30,0.377736658
132,-35,0.276344038
133,5,0.296786666
134,-5,0.197735294
135,0,0.00543940399999999
136,-35,0.207688143
137,40,0.262368855
138,-35,0.278145953
139,25,0.209282786
140,0,0.214725271
141,5,0.109039579
142,5,0.222405283
143,-5,0.239401102
144,25,0.157392047
145,-10,0.249222847
146,5,0.254824941
147,40,0.146406111
148,-5,0.293204479
149,30,0.349050984
150,-15,0.241504941
151,-15,0.27692174
152,-25,0.317817794
153,-40,0.288248143
154,-5,0.286779951
155,-20,0.281297378
156,-30,0.107916482
157,0,0.260449971
158,-40,0.255761929
159,25,0.280822351
160,40,0.258578816
161,-25,0.361108201
162,30,0.283460684
163,-25,0.275217603
164,-25,0.308505374
165,-15,0.233670382
166,-5,0.268724732
167,35,0.290942575
168,0,0.27129055
169,0,0.113042735
170,-35,0.258857648
171,-20,0.272889979
172,15,0.298774983
173,20,0.338587743
174,35,0.290817427
175,30,0.292368794
176,35,0.30983721
177,0,0.317945701
178,-15,0.248785465
179,30,0.515046791
180,30,0.250578108
