TrialNumber,Eccentricity,ReactionTime
1,-10,0.1482112
2,-30,0.1921871
3,-40,0.2504682
4,-20,0.2054096
5,-20,0.1314633
6,-35,0.1804528
7,-15,0.1498796
8,-10,0.1294125
9,-25,0.1628394
10,-5,0.1478981
11,-30,0.1897253
12,-25,0.1843499
13,-40,0.0936017
14,-20,0.3057004
15,-30,0.1353194
16,-35,0.4005915
17,-25,0.1753439
18,-25,0.2034812
19,-20,0.0946496
20,-35,0.1609487
21,-40,0.2086051
22,-25,0.2297579
23,-15,0.1460931
24,0,0.2353526
25,-15,0.1354587
26,-10,0.1261505
27,-5,0.1262229
28,-5,0.1911612
29,-25,0.1642495
30,0,0.1703804
31,-5,0.1762462
32,-10,0.1822063
33,-35,0.2922621
34,-35,0.2114855
35,-35,0.1979705
36,-20,0.1714181
37,-25,0.1786347
38,-25,0.2072041
39,-15,0.2005524
40,-5,0.0601635
41,-10,0.1225859
42,-40,0.1803915
43,-10,0.1849793
44,-15,0.179819
45,-5,0.2035563
46,-40,0.1743397
47,-20,0.1900803
48,-20,0.1215644
49,-30,0.228384
50,-30,0.1928265
51,-20,0.1819829
52,-30,0.1880239
53,-15,0.1770171
54,-40,0.1718722
55,-35,0.2092556
56,-35,0.2055791
57,-40,0.2373071
58,-5,0.2299028
59,-30,0.1691821
60,-20,0.1889737
61,-40,0.1940307
62,0,0.1803023
63,-30,0.1636674
64,-35,0.2023426
65,-25,0.1973345
66,-10,0.154458
67,-15,0.1845944
68,-30,0.1566185
69,0,0.1447653
70,0,0.2167869
71,-40,0.1908808
72,-35,0.2046364
73,0,0.2271412
74,-30,0.1834378
75,-5,0.2091526
76,-10,0.1364295
77,-20,0.2164181
78,0,0.1880902
79,-40,0.1610959
80,-15,0.1765578
81,-5,0.2243696
82,-5,0.188394
83,-10,0.2134991
84,-15,0.1703851
85,-15,0.1743035
86,-25,0.1587674
87,0,0.2021809
88,-10,0.1794238
89,0,0.2236252
90,0,0.2190026
91,0,0.2152261
92,30,0.1379615
93,5,0.1700958
94,40,0.129622
95,10,0.1486653
96,40,0.167301
97,40,0.1443671
98,10,0.17782
99,0,0.1343765
100,10,0.1808157
101,10,0.1440817
102,35,0.1843668
103,25,0.1582842
104,25,0.2063115
105,40,0.1885191
106,30,0.0791839
107,20,0.1826707
108,0,0.1401068
109,15,0.2915614
110,0,0.0995855
111,15,0.1714463
112,0,0.087898
113,15,0.1701915
114,5,0.0186083
115,0,0.233994
116,10,0.1674591
117,5,0.1667905
118,40,0.2337835
119,20,0.1979536
120,35,0.1738929
121,25,0.2171492
122,0,0.2202715
123,5,0.1684764
124,10,0.1232875
125,15,0.1225839
126,40,0.1441408
127,5,0.1726446
128,30,0.1347847
129,25,0.1711502
130,35,0.1365109
131,15,0.1112247
132,10,0.0493117
133,40,0.2008123
134,5,0.2239217
135,30,0.1975489
136,40,0.1824305
137,35,0.2100171
138,25,0.1983684
139,30,0.1994387
140,0,0.2271405
141,20,0.1492827
142,15,0.2186502
143,40,0.19183
144,20,0.0355692
145,35,0.1673931
146,30,0.1894062
147,10,0.1664838
148,0,0.1174092
149,20,0.3097589
150,10,0.1737314
151,30,-0.0436631
152,5,0.2016446
153,40,0.212173
154,15,0.2046612
155,5,0.3471292
156,30,0.1247732
157,35,0.1829921
158,35,0.1969849
159,25,0.184563
160,5,0.2079322
161,25,0.1721192
162,35,0.1150532
163,20,0.1805761
164,30,0.1600705
165,15,0.1658831
166,20,0.1529101
167,15,0.2101728
168,0,0.2127908
169,15,0.1977363
170,20,0.1376496
171,25,0.1719171
172,20,0.1378995
173,35,0.1957201
174,25,0.2021463
175,10,0.0259202
176,25,0.2027144
177,35,-0.0593054
178,5,0.3239155
179,30,0.2297783
180,20,0.1804488
