TrialNumber,Eccentricity,ReactionTime_s_
1,35,0.2870124
2,-5,0.2947431
3,5,0.2726838
4,30,0.2762872
5,-30,0.2658544
6,5,0.2608848
7,-15,0.2635857
8,-20,0.2582283
9,-35,0.3498813
10,20,0.4703332
11,-20,0.3889324
12,-30,0.2646622
13,0,0.2369401
14,10,0.3174459
15,5,0.2600264
16,-15,0.2506228
17,35,0.2883613
18,0,0.2237564
19,30,0.2285588
20,30,0.2742794
21,-30,0.2673433
22,-15,0.2454175
23,-40,0.2912124
24,40,0.3139252
25,10,0.2636876
26,20,0.2524512
27,0,0.2251259
28,0,0.2095473
29,20,0.1913061
30,-25,0.2593593
31,40,0.3021444
32,-5,0.2891101
33,25,0.1175184
34,-20,0.2801288
35,-40,0.3017642
36,-25,0.2190464
37,-20,0.2780697
38,-15,0.2107425
39,10,0.283004
40,-10,0.2386972
41,0,0.262304
42,0,0.2130985
43,25,0.2864637
44,-15,0.240882
45,-5,0.2767335
46,-30,0.3128123
47,15,0.2952532
48,20,0.2557913
49,0,0.2587837
50,-10,0.0116064
51,25,-0.0509811
52,-20,0.2295199
53,20,0.297428
54,25,0.2588738
55,-25,0.2483309
56,40,0.2622763
57,-35,0.2714668
58,-40,0.2980732
59,25,0.2080509
60,35,0.2436459
61,25,0.3153804
62,10,0.3265285
63,25,0.2964138
64,40,0.2398279
65,-30,0.2807665
66,-20,0.370315
67,-10,0.4362304
68,-35,0.1035207
69,-10,0.1659645
70,-30,0.2736288
71,-10,0.302112
72,0,0.2434737
73,5,0.2296965
74,10,0.2273793
75,-5,0.2314676
76,-35,0.2802304
77,25,0.3105773
78,-30,0.2740217
79,15,0.259712
80,-25,0.2766153
81,-35,0.3118874
82,25,0.2620962
83,5,0.324352
84,-40,0.3020272
85,30,0.3348763
86,35,0.3079965
87,-10,0.3054481
88,15,0.2885213
89,-5,0.3193138
90,0,0.2527889
91,20,0.2716982
92,15,0.2520873
93,10,0.2539661
94,5,0.2719346
95,-35,0.2671337
96,35,0.3231526
97,0,0.2956741
98,-15,0.2786817
99,-40,0.2888125
100,-30,0.284088
101,20,0.2514513
102,-20,0.2699219
103,40,0.2848791
104,0,0.2627304
105,-25,0.3088804
106,0,0.4068599
107,-25,0.3044316
108,35,0.25179
109,-5,0.3486629
110,-15,0.253968
111,-25,0.2809268
112,10,0.2610229
113,35,0.2425205
114,-20,0.3674768
115,-5,0.2329151
116,-40,0.0785409
117,40,0.2733967
118,5,0.179522
119,15,0.0699821
120,15,0.2413628
121,0,0.2397784
122,30,0.281432
123,40,0.2846759
124,15,0.2483317
125,-20,0.2379489
126,20,0.223398
127,5,0.2858784
128,15,0.3155423
129,-10,0.28124
130,-40,0.4470063
131,40,0.3130086
132,-10,0.2800642
133,30,0.437367
134,-25,0.2810788
135,-40,0.138717
136,15,0.3008573
137,15,0.2566858
138,35,0.2761623
139,5,0.2753248
140,-35,0.3119257
141,30,0.3195956
142,20,0.2687526
143,-35,0.269894
144,25,0.2648083
145,-35,0.2773695
146,10,0.2273575
147,-30,0.3125758
148,0,0.252446
149,-15,0.2880875
150,10,0.3076559
151,5,0.2684467
152,30,0.5116457
153,-5,0.292301
154,-10,0.2408908
155,0,0.261106
156,-10,-0.0289487
157,-15,0.333405
158,30,0.0576617
159,40,0.2362971
160,40,0.2533962
161,-30,0.2474007
162,0,0.2538068
163,30,0.2218078
164,20,0.2540032
165,0,0.2476241
166,0,0.2366804
167,-40,0.2722747
168,0,0.3229871
169,-5,0.2577472
170,-15,0.3580811
171,35,0.2993687
172,35,0.2952692
173,-40,0.3263832
174,0,0.252387
175,10,0.2676631
176,-25,0.2401818
177,-25,0.6850247
178,-5,0.221377
179,-35,0.2330579
180,-20,0.2300594
