TrialNumber,Eccentricity,ReactionTime_s_
1,15,0.246798728
2,0,0.195755132
3,-40,0.191022335
4,10,0.177233906
5,-10,0.164760852
6,-25,0.390445824
7,5,0.433054907
8,-35,0.187900267
9,0,0.177465624
10,0,0.213519467
11,-10,0.28790412
12,0,0.204606443
13,0,0.193158341
14,10,0.167235861
15,-15,0.24448295
16,0,0.177620949
17,-10,0.246427588
18,-10,0.314176098
19,-40,0.301578264
20,40,0.278870331
21,-25,0.227404621
22,0,0.220752232
23,-25,0.248197199
24,15,0.208492631
25,-10,0.164823578
26,-30,0.273894552
27,0,0.20289101
28,15,0.238207689
29,20,0.231636068
30,35,0.186504688
31,-20,0.175047303
32,30,0.195609422
33,-10,0.239019387
34,40,0.186566111
35,-5,0.200100892
36,35,0.285815497
37,-40,0.225517379
38,20,0.152461489
39,25,0.201087446
40,-35,0.252869026
41,30,0.266630536
42,40,0.141252247
43,35,0.202226485
44,-20,0.163464401
45,-15,0.117068856
46,-35,0.246005016
47,25,0.222923748
48,-5,0.27676166
49,0,0.166017726
50,-20,0.249445509
51,-30,0.083923723
52,0,0.223295519
53,-30,0.146081128
54,10,0.18566285
55,30,0.271548657
56,10,0.194362854
57,-15,0.163750175
58,-20,0.222380879
59,-35,0.230855242
60,-25,0.100269227
61,-5,0.161360773
62,-35,0.207473705
63,5,0.26489661
64,5,0.05578325
65,0,0.208606161
66,5,0.170593984
67,-40,0.156968429
68,-10,0.207084751
69,20,0.174760615
70,25,0.232756377
71,20,0.180509249
72,40,0.310459001
73,0,0.19987425
74,-25,0.062649792
75,-15,0.161678728
76,-15,0.231875529
77,-5,0.094505298
78,-40,0.253024954
79,5,0.134775727
80,0,-0.034899469
81,-5,0.058425481
82,-20,0.25376726
83,10,0.102642493
84,30,0.20229095
85,-35,0.082172441
86,-5,0.309685421
87,35,0.21902471
88,30,0.20012632
89,-10,0.015141182
90,35,0.227223634
91,5,0.215486023
92,40,0.295000077
93,5,0.190579668
94,-15,0.270155156
95,-30,0.193458151
96,10,0.233991025
97,30,0.234377158
98,35,0.141719532
99,0,0.224614676
100,25,0.280079485
101,0,0.051395454
102,-30,0.150032797
103,-20,0.072393972
104,-5,0.213849193
105,-40,0.231021312
106,-40,0.018576156
107,-35,0.253806698
108,-20,-0.022759952
109,-35,0.106138859
110,20,0.153202106
111,5,0.082337626
112,40,-0.028056024
113,-20,0.342738394
114,10,-0.025531905
115,15,0.217472371
116,20,0.154269299
117,40,0.198954438
118,15,0.18902976
119,-30,0.178507668
120,30,0.103099194
121,0,-0.043072173
122,40,0.126905774
123,0,0.189332253
124,25,0.138074416
125,15,0.146456118
126,-40,0.239398376
127,-25,0.059625186
128,-5,0.162555294
129,-5,0.062730446
130,25,0.151470203
131,35,0.063226668
132,-25,0.138577786
133,35,0.260911628
134,-30,0.240312795
135,30,0.101780023
136,15,0.100749326
137,-30,0.239809254
138,20,-0.035037591
139,15,0.162309942
140,20,0.176028308
141,-15,0.175822685
142,10,0.318160914
143,-30,0.135113422
144,0,0.218451932
145,-40,0.177386069
146,-15,0.07603074
147,10,0.162853581
148,-20,0.206410029
149,0,0.164621855
150,25,0.150084488
151,5,0.075455578
152,-25,0.0403499
153,-15,0.135152325
154,-30,0.230543936
155,35,-0.001545814
156,-35,0.186279031
157,5,0.25095812
158,40,0.108403424
159,30,0.084499691
160,25,0.183902021
161,25,0.145907753
162,20,0.342846181
163,10,0.160449909
164,-40,0.204017313
165,-35,0.262193297
166,-20,0.233545745
167,30,0.124882878
168,-25,0.187584003
169,40,0.148338366
170,35,0.113815261
171,0,0.080761205
172,25,0.166022675
173,-10,0.055946802
174,-10,0.170268094
175,20,0.054564507
176,15,0.209336376
177,-25,0.289513462
178,15,0.18122984
179,-5,0.040073206
180,-15,0.202825947
