TrialNumber,Eccentricity,ReactionTime_s_
1,-20,0.2296416
2,-5,0.2069969
3,-25,0.1919773
4,-15,0.1694314
5,-35,0.1310753
6,-5,0.1934464
7,-25,0.165088
8,-25,-0.0273723
9,-35,0.2122143
10,-10,0.1633823
11,-10,0.1912947
12,-15,0.2327216
13,-20,0.1812685
14,-5,0.2130618
15,-40,0.1360825
16,-35,0.185821
17,-35,0.2084547
18,-15,0.2364221
19,0,0.1860066
20,0,0.2406276
21,-10,0.2172858
22,-20,0.2349627
23,-20,0.2454863
24,0,0.2403192
25,0,0.1802201
26,-30,0.2161585
27,-20,0.2145057
28,-20,0.1889442
29,-15,0.164264
30,-30,0.2052471
31,-30,0.1812024
32,-5,0.1279245
33,-25,0.1760635
34,-40,0.2706475
35,-35,0.2170228
36,-40,0.3894319
37,-5,0.2615854
38,-25,0.1854384
39,-25,0.1857398
40,-10,0.2238318
41,-35,0.1709815
42,-40,0.1908929
43,-15,0.2010154
44,-40,0.1831281
45,-5,0.187579
46,0,0.2747572
47,-20,0.2041037
48,-30,0.2019739
49,-30,0.2644638
50,-40,0.2729978
51,-15,0.3415374
52,-30,0.229112
53,-25,0.2060945
54,-40,0.1542498
55,-35,0.1806586
56,-10,0.1497472
57,-15,0.0201004
58,-30,0.1468767
59,0,0.1756951
60,-30,0.1509323
61,-15,0.1396868
62,-30,0.1585514
63,-5,0.2149768
64,-30,0.1846467
65,-35,0.2123546
66,-35,0.2165865
67,-25,0.000268999999999998
68,0,0.3237112
69,-40,0.2118158
70,-15,0.1536457
71,-10,0.183904
72,0,0.203854
73,-5,0.1914488
74,-5,0.1642842
75,-40,0.2171301
76,-15,0.1484409
77,-10,0.1592366
78,-10,0.164338
79,0,0.1114997
80,-5,0.2819183
81,-25,0.1902146
82,-25,0.1952711
83,-20,0.2203048
84,-10,0.2489832
85,0,0.1946054
86,-10,0.2275131
87,-20,0.1565151
88,-40,0.7804514
89,-35,0.1952812
90,-20,0.3835211
91,25,0.1882006
92,5,0.1710088
93,40,0.1683451
94,15,0.2051346
95,20,0.1817405
96,10,0.1945464
97,30,0.1785598
98,20,0.2251215
99,10,0.1812414
100,10,0.1796966
101,40,0.2176734
102,25,0.1627886
103,5,0.1976863
104,0,-0.0321414
105,35,0.2532136
106,15,0.2054936
107,10,0.2047771
108,35,0.2237431
109,40,0.2275727
110,30,0.1961542
111,25,0.2466528
112,25,0.2206533
113,5,0.2569169
114,40,0.2035902
115,10,0.1956341
116,5,0.1904156
117,30,0.2672166
118,35,0.1991177
119,20,0.2213328
120,25,0.1862982
121,20,0.2117251
122,40,0.1781829
123,20,0.231251
124,0,0.1557499
125,40,0.1891486
126,15,0.1794593
127,10,0.19522
128,25,0.1926589
129,0,0.207223
130,30,0.3287778
131,30,0.2058363
132,15,0.1645416
133,0,0.1770807
134,0,0.2032827
135,0,0.1354344
136,40,0.1971443
137,40,0.2126183
138,35,0.1836659
139,30,0.3598552
140,25,0.1923039
141,5,0.1473989
142,5,0.6200434
143,5,0.1507141
144,40,0.1743543
145,30,0.1865116
146,30,0.1150364
147,15,0.1325724
148,35,-0.0033078
149,5,0.358588
150,20,0.2220805
151,35,0.2556736
152,25,0.2623328
153,0,0.2382445
154,0,0.225629
155,30,0.9902659
156,20,1.172984
157,25,0.1485377
158,35,0.1533139
159,20,0.2022677
160,35,0.167579
161,10,0.094039
162,20,0.1262605
163,15,0.1354047
164,40,0.1621605
165,10,0.1450373
166,15,0.1703608
167,35,0.2067549
168,25,0.2472155
169,10,0.0921766
170,0,0.1885902
171,5,0.1930025
172,15,0.0825655
173,10,0.1462635
174,20,0.1969366
175,5,0.219242
176,15,0.176962
177,0,0.1847061
178,30,0.1726116
179,35,0.2039739
180,15,0.1920235
