TrialNumber,Eccentricity,ReactionTime_s_
1,25,0.2709846
2,40,0.3336105
3,-40,0.1984754
4,-15,-0.0091388
5,-5,0.2235648
6,-15,0.1706124
7,-25,0.1870131
8,-20,0.1419421
9,-30,0.10658
10,-15,0.0112298
11,15,0.3201955
12,30,0.2174934
13,20,0.0963358
14,0,0.1993918
15,15,0.1959843
16,-15,0.0464818
17,-40,0.1553222
18,15,0.1659771
19,-5,0.3455629
20,30,0.3633427
21,-35,0.2555577
22,0,0.213603
23,-25,-0.0230318
24,-30,0.1377253
25,-10,0.0365161
26,20,0.1995237
27,-30,0.0900485
28,30,0.2022305
29,35,0.3143873
30,40,0.2042468
31,-25,0.3024833
32,-30,0.1488441
33,-40,0.1857657
34,25,0.2060034
35,-15,0.3052236
36,25,0.1934237
37,0,0.0405006
38,-35,0.2057018
39,-5,0.2056917
40,25,0.2344511
41,-25,0.1526862
42,-10,0.1892496
43,-30,0.2996237
44,30,0.2043329
45,-20,0.1924065
46,0,0.1923431
47,-10,0.1494679
48,-10,0.0325892
49,35,0.0685663
50,-20,-0.0259572
51,0,0.2347814
52,5,0.1703102
53,-10,0.1875169
54,15,0.191629
55,40,0.1926126
56,-35,0.1400453
57,10,0.118839
58,-20,0.0245749
59,5,-0.0237645
60,-20,-0.00975280000000001
61,5,0.0507126
62,25,0.1312295
63,0,-0.0211127
64,40,0.0063783
65,25,0.0417263
66,0,0.2267662
67,40,0.0430072
68,40,0.6180211
69,-40,0.1802117
70,-30,0.2789093
71,10,0.3319432
72,35,0.2261665
73,-15,0.1706928
74,5,0.1490939
75,5,0.2928509
76,20,0.1872775
77,40,0.2861228
78,30,0.1774788
79,30,0.1662889
80,-25,0.2125908
81,-40,0.2296038
82,15,0.2051944
83,-40,0.2322411
84,40,0.1119106
85,-20,0.125857
86,15,0.1255208
87,-5,-0.0488849
88,-10,0.1838922
89,-35,0.1904775
90,-20,0.2353776
91,35,0.3159293
92,-25,0.1673402
93,-15,0.166451
94,-20,0.298916
95,-5,0.2005879
96,5,0.196926
97,10,0.2151116
98,25,0.1550455
99,-10,0.2710207
100,5,0.3401711
101,-25,0.2018179
102,5,0.1712438
103,-15,0.2087588
104,10,0.1842191
105,20,0.2514492
106,20,0.1981626
107,15,0.2035835
108,20,0.0883625
109,-5,0.1824166
110,-5,0.1197177
111,35,0.1847913
112,10,0.1834557
113,10,0.1774465
114,-35,0.1569657
115,-30,0.3858477
116,30,0.3923891
117,25,0.345987
118,-15,0.2145105
119,-25,0.2118904
120,0,0.2288984
121,-40,0.5934779
122,0,0.1857043
123,0,0.1981759
124,20,0.1886422
125,-5,0.2173818
126,20,0.2362703
127,20,0.0213931
128,-30,0.3476063
129,0,0.4742821
130,35,0.1589488
131,15,0.2134451
132,-40,0.2114123
133,15,0.2645797
134,0,0.1775043
135,30,0.4019362
136,-35,0.1983814
137,-35,0.1648912
138,0,0.186014
139,15,0.1573015
140,30,0.278281
141,-20,0.2114592
142,-5,0.1928233
143,20,0.1590528
144,0,0.2039431
145,25,0.2003162
146,35,0.203803
147,-30,0.0548237
148,-25,0.2710538
149,-5,0.1522261
150,5,0.2614199
151,-25,0.2033012
152,0,0.2702494
153,10,0.1643586
154,0,0.1044766
155,-20,0.1844321
156,-40,0.1178186
157,10,0.2077311
158,-15,0.1593314
159,-35,0.2827656
160,-40,0.2381219
161,-10,0.2239412
162,-30,-0.0141979
163,0,0.0361426
164,0,0.1976699
165,0,0.1598681
166,30,0.118973
167,40,0.0968355
168,35,0.1121123
169,5,0.1927887
170,-10,0.176136
171,10,0.2043173
172,40,0.1834474
173,-10,0.4305245
174,-35,0.2096845
175,25,0.18385
176,-35,0.2272056
177,10,0.1850922
178,0,0.1057994
179,35,0.1417431
180,35,-0.0207239
