TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.443190871
2,-5,0.656366931
3,0,0.347957171
4,-15,0.837188274
5,-35,1.237129704
6,-35,0.996306897
7,-35,0.732701196
8,0,0.558533937
9,-25,0.648265877
10,-10,0.579831852
11,-5,0.621752816
12,-10,0.706019389
13,-40,0.710894464
14,-5,0.49077773
15,-30,0.589410997
16,0,0.375407576
17,-25,0.569894846
18,-25,0.709104554
19,-20,0.582808905
20,-20,0.560966221
21,-10,0.7326518
22,-15,0.979636561
23,-10,0.571855254
24,-35,0.870700999
25,-20,0.927331948
26,-5,0.50843746
27,-15,0.638840146
28,-15,0.637181596
29,-5,0.544024034
30,-5,0.563643025
31,-40,0.704636663
32,-40,0.732436277
33,-15,0.631563021
34,0,0.641499234
35,-10,0.575142109
36,-30,0.618524122
37,-15,0.680104943
38,-20,0.567404013
39,-5,0.456142568
40,-20,0.44822493
41,-25,0.524468372
42,-20,0.998310194
43,-35,0.887906316
44,0,0.491747969
45,-35,0.605438217
46,-30,0.971303911
47,-10,0.570802692
48,-25,0.499887625
49,-40,0.862109798
50,-35,0.649424338
51,-35,0.605810243
52,-10,0.601140438
53,-15,0.609338211
54,-35,0.563303114
55,-10,0.644696572
56,-30,0.708997102
57,-5,0.419239617
58,-25,0.462659546
59,-40,0.726208593
60,-40,0.985994071
61,0,0.48397106
62,0,0.395388912
63,-20,0.652105064
64,-20,0.43909168
65,-25,0.512497091
66,-30,0.652993355
67,-10,0.439488435
68,0,0.365610671
69,-25,0.543522482
70,-15,0.511928122
71,-40,0.75882876
72,-40,0.616473069
73,-25,0.600858932
74,-10,0.463775496
75,-15,0.624033269
76,-20,0.437358901
77,-20,0.757607188
78,-5,0.533447857
79,-40,0.587361718
80,0,0.652748479
81,-35,0.587289344
82,-5,0.537238603
83,-25,0.577578148
84,-40,0.822456877
85,-15,0.415173926
86,-30,0.487649487
87,-30,0.438949826
88,-30,0.467746527
89,-30,0.508692632
90,-30,0.506714648
91,30,0.731978422
92,35,0.988454417
93,35,0.63583474
94,0,0.406821469
95,40,0.655262578
96,25,0.712110926
97,35,0.513764016
98,10,0.520464972
99,5,0.470159798
100,0,0.444806357
101,5,0.388066355
102,30,0.839169206
103,10,0.57761772
104,10,0.538728714
105,30,0.850860391
106,40,0.691991212
107,25,0.571748157
108,40,0.835810727
109,35,0.695641106
110,40,0.628173698
111,5,0.574546109
112,25,0.74370514
113,20,0.564530546
114,20,0.623923513
115,30,0.539179387
116,15,0.544404345
117,0,0.462620465
118,10,0.601879686
119,30,0.509344568
120,0,0.498631025
121,25,0.562818112
122,20,0.477836638
123,40,0.545741351
124,10,0.405493289
125,15,0.407642391
126,15,0.487449859
127,0,0.671886225
128,15,0.625870201
129,10,0.42839702
130,35,0.593948888
131,15,0.447639079
132,15,0.542074317
133,35,0.475461954
134,20,0.730799573
135,20,0.58415975
136,10,0.549045037
137,10,0.57231669
138,5,0.391269723
139,25,0.458663373
140,20,0.586650173
141,20,0.62885603
142,5,0.372991782
143,30,0.58590149
144,5,0.568636184
145,25,0.599734426
146,5,0.535176249
147,20,0.544021565
148,25,0.476226518
149,20,0.449575754
150,0,0.655184813
151,40,0.881065068
152,0,0.479167224
153,30,0.4702774
154,25,0.615150965
155,5,0.531118772
156,25,0.554932816
157,20,0.594899963
158,0,0.434301566
159,5,0.557102501
160,40,0.9487336
161,10,0.45000647
162,35,0.461601302
163,25,0.66758738
164,30,0.505391568
165,30,0.50255439
166,30,0.739332078
167,35,0.614321733
168,15,0.541629329
169,35,0.593671328
170,15,0.480197942
171,5,0.475248881
172,0,0.50462207
173,40,0.564231188
174,15,0.634232049
175,0,0.503926586
176,10,0.445902763
177,40,0.654327229
178,15,0.666578932
179,40,0.533534632
180,35,0.492326038
