TrialNumber,Eccentricity,ReactionTime_s_
1,-5,0.526616771
2,-40,0.569280891
3,0,0.465798592
4,-30,0.521332479
5,40,0.703545198
6,-40,0.506981662
7,0,0.519933114
8,-15,0.647142928
9,15,0.637599284
10,30,0.600699759
11,-20,0.499734849
12,10,0.433863309
13,-5,0.61951579
14,25,0.792982044
15,5,0.574466531
16,0,0.368772873
17,-40,0.691698729
18,0,0.281543017
19,-15,0.421374389
20,40,0.649620369
21,-30,0.372704442
22,-20,0.550982361
23,20,0.40697171
24,35,0.646191514
25,5,0.455537987
26,15,0.561921101
27,-30,0.561580074
28,5,0.290346732
29,0,0.453054856
30,-25,0.425070297
31,-15,0.386214399
32,-35,0.766439408
33,-30,0.487432295
34,30,0.584665841
35,-25,0.532470741
36,5,0.361539429
37,20,0.528546494
38,30,0.429982946
39,10,0.54782976
40,40,0.674663546
41,10,0.349700107
42,-20,0.567544987
43,-30,0.671548657
44,10,0.495372205
45,-35,0.567190554
46,0,0.344576409
47,15,0.635799378
48,-25,0.577998042
49,20,0.678447044
50,35,0.537070563
51,-5,0.739639937
52,10,0.627320029
53,-35,0.651463409
54,0,0.347222836
55,25,0.362853309
56,0,0.424202502
57,35,0.724303538
58,-25,0.613291585
59,0,0.388298645
60,35,0.533004917
61,0,0.606196292
62,10,0.447653764
63,-5,0.505169501
64,30,0.793449863
65,-30,0.769653222
66,30,0.456682548
67,25,0.531936446
68,-20,0.745394085
69,20,0.563374032
70,15,0.457625988
71,5,0.616273879
72,30,0.595423996
73,0,0.346555271
74,-5,0.532698313
75,20,0.499205412
76,-35,0.797073576
77,-40,0.571187351
78,0,0.3367216
79,25,0.570137552
80,20,0.661292435
81,-10,0.611598854
82,35,0.837607629
83,-30,0.621943542
84,30,0.722857672
85,-25,0.628516098
86,5,0.442628903
87,15,0.370178079
88,40,0.600994702
89,15,0.499967055
90,-5,0.528868505
91,-40,0.82708476
92,35,0.617508211
93,10,0.602884779
94,-5,0.351873085
95,0,0.420667467
96,40,0.541890669
97,30,0.794163236
98,-15,0.347413398
99,-35,0.715582556
100,15,0.539710896
101,15,0.469271751
102,-15,0.538466589
103,-15,0.510004835
104,-30,0.655896499
105,0,0.372512923
106,-30,0.614280707
107,-15,0.734930631
108,30,0.462400274
109,25,0.777942436
110,-10,0.446900575
111,5,0.447633908
112,10,0.464120667
113,-10,0.30330631
114,5,0.322538522
115,25,0.457346723
116,-20,0.618795141
117,35,0.803758124
118,-20,0.495292779
119,-5,0.355724381
120,20,0.786912161
121,-35,0.751343593
122,35,0.410303695
123,0,0.498063429
124,-35,0.537849285
125,-25,0.605346601
126,-40,0.659082933
127,-35,0.639141532
128,-10,0.386276226
129,20,0.449801754
130,40,0.500367188
131,0,0.485828889
132,-40,0.793873092
133,-10,0.73173133
134,0,0.420572484
135,-25,0.794128653
136,25,0.652841155
137,35,0.529044625
138,0,0.495946729
139,35,0.490983241
140,20,0.729923912
141,15,0.485267736
142,-35,0.525033751
143,20,0.51246366
144,10,0.552834039
145,-10,0.444326804
146,-10,0.495303837
147,-25,0.622165865
148,5,0.65043106
149,5,0.305390518
150,25,0.519304472
151,25,0.419508551
152,10,0.422125368
153,15,0.36851906
154,-30,0.562044244
155,-40,0.581759611
156,0,0.545229443
157,-20,0.535076493
158,-10,0.550076116
159,-5,0.490428828
160,-40,0.636936639
161,-35,0.451553123
162,40,0.740366073
163,-15,0.439837937
164,40,0.408631691
165,-25,0.643591428
166,-25,0.363659854
167,0,0.518915167
168,30,0.391495951
169,40,0.873475182
170,-15,0.659558627
171,-20,0.45314446
172,-10,0.410057048
173,40,0.721362415
174,-40,0.855339267
175,-10,0.445166557
176,25,0.29948081
177,-15,0.422538404
178,-20,0.381911376
179,-20,0.281544145
180,-5,0.345679029
