TrialNumber,Eccentricity,ReactionTime_s_
1,30,0.8036406
2,35,0.8299286
3,10,0.4032732
4,5,0.4404549
5,15,0.5930999
6,15,0.6436614
7,40,1.3587723
8,10,0.424019
9,35,1.1510813
10,20,0.4699832
11,15,0.5678183
12,5,0.4401595
13,35,0.5272998
14,30,0.8049505
15,30,0.5446295
16,10,0.3906511
17,25,0.6124726
18,5,0.4332716
19,40,0.4384082
20,15,0.6025984
21,20,0.4362779
22,40,0.681888
23,20,0.5192241
24,25,0.4738433
25,10,0.4997719
26,35,0.5409795
27,5,0.652401
28,5,0.4379791
29,15,0.4779508
30,10,0.4153033
31,0,0.4382264
32,20,0.5462897
33,40,0.5552029
34,25,0.6277537
35,20,0.5030377
36,5,0.5357197
37,35,0.8483342
38,25,0.6274994
39,0,0.382161
40,0,0.3716558
41,25,0.4444533
42,25,0.4955687
43,0,0.4077864
44,0,0.2847017
45,5,0.3100669
46,10,0.5342724
47,25,0.4725096
48,40,0.5412465
49,15,0.4818664
50,0,0.5282272
51,20,0.4052031
52,10,0.3920516
53,20,0.5812225
54,10,0.4220576
55,35,1.4129939
56,15,0.6279453
57,15,0.4558843
58,30,0.5788058
59,15,0.4944533
60,30,0.5955303
61,30,0.650247
62,0,0.5858752
63,30,0.6145216
64,0,0.4962381
65,5,0.4501856
66,10,0.5008466
67,20,0.4290452
68,25,0.5492526
69,40,1.2147799
70,35,0.7007893
71,35,1.5088125
72,0,0.549049
73,5,0.3857396
74,20,0.5034586
75,30,0.903119
76,40,1.3901425
77,35,0.7437474
78,40,0.9306114
79,20,0.5575143
80,5,0.5153409
81,25,0.6272079
82,15,0.4668416
83,10,0.4545062
84,0,0.3768378
85,30,0.435752
86,35,0.4637006
87,25,0.4127303
88,40,0.8596722
89,30,0.6429885
90,40,0.5748387
91,-10,0.4345972
92,0,0.4951209
93,-10,0.4642097
94,-5,0.3592764
95,-35,0.5394769
96,-30,0.6487971
97,-35,0.6263752
98,-10,0.4831908
99,-40,0.5294172
100,0,0.5149855
101,-25,0.6295194
102,-30,0.4988125
103,-15,0.3535586
104,-5,0.3844029
105,-20,0.4806541
106,-20,0.3794432
107,-5,0.3059492
108,-35,0.3971671
109,-10,0.6318724
110,-20,0.4726857
111,-35,0.4236756
112,-35,1.4253453
113,-40,0.7747903
114,-40,1.2085031
115,-25,0.52367
116,0,0.3400786
117,-40,0.4224293
118,-5,0.3307601
119,-30,0.2510062
120,-5,0.3206385
121,-15,0.74098
122,-20,0.6683902
123,0,0.2851012
124,-25,0.3930393
125,-10,0.4543737
126,-30,1.0107263
127,-30,0.7090495
128,-20,0.5102692
129,0,0.5235499
130,0,0.4545503
131,-20,0.4873037
132,-10,0.5710443
133,-25,0.4226569
134,-15,0.3489835
135,-10,0.497464
136,-40,0.5138917
137,-15,0.4888528
138,-20,0.7199034
139,-35,0.6927273
140,-25,0.4880342
141,-15,0.4191118
142,-30,1.0490139
143,-20,0.6311338
144,-5,0.4742606
145,-10,0.4359345
146,-40,1.2648491
147,-25,0.5903371
148,-40,0.7142454
149,-5,0.3424271
150,-5,0.3936106
151,0,0.2614982
152,-10,0.4647515
153,-25,0.537149
154,-30,0.6560643
155,-20,0.3899825
156,-15,0.4504559
157,-40,1.1786016
158,-15,0.5414119
159,-25,0.4440859
160,-30,0.5503271
161,-5,0.5367362
162,-15,0.5510349
163,-25,0.8195223
164,-15,0.6739512
165,-40,0.5759515
166,-35,0.4935092
167,-25,0.3819729
168,-5,0.4637567
169,-30,0.5239651
170,0,0.4322823
171,-35,0.5482556
172,0,0.2703733
173,-15,0.5473536
174,-35,0.5310133
175,-20,0.5409837
176,0,0.5128531
177,-30,1.1445898
178,-10,0.5240073
179,-35,0.4560218
180,-40,1.0116808
