TrialNumber,Eccentricity,ReactionTime_s_
1,-40,0.7211362
2,-35,0.8889531
3,-25,0.8198355
4,-20,0.8618983
5,-5,0.6492589
6,-20,0.6884103
7,0,0.4461772
8,0,0.4717976
9,-40,0.5022643
10,0,0.4536805
11,-35,0.6340013
12,-30,0.4625126
13,-20,0.4659299
14,-25,0.5217002
15,-40,0.5474564
16,-5,0.5315632
17,-5,0.375413
18,-25,0.4211612
19,-5,0.545982
20,0,0.559124
21,-35,0.8511392
22,-15,0.5207304
23,-20,0.5098721
24,-10,0.4967891
25,-15,0.5015713
26,-35,0.4587304
27,-25,0.4312749
28,-15,0.4895241
29,-35,0.4337388
30,0,0.4418441
31,-20,0.5036036
32,-10,0.5284808
33,-20,0.5524869
34,-35,0.6192354
35,-10,0.5645656
36,-25,0.3825625
37,0,0.4727194
38,-30,0.490384
39,-15,0.5149084
40,-15,0.5259303
41,0,0.42159
42,0,0.3900858
43,-25,0.4540916
44,-40,0.565749
45,-35,0.5345454
46,-40,0.6226233
47,-30,0.5121104
48,-10,0.6480717
49,-25,0.428162
50,-5,0.4133901
51,-5,0.3967022
52,-30,0.8495562
53,-35,0.515214
54,-5,0.4792927
55,-40,0.4519837
56,-20,0.4356839
57,-30,0.4583084
58,-20,0.496459
59,-40,0.3948406
60,-5,0.4413905
61,-35,0.4342542
62,-40,0.5121261
63,-15,0.4838158
64,-5,0.4680092
65,-25,0.3244587
66,-15,0.3800532
67,0,0.386318
68,-35,0.556277
69,-15,0.6256158
70,-30,0.405619
71,-30,0.5328238
72,-10,0.3964384
73,-15,0.5314173
74,-5,0.391459
75,-10,0.5949349
76,-40,0.5249482
77,-10,0.4945958
78,-10,0.5401656
79,-20,0.5884573
80,-10,0.4912068
81,-25,0.5700985
82,-15,0.4948435
83,-30,0.5853535
84,-30,0.5311779
85,-25,0.538195
86,-40,0.4991209
87,-30,0.5993385
88,0,0.5651508
89,-20,0.6890484
90,-10,0.4661147
91,5,0.5674363
92,15,0.5589017
93,35,0.6233492
94,5,0.4857818
95,5,0.645018
96,20,0.3307483
97,0,0.4782294
98,10,0.307613
99,20,0.506192
100,25,0.5172358
101,5,0.4783236
102,40,0.5406406
103,10,0.4899531
104,20,0.4522835
105,20,0.5152799
106,30,0.7676335
107,30,0.7003712
108,40,0.7082249
109,0,0.475939
110,20,0.491748
111,35,0.4695742
112,0,0.41245
113,20,0.503122
114,15,0.4251263
115,15,0.4771825
116,35,0.4321564
117,15,0.4160667
118,35,0.4741472
119,0,0.4737495
120,10,0.4960292
121,25,0.5353226
122,25,0.394028
123,5,0.4999198
124,10,0.3941595
125,15,0.406738
126,0,0.3803334
127,25,0.4076141
128,0,0.3944356
129,15,0.41178
130,20,0.4336548
131,10,0.4439447
132,0,0.4225807
133,30,0.5670086
134,40,0.6671789
135,0,0.5772613
136,10,0.5147641
137,30,0.5033318
138,35,0.4476689
139,20,0.3865547
140,40,0.4653862
141,25,0.5188413
142,40,0.4901958
143,40,0.3964722
144,15,0.4552638
145,30,0.5756676
146,40,0.5398834
147,5,0.4631449
148,25,0.5944163
149,40,0.6857644
150,5,0.6000522
151,0,0.455492
152,5,0.4992732
153,10,0.4417984
154,25,0.4882165
155,5,0.708038
156,35,0.6177103
157,0,0.4625614
158,25,0.4760221
159,35,0.5263174
160,20,0.5741993
161,30,0.453933
162,35,0.5957298
163,25,0.6033762
164,30,0.6338045
165,25,0.5597905
166,35,0.6179979
167,30,0.6559579
168,20,0.5749041
169,10,0.4594257
170,15,0.6221619
171,30,0.6107356
172,5,0.4525264
173,15,0.6226909
174,15,0.5435082
175,35,0.7755819
176,40,0.5581321
177,30,0.6616017
178,40,0.7667676
179,10,0.7251509
180,10,0.6393269
