TrialNumber,Eccentricity,ReactionTime_s_
1,-30,0.544763197
2,-20,0.574389382
3,25,0.597462409
4,20,0.618050253
5,25,0.647307351
6,-25,0.752017373
7,10,0.609576381
8,-5,0.62316409
9,40,0.742839868
10,0,0.555744259
11,-10,0.433311067
12,35,0.469954964
13,-35,0.44721548
14,30,0.626719375
15,35,0.547800946
16,40,0.583819208
17,10,0.51657776
18,-30,0.709289005
19,5,0.620841775
20,-10,0.545689583
21,20,0.755728435
22,15,0.402237013
23,0,0.470439683
24,5,0.668427258
25,0,0.60672438
26,20,0.55616899
27,-20,0.592782523
28,25,0.684052378
29,-30,0.542431005
30,-20,0.114190487
31,5,0.656249957
32,20,0.644743186
33,5,0.583482853
34,-30,0.26795932
35,20,0.234668351
36,0,0.381275883
37,-25,0.574949576
38,15,0.487769308
39,0,0.35799786
40,0,0.494947452
41,-15,0.637851456
42,-35,0.209610121
43,5,0.582332754
44,15,0.739451459
45,40,0.264981661
46,25,0.349293679
47,-5,0.503067415
48,10,0.731294313
49,-35,0.686008933
50,-35,0.448777317
51,0,0.474325634
52,25,0.571034058
53,-25,0.437924472
54,35,0.532822022
55,35,0.730672112
56,0,0.366826294
57,-10,0.172329887
58,5,0.230615845
59,0,0.625456997
60,20,0.638709049
61,10,0.498855962
62,35,0.351769724
63,15,0.501109906
64,-40,0.413573573
65,-5,0.850044202
66,0,0.659297487
67,10,0.572646251
68,-15,0.574564692
69,0,0.148362733
70,-10,0.707934313
71,0,0.189193389
72,15,0.469643521
73,40,0.604168154
74,35,0.495742361
75,-10,0.24497871
76,25,0.524918439
77,0,0.73444737
78,-5,0.900076223
79,-5,0.363143395
80,-15,0.719805763
81,30,0.62072603
82,5,0.512576541
83,15,0.817870958
84,30,0.732131787
85,0,0.382933761
86,-20,0.529267115
87,0,0.39021662
88,-30,0.591822745
89,-5,0.529806743
90,20,0.730951171
91,-35,0.636609383
92,40,0.794207733
93,-20,0.653328969
94,-5,0.513272939
95,40,0.568144918
96,35,0.625815768
97,-35,0.606708232
98,35,0.444081533
99,-20,0.18390216
100,-15,0.759486146
101,10,0.532967087
102,25,0.592828047
103,5,0.440952959
104,-30,0.88807254
105,-40,0.472108921
106,35,0.686496546
107,0,0.651347996
108,-10,0.613822467
109,30,0.605002772
110,-40,0.207813362
111,0,0.536978294
112,-10,0.385334773
113,0,0.324818381
114,-30,0.463203773
115,-15,0.187369823
116,10,0.509962212
117,10,0.247354659
118,-25,0.174044909
119,-25,0.616846234
120,-15,0.235389393
121,-35,0.32784473
122,10,0.484071594
123,30,0.694287796
124,-40,0.488623873
125,-20,0.38547457
126,-25,0.679411905
127,15,0.648669192
128,-40,0.346977661
129,20,0.679900076
130,-10,0.383337691
131,-5,0.801248538
132,-20,0.626692737
133,-10,0.675206901
134,30,0.623815549
135,-5,0.544952452
136,-5,0.576900001
137,-40,0.442993884
138,5,0.827779088
139,-10,0.634432392
140,-35,0.349068783
141,40,0.501405852
142,15,0.648415657
143,-40,0.535591975
144,10,0.682683081
145,-20,0.718178064
146,-15,0.372109055
147,-35,0.53602166
148,25,0.533326255
149,-25,0.378714044
150,-25,0.333407978
151,20,0.631291816
152,20,0.535323862
153,-25,0.510315866
154,5,0.603426424
155,-25,0.834288679
156,30,0.713349536
157,30,0.708866023
158,25,0.579209897
159,40,0.881605138
160,15,0.574381586
161,25,0.701242307
162,15,0.670600391
163,30,0.808740985
164,0,0.560533573
165,-15,0.685328401
166,-15,0.67989989
167,40,0.826518901
168,-30,1.169992278
169,-15,1.038965901
170,30,0.783924236
171,0,0.895241457
172,-30,0.893904419
173,35,0.899156963
174,-30,0.839062183
175,-40,0.953702302
176,40,0.80703736
177,-40,0.862079435
178,-35,1.052863984
179,-20,1.077747383
180,-40,0.618614057
