TrialNumber,Eccentricity,ReactionTime_s_
1,20,0.6885162
2,10,0.5303178
3,-20,0.5722376
4,-15,0.4880703
5,0,0.4841931
6,-35,1.1732071
7,-40,0.8255938
8,-30,0.6423354
9,20,0.8004502
10,35,1.0913725
11,-35,0.8416877
12,25,0.4550439
13,30,0.5812965
14,5,0.5951517
15,-25,0.7157084
16,-35,0.5562434
17,-5,0.3851378
18,20,0.5281528
19,-10,0.2444351
20,-30,0.4295016
21,35,0.8963127
22,-35,0.6212294
23,-25,0.4225554
24,-15,0.3437066
25,30,0.5892929
26,0,0.4349259
27,-20,0.6512034
28,-40,1.2382271
29,-40,0.4820969
30,30,1.1281327
31,10,0.3876901
32,40,0.643223
33,0,0.2691152
34,5,0.2515171
35,15,0.5710371
36,10,1.1643889
37,25,0.8524609
38,-5,0.628927
39,30,0.5819272
40,-35,0.6769547
41,-20,0.6571699
42,35,0.6613516
43,-30,0.5641759
44,-10,0.3160131
45,30,0.7950171
46,15,0.5493845
47,-35,0.3875263
48,-15,0.6459062
49,0,0.4459797
50,25,0.689874
51,20,0.4170133
52,5,0.662617
53,-10,0.7673824
54,40,0.7626178
55,-40,0.7257932
56,15,0.5864626
57,5,0.5114725
58,20,0.786073
59,10,0.4631444
60,-25,0.5146946
61,-5,0.4794336
62,-30,0.6000449
63,40,0.899045
64,15,0.799605
65,-25,0.6988384
66,5,0.5768258
67,-25,0.9422095
68,20,0.6818181
69,-30,0.6985716
70,10,0.7028493
71,40,0.9577542
72,-5,0.6005703
73,25,0.7007502
74,-5,0.8603804
75,35,0.7136198
76,0,0.6080924
77,0,0.5699707
78,0,0.4705359
79,0,0.5452221
80,-15,0.7763039
81,-20,0.6516449
82,-5,0.5797219
83,5,0.6399788
84,-10,0.5592947
85,0,0.625851
86,25,0.6952468
87,-5,0.5312031
88,-15,0.7032531
89,0,0.5828228
90,-40,0.9549878
91,10,0.6657524
92,-15,0.668062
93,35,0.5489413
94,30,0.432433
95,-15,0.3554215
96,-15,0.5704774
97,-20,0.6897444
98,-10,0.704914
99,5,0.5769716
100,-15,0.4358275
101,25,0.5857998
102,-10,0.4582598
103,-30,0.8221898
104,0,0.4171973
105,20,0.5511348
106,-25,0.6148846
107,25,0.8449457
108,-10,0.5817474
109,0,0.5870673
110,5,0.5517776
111,-5,0.8129079
112,-20,0.6182581
113,15,1.133667
114,35,0.8465889
115,0,0.5362945
116,-25,0.5910033
117,-35,0.699694
118,35,0.5924796
119,25,0.5312705
120,5,0.48858
121,0,0.6469714
122,20,0.7693964
123,20,0.714787
124,40,0.5832585
125,-10,0.4824148
126,10,0.360888
127,35,0.6759259
128,-35,0.6194748
129,-30,0.6580889
130,-5,0.4922544
131,35,0.7467609
132,-25,0.5633852
133,30,0.9117957
134,15,0.6863158
135,20,0.5468136
136,-20,0.4346314
137,40,0.5442511
138,15,0.4140523
139,30,0.6825872
140,40,0.835816
141,-30,0.7747822
142,25,0.9267721
143,30,0.63375
144,40,0.8042241
145,-20,0.6300432
146,-25,0.6804158
147,0,0.5199863
148,40,0.6642936
149,40,0.6604252
150,-10,0.4174365
151,-40,0.3460641
152,-40,0.7202836
153,0,0.6131508
154,-35,0.6123028
155,15,0.509143
156,-20,0.5541878
157,15,0.7182602
158,-40,0.9757646
159,5,0.572704
160,-20,0.6546922
161,-40,0.5536952
162,-30,0.5421088
163,-30,0.5253954
164,35,0.6037753
165,10,0.6547253
166,-5,0.6181866
167,30,0.6053798
168,25,0.9509895
169,0,0.5515743
170,-15,0.5810289
171,10,0.3203481
172,10,0.3479993
173,-35,0.4380746
174,0,0.9871052
175,15,0.7306413
176,0,0.5414083
177,-10,0.4501163
178,0,0.5372738
179,-40,0.6739349
180,-25,0.5418512
