TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.539158912
2,-25,0.555832081
3,-35,0.589646796
4,-5,0.441668653
5,-40,0.599077057
6,-15,0.527044897
7,-35,0.574167266
8,0,0.527252655
9,-35,0.523520299
10,-5,0.439550457
11,35,0.624077756
12,20,0.457768811
13,0,0.395712188
14,-20,0.350973473
15,-20,0.399578645
16,30,0.460141997
17,25,0.451100511
18,-30,0.407524963
19,15,0.379538392
20,5,0.386336871
21,-10,0.596015858
22,-25,0.538889322
23,30,0.648650861
24,-25,0.586707533
25,10,0.483454537
26,15,0.45886734
27,-25,0.579575231
28,25,0.490183239
29,10,0.661156625
30,15,0.558901641
31,0,0.515015005
32,-40,0.571986109
33,10,0.545975788
34,5,0.517175949
35,5,0.505065693
36,40,0.582788838
37,-5,0.457192816
38,-15,0.545501071
39,15,0.478235567
40,-25,0.525341581
41,-30,0.585374491
42,5,0.415998938
43,-15,0.507795726
44,20,0.594436363
45,25,0.53681382
46,25,0.482515034
47,-20,0.397134754
48,0,0.501190331
49,-10,0.418841415
50,-5,0.462890458
51,40,0.702606657
52,5,0.370492615
53,15,0.406599342
54,30,0.48986262
55,40,0.690000184
56,0,0.599835569
57,30,0.545396259
58,-15,0.523283153
59,-20,0.522056744
60,-10,0.486102483
61,-35,0.498386243
62,10,0.470269451
63,0,0.406426186
64,10,0.532614453
65,-20,0.38042024
66,-25,0.502393974
67,-15,0.392085229
68,35,0.619599294
69,-5,0.521425806
70,35,0.497072145
71,0,0.428269581
72,-40,0.546916102
73,15,0.396447257
74,-10,0.465077955
75,-25,0.368776481
76,10,0.490184548
77,20,0.454858242
78,0,0.397992266
79,-5,0.441225809
80,0,0.383202347
81,25,0.486159906
82,10,0.427572507
83,0,0.371636967
84,0,0.382946343
85,25,0.417525712
86,0,0.54887753
87,35,0.653516229
88,-15,0.495067242
89,-15,0.391182429
90,0,0.478924049
91,30,0.555691312
92,-20,0.598664585
93,40,0.73880215
94,20,0.4570473
95,-40,0.502329526
96,-10,0.4076073
97,-30,0.515900759
98,-40,0.617730159
99,-35,0.575389898
100,-10,0.441829347
101,35,0.55473777
102,0,0.487609232
103,25,0.474678716
104,5,0.39459516
105,-10,0.364417901
106,-25,0.418478745
107,-5,0.459023506
108,20,0.431224832
109,25,0.407797006
110,30,0.541152294
111,5,0.346319135
112,20,0.434487451
113,0,0.440277016
114,15,0.378287551
115,10,0.441680002
116,-35,0.471996191
117,-15,0.491253283
118,15,0.466793995
119,-40,0.480701947
120,-40,0.543060343
121,-20,0.425395767
122,-5,0.469238993
123,-40,0.539859058
124,20,0.381622215
125,5,0.416313138
126,-30,0.555115448
127,-35,0.4795743
128,-10,0.401683502
129,-25,0.396070212
130,-30,0.48090091
131,0,0.4678192
132,-20,0.41720319
133,-10,0.441496508
134,-5,0.409420807
135,40,0.519678117
136,0,0.549805829
137,15,0.494132636
138,40,0.512418115
139,20,0.426273964
140,5,0.400794892
141,-30,0.59160279
142,20,0.473893254
143,25,0.481010429
144,-40,0.473701417
145,15,0.408535829
146,-30,0.432424852
147,10,0.424977894
148,20,0.484368182
149,-5,0.515180471
150,35,0.506933428
151,-20,0.525032225
152,-25,0.450431704
153,30,0.553113488
154,40,0.454050903
155,-10,0.444214763
156,35,0.440388879
157,35,0.438912076
158,-15,0.360596852
159,-30,0.513331202
160,-20,0.479088934
161,-35,0.572574303
162,-40,0.48276005
163,40,0.442055645
164,10,0.466731024
165,35,0.485785253
166,-30,0.476379268
167,40,0.550668324
168,-35,0.480144054
169,0,0.477132144
170,-35,0.667921615
171,-30,0.501081656
172,40,0.507687388
173,5,0.546439799
174,-15,0.477845214
175,0,0.501162774
176,30,0.546046821
177,30,0.546047983
178,35,0.581309344
179,25,0.543115702
180,30,0.547535175
