TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.3356565
2,5,0.3224833
3,10,0.398772
4,5,0.3717893
5,30,0.5247725
6,10,0.5095022
7,25,0.4010735
8,0,0.3833838
9,5,0.5274692
10,10,0.4151183
11,15,0.4195112
12,20,0.568468
13,20,0.5349836
14,20,0.4410405
15,20,0.492733
16,5,0.4085081
17,30,0.5986693
18,20,0.5564024
19,10,0.5213588
20,30,0.6226849
21,20,0.5027913
22,20,0.462408
23,0,0.4129663
24,30,0.5086515
25,15,0.4225862
26,0,0.4357096
27,35,0.6232251
28,25,0.6892909
29,25,0.6430996
30,5,0.4220613
31,5,0.3911645
32,25,0.5423784
33,30,0.5047051
34,10,0.3708828
35,0,0.4241133
36,10,0.4791928
37,15,0.5137979
38,5,0.5745346
39,0,0.3865565
40,40,0.6044013
41,40,0.4974686
42,15,0.6224519
43,20,0.5661282
44,30,0.6696407
45,25,0.3724223
46,15,0.3952441
47,20,0.5501256
48,0,0.4487479
49,25,0.4652751
50,5,0.5002188
51,15,0.6564468
52,0,0.4224299
53,10,0.5819589
54,5,0.4553906
55,0,0.5366197
56,10,0.4515089
57,10,0.5795761
58,35,0.4440245
59,15,0.4874923
60,25,0.4105899
61,35,0.4744772
62,40,0.515989
63,0,0.4528555
64,35,0.6579602
65,35,0.7301298
66,35,0.4845831
67,25,0.6106191
68,30,0.5862054
69,15,0.5176943
70,30,0.5011851
71,15,0.5539439
72,25,0.4542393
73,15,0.4111439
74,40,0.5584334
75,10,0.4937537
76,5,0.3996769
77,30,0.5931286
78,35,0.6353937
79,30,0.6212896
80,35,0.5793408
81,40,0.5143997
82,20,0.5137578
83,35,0.4395209
84,40,0.6365475
85,25,0.4133152
86,40,0.3886434
87,35,0.4690319
88,40,0.6847672
89,40,0.5016641
90,40,0.6714523
91,-25,0.4933773
92,-15,0.4012789
93,-15,0.3487178
94,-15,0.3855499
95,-35,0.5834876
96,-20,0.422551
97,0,0.4432184
98,-15,0.3193339
99,-30,0.4804639
100,-5,0.5245987
101,-10,0.7452163
102,-20,0.5979189
103,-15,0.4667089
104,-10,0.466555
105,-5,0.5506318
106,-30,0.487779
107,-5,0.6800721
108,0,0.4067812
109,-20,0.6160031
110,-20,0.6113033
111,0,0.4479343
112,-40,0.544348
113,-20,0.6085735
114,-35,0.5083398
115,-10,0.5291488
116,-15,0.9215871
117,-35,0.5087803
118,-5,0.5609103
119,-5,0.4071092
120,-5,0.4119967
121,0,0.4251484
122,-35,0.7503212
123,-15,0.4590901
124,-30,0.4253057
125,0,0.4323869
126,-40,0.6661448
127,-25,0.6926557
128,-25,0.7890321
129,-20,0.6316572
130,-15,0.4749214
131,-15,0.5441059
132,-25,0.8617599
133,-10,0.4323606
134,-25,0.672583
135,-35,0.5637067
136,-20,0.5941481
137,-40,0.4234193
138,-20,0.5751281
139,-30,0.5285948
140,0,0.6625908
141,-25,0.4567302
142,-40,0.7539352
143,-40,0.7215826
144,-40,0.7912922
145,0,0.6735938
146,-10,0.452397
147,-10,0.5082796
148,-25,0.5877455
149,0,0.4870818
150,-35,0.4556133
151,-5,0.440448
152,-35,0.775713
153,-30,0.6799553
154,0,0.495191
155,-10,0.4042185
156,-10,0.5350663
157,-40,0.5707496
158,0,0.4056661
159,-40,0.4524285
160,-25,0.3661349
161,-15,0.5733821
162,-5,0.5085267
163,-35,0.5323307
164,-20,0.7493612
165,-25,0.9325033
166,-30,0.9760815
167,-10,0.4911256
168,-5,0.4748797
169,-35,0.709053
170,-20,0.4637715
171,-10,0.6046417
172,-30,0.5230152
173,-40,0.7845385
174,-30,0.4557582
175,-25,0.4664271
176,-40,0.5058062
177,-30,0.6859578
178,-30,0.6826274
179,-5,0.4814016
180,-35,0.7128726
