TrialNumber,Eccentricity,ReactionTime_s_
1,-15,0.6257212
2,40,0.6048324
3,5,0.3950572
4,-40,0.6036541
5,-35,0.5764427
6,20,0.450874
7,-15,0.5505202
8,0,0.426555
9,25,0.4793576
10,-25,0.6271458
11,-20,0.6029507
12,0,0.3867388
13,30,0.514347
14,-5,0.440728
15,-15,0.6232574
16,20,0.4893859
17,40,0.7175703
18,25,0.6412606
19,-5,0.4220494
20,0,0.4203939
21,-15,0.5473934
22,25,0.5481568
23,-30,0.5618856
24,-30,0.6238481
25,15,0.4586563
26,-10,0.5377075
27,0,0.4747144
28,15,0.4566814
29,30,0.6001777
30,-20,0.5003009
31,25,0.5726782
32,-10,0.5720471
33,-30,0.7255883
34,-10,0.6071823
35,0,0.4982125
36,20,0.5045627
37,-20,0.6163734
38,0,0.5238307
39,40,0.7900083
40,5,0.4123671
41,-10,0.4132227
42,-15,0.5196026
43,35,0.6118966
44,-20,0.4946895
45,-15,0.4732245
46,40,0.796919
47,-40,0.6078156
48,-25,0.4475746
49,20,0.5487328
50,-25,0.6279064
51,-40,0.4738506
52,5,0.4434455
53,-10,0.4347661
54,25,0.5073078
55,-35,0.5879209
56,-40,0.6224166
57,-20,0.583919
58,-30,0.6149761
59,10,0.4621222
60,0,0.4399574
61,5,0.4370865
62,-10,0.4923422
63,-15,0.5119204
64,20,0.5051189
65,40,0.6227014
66,40,0.6019897
67,0,0.4678762
68,-25,0.7898898
69,-20,0.5501829
70,-35,0.777967
71,35,0.5735317
72,-35,0.6310638
73,-25,0.5591834
74,15,0.563658
75,35,0.6151763
76,30,0.6737894
77,-35,0.5864274
78,20,0.764583
79,-10,0.6982433
80,0,0.4405657
81,-20,0.6670893
82,25,0.6695721
83,25,0.5031448
84,5,0.5188583
85,25,0.6270491
86,30,0.6478738
87,-40,0.6374518
88,-25,0.5049472
89,15,0.5237307
90,30,0.6127944
91,0,0.5978301
92,10,0.5864226
93,5,0.5456772
94,-25,0.6911336
95,35,0.6901402
96,15,0.5556663
97,-20,0.6347066
98,5,0.5291974
99,30,0.6043152
100,35,0.4942074
101,-10,0.4424374
102,15,0.5883572
103,-15,0.5797821
104,-30,0.5821567
105,0,0.5563263
106,30,0.4938041
107,-35,0.4946133
108,30,0.55723
109,-5,0.589394
110,-30,0.5951615
111,20,0.5227142
112,-10,0.5940139
113,10,0.7212909
114,0,0.5582533
115,-10,0.585259
116,-5,0.4630473
117,5,0.6018101
118,10,0.5172381
119,10,0.4716127
120,-5,0.6310943
121,-15,0.6298047
122,-5,0.5412451
123,20,0.5593339
124,-5,0.5948478
125,15,0.5669909
126,-40,0.6536658
127,0,0.5502776
128,10,0.5593155
129,10,0.6418284
130,-25,0.5035854
131,-40,0.5584001
132,35,0.4945658
133,-35,0.6977112
134,15,0.5256798
135,-25,0.6400716
136,-40,0.8021967
137,0,0.4917617
138,0,0.4330603
139,-25,0.5146567
140,35,0.6418015
141,-35,0.8794914
142,-5,0.6446378
143,-40,0.5588131
144,35,0.6232602
145,15,0.6573895
146,0,0.4411445
147,40,0.6981397
148,-15,0.5291051
149,-20,0.5207927
150,10,0.4953268
151,0,0.4558407
152,10,0.4629708
153,40,0.656784
154,0,0.4897744
155,-35,0.6261109
156,-30,0.6017307
157,30,0.6169802
158,40,0.5778159
159,0,0.5222796
160,40,0.598685
161,-5,0.4513206
162,10,0.4551217
163,-30,0.6171743
164,-20,0.4361885
165,5,0.413894
166,0,0.4385162
167,5,0.4987607
168,25,0.6618055
169,20,0.5657219
170,-30,0.6120353
171,-35,0.6277139
172,35,0.7124566
173,-5,0.4877857
174,-30,0.6281256
175,-40,0.596361
176,35,0.5436677
177,15,0.5891891
178,25,0.5666481
179,30,0.5788966
180,20,0.5551966
