TrialNumber,Eccentricity,ReactionTime_s_
1,-5,0.465262494
2,-40,0.906490636
3,-10,0.631065925
4,-25,0.519860746
5,-5,0.491888713
6,-35,0.765520576
7,-5,0.45425151
8,-30,0.656618889
9,-30,0.586415615
10,-20,0.627000309
11,-25,0.620509037
12,-35,0.681499467
13,-10,0.479682398
14,-20,0.587944731
15,-35,0.617139084
16,-20,0.590383637
17,0,0.46085529
18,-15,0.597697142
19,-20,0.709608829
20,-10,0.500625081
21,-30,0.590570859
22,0,0.421296019
23,-20,0.538523279
24,-15,0.509179592
25,0,0.551928615
26,-10,0.550282453
27,-15,0.508662636
28,-5,0.426416374
29,-30,0.700657439
30,-35,0.621574941
31,-35,0.607242266
32,-5,0.468513443
33,-40,0.805977408
34,-40,0.811425908
35,-10,0.524416272
36,-15,0.491833009
37,-40,0.625276112
38,-15,0.590714775
39,-15,0.528082571
40,-35,0.709998651
41,-25,0.487642701
42,-30,0.50788076
43,-15,0.590297136
44,-10,0.504944202
45,-25,0.497533679
46,-15,0.537693709
47,-5,0.371273503
48,-15,0.527479968
49,-25,0.520594057
50,-40,0.583764642
51,-40,0.597119358
52,-25,0.587971609
53,-5,0.426568608
54,-5,0.330586231
55,-30,0.729772785
56,0,0.457534376
57,-5,0.375355724
58,0,0.397726116
59,-20,0.728601742
60,-15,0.371035142
61,-20,0.479637041
62,-25,0.623087911
63,-40,0.792719815
64,-10,0.415786175
65,-30,0.508806414
66,-40,0.569667148
67,-30,0.740590737
68,-35,0.594117779
69,0,0.394094751
70,-20,0.437434345
71,-25,0.663351141
72,-30,0.573947524
73,0,0.415587422
74,-10,0.423858837
75,-5,0.545783
76,-35,0.627586542
77,0,0.783834296
78,-20,0.545357444
79,-25,0.651458155
80,-35,0.663112264
81,-35,0.808961665
82,0,0.395060598
83,-40,0.795173241
84,-10,0.488356111
85,-40,0.723876645
86,-25,0.609446893
87,-10,0.470656714
88,-20,0.549491087
89,-30,0.709313335
90,0,0.431316731
91,30,0.597360497
92,35,0.724447698
93,35,0.597945947
94,5,0.449586357
95,0,0.440386025
96,0,0.336607783
97,15,0.45915342
98,0,0.315244055
99,10,0.451580517
100,10,0.358012185
101,0,0.446837662
102,35,0.545800606
103,15,0.429269092
104,25,0.466505509
105,20,0.561979924
106,25,0.538340309
107,10,0.519403196
108,15,0.626365862
109,20,0.454100643
110,15,0.431136817
111,40,0.786860867
112,25,0.520879799
113,0,0.565285528
114,20,0.482690399
115,20,0.357850914
116,40,0.579933413
117,10,0.562236345
118,15,0.533301408
119,30,0.641123277
120,5,0.417801714
121,40,0.869542632
122,5,0.469713947
123,10,0.548167098
124,15,0.542713132
125,15,0.475478555
126,5,0.498577306
127,15,0.564629056
128,30,0.560314783
129,10,0.45318977
130,5,0.356506763
131,10,0.382903455
132,5,0.505969338
133,35,0.596311727
134,40,0.538365631
135,0,0.427245517
136,35,0.543953534
137,30,0.400095938
138,35,0.694562894
139,40,0.663077881
140,15,0.524885761
141,25,0.489341192
142,0,0.402016462
143,40,0.722034646
144,25,0.69254359
145,20,0.542687407
146,0,0.576572822
147,25,0.607419481
148,30,0.592987741
149,25,0.563108684
150,25,0.461231313
151,40,0.70629353
152,25,0.655290414
153,30,0.444191825
154,20,0.497512987
155,10,0.515605918
156,35,0.537620852
157,35,0.545951897
158,35,0.526421656
159,5,0.50620398
160,30,0.665663872
161,30,0.585374289
162,20,0.584644704
163,35,0.547236127
164,30,0.497399856
165,30,0.755426965
166,0,0.473550884
167,15,0.509394829
168,10,0.443016175
169,40,0.477075307
170,25,0.53223359
171,5,0.593618328
172,20,0.530250073
173,0,0.425704638
174,10,0.424327583
175,20,0.40244345
176,20,0.330332466
177,5,0.344871426
178,40,0.650286693
179,5,0.465541192
180,40,0.61089826
