TrialNumber,Eccentricity,ReactionTime_s_
1,30,0.567739558
2,-40,0.697198498
3,-20,0.59033513
4,-5,0.59543035
5,-30,0.592011311
6,-10,0.559868719
7,0,0.354860142
8,-35,0.678637893
9,-20,0.520267739
10,-40,0.792013039
11,35,0.56510326
12,-25,0.559286509
13,-40,0.584047913
14,5,0.474182758
15,10,0.420505104
16,25,0.505914763
17,0,0.542311496
18,-40,0.724662671
19,0,0.423536817
20,30,0.531846962
21,-20,0.489305947
22,35,0.622982558
23,-10,0.512883403
24,-35,0.680578649
25,-10,0.523466337
26,20,0.518554814
27,-15,0.431518605
28,15,0.510929536
29,20,0.673283267
30,35,0.709866214
31,-5,0.47169952
32,40,0.638279854
33,25,0.564011392
34,-35,0.501174575
35,5,0.520234802
36,-10,0.511815715
37,40,0.717546238
38,5,0.656632142
39,-25,0.55151126
40,20,0.442682227
41,40,0.731305023
42,10,0.475606887
43,0,0.409482938
44,-5,0.578728174
45,35,0.499659779
46,5,0.573727971
47,-35,0.65105502
48,0,0.535717236
49,-25,0.765164781
50,10,0.498736656
51,-10,0.591981028
52,-25,0.47939062
53,25,0.571519837
54,5,0.572714337
55,30,0.573100487
56,-40,0.653339212
57,40,0.58496823
58,-20,0.542854874
59,20,0.518541446
60,5,0.527094241
61,0,0.262414622
62,-15,0.360764626
63,-15,0.584175893
64,-35,0.641569005
65,25,0.545528248
66,30,0.644184551
67,20,0.511859056
68,-5,0.488161758
69,25,0.557908552
70,5,0.517309276
71,0,0.425809504
72,5,0.585502697
73,25,0.577497684
74,-15,0.621015765
75,-10,0.750698146
76,-15,0.40411864
77,-15,0.453334488
78,30,0.686051707
79,25,0.64210678
80,-10,0.60880681
81,-10,0.559518447
82,-10,0.578035374
83,-40,0.607657392
84,15,0.563199426
85,-5,0.363439661
86,-40,0.778935925
87,10,0.686720764
88,5,0.406741025
89,-5,0.48069948
90,35,0.614594207
91,10,0.536845296
92,-20,0.632841235
93,40,0.688369391
94,20,0.727483272
95,-15,0.588797762
96,-40,0.576782221
97,-5,0.456889173
98,-35,0.82326412
99,-25,0.589248203
100,0,0.524853726
101,10,0.632872592
102,0,0.405364843
103,0,0.427178322
104,-5,0.446314262
105,-25,0.633419789
106,0,0.552456547
107,-30,0.525208115
108,0,0.491077473
109,15,0.640875748
110,-35,0.588835068
111,-40,0.649875509
112,-30,0.487617645
113,10,0.567170055
114,-10,0.431522907
115,0,0.527097652
116,40,0.671563851
117,0,0.526639494
118,25,0.75191483
119,-20,0.730005298
120,-5,0.523092693
121,-20,0.53048789
122,35,0.565660611
123,-35,0.52687144
124,0,0.454058263
125,15,0.485294006
126,-30,0.93343052
127,20,0.64900211
128,-30,0.7652681
129,40,0.540024376
130,-30,0.60677831
131,35,0.60122329
132,-25,0.624474632
133,5,0.433156947
134,30,0.485669532
135,-15,0.441585499
136,-25,0.360829025
137,15,0.478479695
138,25,0.459336477
139,10,0.459492922
140,20,0.452820782
141,30,0.699053352
142,15,0.445505425
143,-35,0.558409515
144,0,0.463422512
145,25,0.456295666
146,15,0.544983971
147,0,0.352045212
148,-15,0.59494282
149,20,0.598368829
150,30,0.580023315
151,15,0.711008693
152,-30,0.837728125
153,35,0.685175983
154,0,0.453559452
155,35,0.845661097
156,10,0.368023624
157,-25,0.52904803
158,30,0.555276839
159,15,0.674515558
160,-20,0.419658073
161,-30,0.704975513
162,-15,0.447159175
163,40,0.636818396
164,-30,0.534867217
165,10,0.457521302
166,-20,0.605312292
167,-30,0.711581943
168,0,0.516433387
169,0,0.410292905
170,-35,0.643714661
171,-20,0.466563812
172,-5,0.374756456
173,35,0.612614145
174,-40,0.656491159
175,20,0.698048046
176,-25,0.629622189
177,40,0.809270074
178,30,0.641547799
179,40,0.687586357
180,15,0.535320212
