TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.4341243
2,-30,0.3883544
3,-20,0.4784791
4,-15,0.4546683
5,-20,0.4907917
6,-15,0.4382892
7,-40,0.873018
8,-35,0.6769468
9,-5,0.5734476
10,-20,0.4177787
11,-40,0.479375
12,-30,0.4968719
13,-10,0.4422681
14,-25,0.5333398
15,-10,0.4635418
16,-35,0.648373
17,-25,0.4735754
18,-15,0.4273768
19,-25,0.4525832
20,0,0.5500283
21,-20,0.4247491
22,-10,0.3995153
23,-5,0.3571208
24,-40,0.5108852
25,0,0.4172522
26,-5,0.4156462
27,-15,0.4926475
28,-20,0.4908418
29,-10,0.4343391
30,-35,0.6137993
31,0,0.4389301
32,-25,0.4442873
33,-35,0.5647783
34,-5,0.3841437
35,-25,0.4491351
36,0,0.3585219
37,-30,0.5610201
38,-5,0.5493592
39,-20,0.5642444
40,-15,0.5174416
41,-5,0.4116526
42,-30,0.5098183
43,-15,0.5168659
44,0,0.4912584
45,-25,0.5639575
46,0,0.3642086
47,-15,0.4631061
48,-10,0.4324572
49,-15,0.4517097
50,0,0.3989353
51,-5,0.4952485
52,-25,0.4827761
53,-10,0.4111291
54,-35,0.5236232
55,-5,0.4191896
56,-5,0.4516021
57,-35,0.5602115
58,-15,0.5073043
59,-35,0.5214656
60,-5,0.4861805
61,-20,0.5434885
62,0,0.4381668
63,-10,0.4789828
64,-25,0.6347426
65,-35,0.6137862
66,-40,0.6534074
67,-25,0.4520481
68,-40,0.5475576
69,0,0.5079489
70,-30,0.5350679
71,-30,0.5516071
72,-30,0.5690846
73,-10,0.45486
74,-15,0.508714
75,-40,0.6540033
76,-30,0.5813687
77,-30,0.607759
78,-35,0.5260291
79,-40,0.5616073
80,-25,0.5359503
81,-20,0.5429046
82,-10,0.409668
83,-20,0.4443218
84,-20,0.6046031
85,-30,0.5478745
86,-40,0.7341925
87,-35,0.562847
88,-10,0.5897755
89,-40,0.612522
90,-40,0.5645667
91,20,0.4644985
92,15,0.4347624
93,30,0.5454823
94,25,0.4625053
95,0,0.4169731
96,35,0.5074664
97,25,0.5893167
98,0,0.4227564
99,30,0.5362781
100,40,0.6674249
101,40,0.5422426
102,5,0.5231542
103,30,0.649397
104,15,0.5250249
105,30,0.5562309
106,40,0.6469227
107,25,0.5791024
108,5,0.6019284
109,40,0.5902161
110,15,0.5671615
111,15,0.3895133
112,35,0.5854844
113,30,0.5871781
114,20,0.6006804
115,35,0.6305072
116,10,0.4293129
117,20,0.5324343
118,35,0.6319572
119,10,0.4862199
120,10,0.398748
121,15,0.4033272
122,30,0.5484332
123,40,0.456949
124,10,0.5220714
125,10,0.4381511
126,10,0.4906666
127,30,0.6341187
128,10,0.5522214
129,0,0.5020906
130,25,0.6009181
131,5,0.4900195
132,0,0.4317703
133,35,0.5821755
134,15,0.505465
135,15,0.5963787
136,5,0.5236168
137,25,0.5796054
138,20,0.5123815
139,30,0.6321026
140,20,0.4976424
141,5,0.5051361
142,25,0.4773857
143,0,0.4233299
144,5,0.4401147
145,25,0.5541525
146,0,0.3729254
147,35,0.5541306
148,0,0.412309
149,10,0.5868003
150,20,0.6597709
151,25,0.457999
152,0,0.4441476
153,15,0.5309129
154,40,0.6143191
155,20,0.3895448
156,30,0.5231882
157,35,0.5015508
158,5,0.4105735
159,0,0.3929869
160,20,0.58881
161,30,0.5055916
162,5,0.4358555
163,35,0.6563858
164,35,0.4964689
165,35,0.6349539
166,0,0.5318253
167,10,0.505676
168,5,0.426858
169,10,0.4129286
170,20,0.4041555
171,20,0.4661207
172,40,0.6056643
173,25,0.4779712
174,5,0.5571071
175,25,0.5583917
176,15,0.4339183
177,40,0.6504269
178,40,0.5152246
179,40,0.5868605
180,15,0.4445104
