TrialNumber,Eccentricity,ReactionTime_s_
1,-40,0.821628878
2,-40,0.677177176
3,-40,0.780585969
4,0,0.596892778
5,-35,0.680337897
6,-15,0.593614064
7,-30,0.681041358
8,0,0.552531591
9,-15,0.783816565
10,-25,0.656172292
11,-20,1.256545133
12,-5,0.663994167
13,-15,0.802838727
14,-40,1.197769335
15,-30,1.349066109
16,-35,0.589826166
17,0,0.515100121
18,-10,0.643135903
19,-30,0.693131859
20,-5,0.694368739
21,0,0.59749052
22,0,0.491133686
23,0,0.865315382
24,-10,0.68485512
25,-5,0.463902532
26,-25,0.583188562
27,-10,0.532155157
28,-25,0.98934898
29,-5,0.516793435
30,-40,0.745886686
31,-20,0.598326362
32,-30,0.549144877
33,-5,0.616857321
34,-15,0.665867269
35,-40,1.127380804
36,-5,0.53157134
37,-40,1.008354101
38,-35,0.970432605
39,-35,0.687908872
40,-10,0.661031915
41,0,0.574121773
42,-35,0.560619102
43,-5,1.215600799
44,-30,0.6987142
45,-20,0.719027199
46,-25,0.932049601
47,-20,0.695558002
48,-30,0.608436316
49,-35,0.620368579
50,-15,0.682473774
51,-15,0.599309159
52,-15,0.469593867
53,-20,0.514917045
54,0,0.548428688
55,-30,0.666731596
56,-25,0.599322903
57,-25,0.613628785
58,0,0.48327088
59,-10,0.566090608
60,-30,0.599494206
61,-10,0.518535128
62,-35,0.71054913
63,-25,0.825520045
64,-30,0.628028201
65,-20,0.538408098
66,-25,0.678863672
67,-10,0.581172562
68,-10,0.549670693
69,-35,0.740290287
70,-15,0.681698103
71,-40,0.645990024
72,-15,0.535275522
73,-20,0.717146028
74,-5,0.625366707
75,-15,0.767530031
76,-20,1.350522677
77,0,0.489250301
78,-40,0.685952683
79,-35,0.630300618
80,-5,0.477009014
81,-10,0.596089769
82,-5,0.650487343
83,-20,0.644549689
84,-40,0.585102646
85,-25,0.617734949
86,-20,0.632753323
87,-10,0.499085366
88,-25,0.601095683
89,-35,0.517501344
90,-30,0.587246387
91,0,0.605594969
92,25,0.511954874
93,25,1.147246803
94,25,1.348127568
95,30,0.596740563
96,20,0.59712474
97,35,0.536959782
98,30,0.650303341
99,20,0.642576524
100,15,0.561038897
101,20,0.579960151
102,10,0.608300719
103,20,0.530198037
104,5,0.682105986
105,30,0.744587976
106,5,0.629725476
107,5,0.562412379
108,20,0.535749999
109,5,0.456145327
110,35,0.733685873
111,10,0.562644882
112,25,0.562782092
113,35,0.680141836
114,15,1.033350555
115,30,0.814705833
116,10,0.534846389
117,0,0.468410196
118,15,0.650038184
119,20,0.701672502
120,10,0.61102668
121,0,0.617924663
122,15,0.689795045
123,30,0.739356792
124,40,0.765071492
125,0,0.552659965
126,25,0.58885111
127,15,0.633745798
128,5,0.567767446
129,15,0.73560328
130,5,0.693519406
131,0,0.945174659
132,35,0.736059322
133,20,0.778039401
134,0,0.614278966
135,40,0.833349914
136,5,0.560680808
137,15,0.547520459
138,40,0.743585468
139,35,0.684008883
140,35,0.727940913
141,40,0.73044832
142,40,0.732681887
143,25,0.645834452
144,10,0.510884989
145,40,0.754056482
146,5,0.396604377
147,10,0.502872762
148,20,0.375625986
149,30,0.481263373
150,35,0.519504761
151,5,0.427626733
152,0,0.43574335
153,0,0.430975323
154,20,0.516999812
155,40,0.702853029
156,0,0.521639193
157,30,0.578158139
158,10,0.422667397
159,30,0.682395885
160,40,0.673424602
161,40,0.776630718
162,25,0.55282179
163,0,0.654600789
164,10,0.506651283
165,40,0.885835706
166,25,0.825248519
167,15,0.511149182
168,15,0.681158591
169,35,0.691304375
170,25,0.749432715
171,15,0.664005324
172,25,0.626491136
173,30,0.894330189
174,35,0.638934064
175,20,0.723389464
176,30,0.731784604
177,5,0.665802166
178,35,0.749694152
179,10,0.475572529
180,10,0.537728382
