TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.527994021
2,5,0.332856847
3,-25,0.518907924
4,10,0.494808979
5,5,0.585229758
6,-15,0.457714973
7,40,0.642459873
8,35,0.520112309
9,-30,0.591243112
10,0,0.554627481
11,-25,0.688326158
12,-20,0.686773296
13,-20,0.540544635
14,-15,0.463840207
15,-10,0.539784563
16,35,0.779799159
17,10,0.513594548
18,-35,0.432546304
19,20,0.463489652
20,20,0.555938316
21,-30,0.528975371
22,20,0.523533596
23,-35,0.547847549
24,-5,0.458897801
25,-20,0.597819168
26,10,0.697213022
27,5,0.676606867
28,10,0.558818236
29,25,0.636665415
30,40,0.600155747
31,35,0.502664243
32,25,0.495272249
33,0,0.358253615
34,40,0.522627726
35,0,0.570217368
36,-30,0.61064051
37,-20,0.718511906
38,-30,0.727108768
39,35,0.63320035
40,0,0.462373909
41,30,0.625456721
42,0,0.567578401
43,-40,0.527194988
44,15,0.411976243
45,-5,0.419176694
46,10,0.435629418
47,-10,0.489409376
48,-10,0.531549698
49,-40,0.493124868
50,15,0.48433329
51,-30,0.491793499
52,-25,0.583931175
53,-15,0.608782145
54,-5,0.516333546
55,20,0.630180249
56,-25,0.526179485
57,30,0.585399678
58,40,0.706145819
59,0,0.666517138
60,15,0.719381614
61,-10,0.516947618
62,35,0.619716835
63,-10,0.497280621
64,10,0.55745823
65,15,0.612052995
66,-5,0.702991477
67,-5,0.557075589
68,-30,0.686726041
69,40,0.8467085
70,-25,0.673936908
71,-20,0.560165885
72,-40,0.625691494
73,0,0.49729389
74,0,0.392117101
75,-15,0.682292773
76,20,0.545946602
77,0,0.451946394
78,-20,0.576776952
79,15,0.649283487
80,-25,0.592003395
81,30,0.664572775
82,0,0.504419409
83,-15,0.668990209
84,-30,0.607478943
85,-35,0.664334513
86,40,0.634070833
87,40,0.669821445
88,-30,0.743041155
89,5,0.440985311
90,15,0.601349823
91,-5,0.4682365
92,0,0.380054616
93,-25,0.366263166
94,-15,0.53597664
95,-40,0.548744951
96,0,0.397033639
97,10,0.52590312
98,-25,0.619001527
99,40,0.572061339
100,30,0.73013349
101,-35,0.614461804
102,-35,0.541607014
103,25,0.63363462
104,-5,0.558372548
105,10,0.591926976
106,35,0.761967872
107,35,0.546346179
108,25,0.63372037
109,-5,0.61593341
110,15,0.545183004
111,30,0.462179353
112,20,0.660241425
113,5,0.409252271
114,-10,0.475325018
115,35,0.659178059
116,-10,0.627208568
117,0,0.516981735
118,0,0.43988414
119,20,0.628634302
120,15,0.521514518
121,-5,0.575006097
122,35,0.630087536
123,-35,0.629415059
124,-5,0.609898993
125,0,0.476305183
126,-20,0.47564753
127,-40,0.620716885
128,0,0.507490859
129,35,0.5048928
130,0,0.663992125
131,-15,0.58599731
132,-20,0.70376864
133,-10,0.546417755
134,30,0.62170671
135,25,0.49112844
136,25,0.54971463
137,-35,0.501788395
138,-25,0.498954437
139,25,0.596981423
140,20,0.613119539
141,-15,0.590591982
142,40,0.726484013
143,30,0.572064916
144,-40,0.659743363
145,30,0.410598477
146,-15,0.479243644
147,-10,0.45628327
148,10,0.613025232
149,5,0.516438793
150,-20,0.478494549
151,0,0.432525588
152,-10,0.378622188
153,-20,0.573588625
154,20,0.467888936
155,5,0.535845518
156,-40,0.547431419
157,15,0.480132304
158,-40,0.522042171
159,5,0.512055647
160,-35,0.582290309
161,-30,0.601045857
162,-40,0.479671769
163,5,0.609452998
164,30,0.532543938
165,-40,0.535954726
166,-35,0.606513231
167,-15,0.554086654
168,5,0.498540241
169,25,0.606409741
170,-25,0.536484513
171,0,0.396395634
172,10,0.598923564
173,20,0.56781424
174,25,1.089100954
175,30,0.617956695
176,25,0.630621545
177,-35,0.557740282
178,-30,0.429956758
179,40,0.585032596
180,15,0.541385032
