TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.482407664
2,10,0.449843979
3,5,0.5862599
4,-10,0.726270117
5,15,0.471566832
6,-25,0.546269254
7,35,0.512907772
8,-40,0.54934138
9,-25,0.582722869
10,-25,0.55808642
11,0,0.520538252
12,-25,0.607069024
13,5,0.531861132
14,25,0.545659408
15,15,0.583334681
16,-35,0.63684719
17,-5,0.464630781
18,30,0.51984893
19,-20,0.539956151
20,-5,0.554984237
21,-25,0.527994573
22,-30,0.607227722
23,-15,0.653538798
24,-30,0.639690465
25,10,0.671383596
26,20,0.808169706
27,-15,0.489752347
28,35,0.573846147
29,5,0.446239544
30,-40,0.538836846
31,20,0.549331669
32,-40,0.508540705
33,10,0.533625127
34,25,0.555357868
35,5,0.423607957
36,30,0.566182001
37,25,0.535920788
38,20,0.51680683
39,20,0.543237405
40,-30,0.563509016
41,-20,0.471196876
42,-20,0.42854759
43,-40,0.531785561
44,0,0.424613952
45,0,0.4789355
46,25,0.58295555
47,-30,0.517329936
48,30,0.444931217
49,15,0.541297147
50,-10,0.581030063
51,-30,0.550045341
52,40,0.503693182
53,0,0.495719453
54,-10,0.515360941
55,35,0.627214883
56,40,0.605138169
57,25,0.637372867
58,-10,0.664739669
59,-35,0.639213786
60,0,0.569992293
61,10,0.499563871
62,20,0.53190426
63,-35,0.564364859
64,40,0.618298675
65,-25,0.536825882
66,30,0.498494391
67,-20,0.515827476
68,-35,0.612706979
69,40,0.555617967
70,25,0.619896404
71,35,0.589456446
72,-10,0.548681146
73,35,0.613462349
74,-10,0.480622509
75,-30,0.630105213
76,-40,0.796028519
77,25,0.526150465
78,30,0.571592936
79,-15,0.576619356
80,10,0.683671341
81,5,0.596238488
82,-35,0.526870517
83,-25,0.551838459
84,-30,0.515550779
85,-10,0.50801481
86,-15,0.606152183
87,-15,0.601271203
88,-5,0.509784708
89,-40,0.589776932
90,5,0.537939402
91,0,0.470291731
92,0,0.446044256
93,30,0.507981508
94,40,0.623636157
95,20,0.43829934
96,-5,0.531584457
97,-5,0.465271893
98,15,0.504955028
99,-20,0.504025015
100,15,0.506992188
101,0,0.492536892
102,-20,0.517697687
103,-15,0.571467694
104,-20,0.556567731
105,0,0.644371238
106,40,0.648162748
107,-20,0.53463802
108,-35,0.548632668
109,15,0.50975586
110,-35,0.53299533
111,35,0.563064318
112,0,0.416727265
113,-40,0.539651656
114,-10,0.400248077
115,10,0.383904725
116,0,0.377975465
117,20,0.509345457
118,40,0.510620437
119,10,0.369039724
120,-35,0.424891879
121,10,0.451359116
122,5,0.407743777
123,-10,0.494919564
124,5,0.382964292
125,-5,0.455178355
126,-5,0.469639899
127,0,0.350208572
128,5,0.378627287
129,-15,0.503879328
130,30,0.488849104
131,-15,0.483281259
132,-35,0.512992754
133,35,0.509553322
134,30,0.568590875
135,15,0.582688352
136,25,0.571301573
137,-20,0.524250443
138,35,0.534184788
139,-10,0.464010162
140,25,0.466001442
141,0,0.418421684
142,15,0.59462806
143,-30,0.538513578
144,-25,0.556260467
145,0,0.506967308
146,-30,0.514105223
147,-5,0.458443725
148,-35,0.51880462
149,35,0.656815473
150,25,0.544597717
151,40,0.520543802
152,15,0.543901546
153,0,0.420877897
154,5,0.429210535
155,0,0.514328465
156,10,0.474911601
157,-15,0.445108241
158,30,0.507306199
159,20,0.474942647
160,15,0.522308568
161,0,0.457861026
162,30,0.567232585
163,20,0.47511098
164,-20,0.421345887
165,0,0.448530239
166,40,0.55182783
167,-40,0.653056788
168,10,0.651948274
169,35,0.396363522
170,40,0.537022857
171,20,0.457436699
172,-40,0.581976131
173,-5,0.675192125
174,0,0.423389468
175,-30,0.558544475
176,-40,0.648756043
177,-15,0.475185802
178,-25,0.473117469
179,-5,0.483390876
180,-25,0.486840434
