TrialNumber,Eccentricity,ReactionTime_s_
1,-5,0.3456809
2,-35,0.3898466
3,-30,0.3753026
4,-15,0.3206825
5,-10,0.356413
6,-10,0.355621
7,0,0.3577716
8,0,0.3704825
9,-25,0.3568189
10,-10,0.3770966
11,-15,0.3310364
12,-5,0.4349204
13,-25,0.6327809
14,-5,0.5506365
15,-35,0.5700147
16,-15,0.6244263
17,-35,0.7249161
18,0,0.3972605
19,-15,0.6328468
20,-20,0.4887305
21,-10,0.4572925
22,-5,0.4066816
23,0,0.4230398
24,-20,0.5854991
25,-30,0.4868558
26,-30,0.5964015
27,0,0.4145989
28,-10,0.4815374
29,-30,0.6541465
30,-10,0.4106338
31,-30,0.5789923
32,-35,0.5802721
33,-25,0.524939
34,-20,0.552265
35,-15,0.4345197
36,-25,0.4234481
37,-35,0.4618424
38,-20,0.4216625
39,-40,0.5832683
40,-5,0.4204302
41,0,0.3645993
42,-5,0.4356929
43,-25,0.783399
44,-40,0.616685
45,-25,0.5460694
46,-10,0.4627612
47,-20,0.5542122
48,-35,0.5812157
49,-40,0.5648238
50,-20,0.6018225
51,-20,0.6584671
52,-30,0.3661583
53,-35,0.4774323
54,-20,0.4175403
55,-40,0.4009191
56,0,0.4269756
57,-30,0.4338659
58,-15,0.3608404
59,-10,0.3564677
60,-25,0.4702706
61,0,0.418886
62,-35,0.6638083
63,-5,0.654319
64,-40,0.7534204
65,-30,0.5052873
66,-30,0.5259083
67,-15,0.5435871
68,-15,0.7822675
69,-5,0.454816
70,-5,0.5532514
71,-5,0.5024928
72,-25,0.6365998
73,-40,0.4629402
74,-10,0.5790125
75,0,0.5825505
76,-20,0.6443929
77,-40,0.88767
78,-10,0.4318423
79,-15,0.5724057
80,-30,0.6218964
81,-15,0.5506239
82,-35,0.6184155
83,0,0.632842
84,-40,0.6932351
85,-35,0.9093255
86,-40,0.7815612
87,-25,0.5998188
88,-20,0.5374137
89,-40,0.6076862
90,-25,0.6398902
91,0,0.3886097
92,30,0.57081
93,25,0.5621004
94,40,0.6590097
95,5,0.5320181
96,25,0.5525298
97,10,0.4255804
98,30,0.5104573
99,0,0.5018129
100,10,0.4565491
101,0,0.4945529
102,30,0.6493761
103,5,0.4220613
104,35,0.6918544
105,5,0.4365126
106,15,0.6528045
107,5,0.502357
108,25,0.4514009
109,5,0.7390785
110,30,0.5052468
111,0,0.5087482
112,30,0.6410959
113,20,0.4732961
114,0,0.4169257
115,10,0.4957802
116,20,1.046028
117,30,0.6147656
118,0,0.4891446
119,20,0.3547592
120,40,1.0729225
121,40,0.7134829
122,10,0.5315043
123,0,0.651056
124,5,0.5443998
125,20,0.7202367
126,30,0.6522938
127,5,0.5062732
128,25,0.4103132
129,10,0.4257747
130,35,0.4748162
131,0,0.4074941
132,35,0.4182021
133,40,0.5636464
134,0,0.5059307
135,15,0.4878421
136,20,0.6775191
137,30,0.5102126
138,10,0.4772324
139,20,0.4569482
140,15,0.3983381
141,40,0.5927514
142,35,0.4939372
143,10,0.4380586
144,15,0.5458467
145,10,0.4926532
146,40,0.6833258
147,20,0.4608365
148,15,0.4733953
149,35,0.7206014
150,35,0.7195607
151,15,0.5443805
152,25,0.6103935
153,35,0.5729007
154,25,0.6529419
155,10,0.4611217
156,15,0.5343383
157,25,0.4758367
158,40,0.7181138
159,5,0.4429119
160,40,0.5584231
161,5,0.4216639
162,20,0.4707386
163,5,0.4971415
164,15,0.5440573
165,25,0.5081382
166,30,0.6001655
167,35,0.633122
168,20,0.6643347
169,35,0.6519753
170,40,0.6240411
171,35,0.8499123
172,25,0.6739584
173,20,0.5942701
174,30,0.5863363
175,15,0.5902021
176,0,0.5087818
177,10,0.7152215
178,15,0.5907244
179,25,0.593856
180,40,0.6606261
