TrialNumber,Eccentricity,ReactionTime_s_
1,-30,1.4917624
2,0,0.7384832
3,-15,1.3341045
4,40,0.895947
5,35,1.5060772
6,20,1.5043816
7,20,0.8978963
8,5,0.5853879
9,-40,1.3991
10,30,1.7562489
11,5,0.6522123
12,30,1.1915067
13,-5,0.7231716
14,25,1.0916374
15,0,0.8363431
16,20,1.6799273
17,0,0.8686523
18,-15,1.0723889
19,-10,0.5542991
20,-20,0.6962718
21,35,0.9056446
22,0,0.7923461
23,5,0.6590489
24,-10,0.7099285
25,-25,1.7128627
26,0,0.6533989
27,25,1.0517809
28,-20,0.8649617
29,35,1.3061279
30,40,1.2083243
31,-10,0.7614043
32,-35,1.3433337
33,15,0.592178
34,-10,0.8582738
35,-5,0.5223286
36,-30,1.044952
37,-30,1.5737127
38,25,0.9098527
39,0,0.5401232
40,-40,0.80328
41,5,0.6451491
42,0,0.7278325
43,-25,0.7080524
44,15,0.8122241
45,0,0.7326515
46,-15,0.7582598
47,25,0.6629108
48,20,0.6040501
49,10,0.528987
50,5,0.8282038
51,10,1.2395669
52,20,0.9422616
53,40,1.8262259
54,0,0.6514247
55,35,1.1304582
56,-20,0.8444714
57,-25,0.7962346
58,40,1.3560407
59,-10,0.5296932
60,-5,0.7553178
61,-20,0.9506713
62,25,0.793543
63,25,0.6810234
64,35,0.9026388
65,-5,0.5647084
66,0,0.6568893
67,-35,0.8442493
68,-30,0.874178
69,30,1.3489032
70,10,0.7255043
71,-35,1.168551
72,-10,0.5694247
73,-15,0.7440093
74,5,0.7593676
75,-20,0.9705629
76,-5,0.5803176
77,-15,0.9013997
78,-40,1.3622108
79,-5,0.5842178
80,0,0.5286734
81,5,0.6131318
82,30,0.8653546
83,-20,0.6553968
84,20,0.7309168
85,-30,1.0399532
86,-15,0.8564184
87,-20,0.6590292
88,-25,0.6836193
89,40,0.9927468
90,-35,0.9923698
91,5,0.7154164
92,10,0.6721782
93,-5,0.5120627
94,25,1.0213053
95,-35,0.9969809
96,0,0.688778
97,-25,0.6999904
98,-5,0.5751019
99,-35,0.6503355
100,0,0.6530873
101,25,0.8123917
102,-40,1.0144908
103,0,0.6730955
104,10,0.6121251
105,0,0.5471853
106,-20,0.73552
107,-5,0.6433588
108,40,0.937496
109,-30,1.1404616
110,15,1.1574339
111,-35,0.8546257
112,0,0.533326
113,35,1.3840359
114,-15,0.5453101
115,10,0.6492931
116,-30,0.8944138
117,-20,0.5506649
118,15,0.8462983
119,-25,0.7761317
120,-10,0.4833603
121,5,0.4431407
122,5,0.7343412
123,-30,1.3296352
124,20,0.7563501
125,0,0.510679
126,0,0.5699553
127,0,0.5216656
128,-30,0.8903126
129,-15,0.7890663
130,30,0.8289572
131,0,0.6573575
132,15,0.6862417
133,-10,0.7939253
134,-40,1.1662845
135,-15,1.200471
136,10,0.7795013
137,10,0.689288
138,40,1.0725408
139,30,1.1716177
140,-5,0.6195292
141,-15,0.8201016
142,30,0.7596212
143,15,0.649808
144,20,0.6904553
145,-10,0.8072464
146,20,0.7269358
147,25,0.884602
148,-35,1.1641041
149,30,0.8741188
150,-25,0.8183155
151,15,0.7567897
152,15,1.0237338
153,-40,0.7084226
154,-30,1.1577186
155,35,0.9800086
156,-40,0.780139
157,25,0.9376025
158,10,0.8077434
159,-25,0.8197686
160,35,0.8315644
161,-25,0.7197602
162,-40,0.6875729
163,15,0.9313429
164,30,1.12439
165,10,0.7519573
166,30,0.7431746
167,-35,0.815161
168,-10,0.7532657
169,-40,1.4399519
170,-20,0.9875712
171,40,1.6674022
172,-40,1.2282893
173,15,0.9655616
174,-35,1.1788146
175,-25,0.734845
176,35,1.260776
177,40,1.4838689
178,20,1.3927046
179,40,1.0570873
180,35,0.8337315
