TrialNumber,Eccentricity,ReactionTime_s_
1,-30,0.730207946
2,-5,0.801290189
3,15,0.465124534
4,10,0.570596007
5,35,0.836551135
6,0,0.735159451
7,-20,0.7136198
8,20,0.60278096
9,30,0.755577923
10,-30,0.821737501
11,-35,0.98034574
12,-5,0.592354591
13,-20,0.65035822
14,15,0.602358272
15,0,0.440569285
16,10,0.478101177
17,-25,0.721172903
18,15,0.65440646
19,-40,0.714598438
20,5,0.57170584
21,-40,1.217804831
22,0,0.580000781
23,35,0.64136908
24,20,0.551288709
25,5,0.593179099
26,0,0.712715803
27,-25,0.725022023
28,-5,0.500576463
29,-20,0.864972096
30,40,0.825171985
31,-10,0.590562479
32,10,0.401562637
33,25,0.420775458
34,40,1.172296292
35,35,0.727585895
36,-15,0.824330587
37,20,0.496533626
38,-25,0.752325649
39,-5,0.634160747
40,0,0.370659245
41,40,0.67283859
42,15,0.596287803
43,-35,0.604947071
44,-10,0.601144264
45,-10,0.681410235
46,0,0.578308119
47,20,0.394303559
48,10,0.790176802
49,40,0.745430023
50,30,0.770480239
51,-5,0.30194274
52,10,0.732530896
53,-15,0.588351452
54,-40,0.934146181
55,-5,0.370556681
56,25,0.51305001
57,-35,0.773444696
58,40,0.896000019
59,30,0.490259013
60,30,0.83297218
61,35,0.648999772
62,0,0.644454835
63,-20,1.191983289
64,-10,0.803546262
65,-15,0.678715066
66,-35,0.899235976
67,-15,0.828517788
68,10,0.687305416
69,-10,0.585631048
70,20,0.889994494
71,25,0.915515627
72,35,0.788227731
73,35,0.849399617
74,25,0.798606631
75,-30,0.741498038
76,-20,0.713625138
77,15,0.604647939
78,30,0.717760145
79,15,0.640701287
80,-10,0.697167364
81,-20,0.624799964
82,0,0.657378204
83,20,0.770614765
84,-30,0.759409455
85,10,0.6435264
86,-25,0.621807855
87,20,0.788845597
88,-30,1.048747583
89,10,0.684974093
90,0,0.547884252
91,-25,0.727299536
92,-30,0.874292289
93,5,0.607787777
94,-5,0.709281629
95,-25,0.671532561
96,0,0.453637469
97,-15,0.6530749
98,-30,0.668085016
99,35,0.85755745
100,-35,0.766968585
101,-40,1.109942583
102,0,0.67224411
103,0,0.606998031
104,-20,0.676619161
105,15,0.604058804
106,-20,0.670172138
107,-35,0.881285269
108,25,0.741620136
109,20,0.63815109
110,-15,0.675273544
111,-30,0.693496141
112,15,0.818098909
113,5,0.430591172
114,-10,0.91693473
115,25,0.746905027
116,35,0.856064614
117,30,0.597686801
118,-35,0.756055813
119,30,0.968281858
120,0,0.40517492
121,-40,0.689376932
122,-20,0.596514036
123,-35,0.855137025
124,25,0.799706565
125,30,0.616846726
126,10,0.581361046
127,-5,0.574625012
128,25,0.899207031
129,25,0.681361774
130,0,0.461190132
131,35,0.583722624
132,25,0.472312012
133,35,0.930355333
134,0,0.597683911
135,5,0.694906513
136,40,1.031682892
137,10,0.620007364
138,40,0.676194303
139,-40,0.887200847
140,-15,0.671072069
141,5,0.316315812
142,0,0.608879264
143,20,0.734221518
144,0,0.64829856
145,0,0.492080682
146,15,0.424743071
147,-15,0.934380218
148,-15,0.725386059
149,40,0.901223146
150,-35,0.631210216
151,-10,0.537183919
152,-25,0.661758826
153,5,0.415988487
154,-15,0.654401233
155,-25,0.674710131
156,-40,0.859709629
157,5,0.634842233
158,-35,0.660651801
159,40,0.723717816
160,-5,0.723340718
161,-10,0.323498618
162,-30,0.573634099
163,-40,0.60650034
164,-5,0.514632786
165,-30,0.744123821
166,5,0.545283476
167,-10,0.897282663
168,-25,0.578717101
169,15,0.650856192
170,0,0.410175609
171,20,0.502126053
172,-20,0.826111414
173,-40,0.749289399
174,40,0.911693641
175,5,0.636843855
176,30,0.759151778
177,-25,0.916182914
178,0,0.606738109
179,-40,1.113114941
180,30,0.939995749
