TrialNumber,Eccentricity,ReactionTime_s_
1,-30,0.530032277
2,-10,0.813779531
3,-25,1.30298943
4,-15,1.243316768
5,-10,0.967476176
6,-20,0.766459447
7,-30,0.755141917
8,-35,1.037270054
9,-20,1.541307654
10,-40,0.884206146
11,-20,1.471646325
12,-40,1.622721082
13,-40,1.430009539
14,-25,0.844128451
15,-25,0.751127341
16,-20,1.049119867
17,0,0.585494264
18,-5,0.557990133
19,-15,0.778736732
20,-20,0.59358921
21,-10,0.611273245
22,-20,1.031200925
23,-10,0.933870032
24,-30,1.325416392
25,0,0.482953203
26,-5,0.545201721
27,-10,0.67578197
28,-5,0.803946744
29,-30,1.131349232
30,-10,0.671002642
31,0,0.823971894
32,-15,0.686087343
33,-10,0.677394043
34,-40,1.093361243
35,-15,0.90308281
36,-20,0.881015448
37,0,0.435503678
38,-40,1.439320437
39,-35,1.719125023
40,-5,0.750607449
41,-5,0.465160617
42,-30,0.956433881
43,0,0.528455298
44,-5,0.494407289
45,0,0.522175939
46,-5,0.602681241
47,-30,1.04067251
48,-25,1.110132455
49,-25,1.606021346
50,-10,0.632637063
51,-5,0.502433842
52,-35,1.317390626
53,0,0.745839195
54,-35,0.931099795
55,0,0.565196111
56,-35,1.783270501
57,0,0.644130154
58,-5,0.556411486
59,-20,1.41182811
60,-15,0.711093094
61,-20,1.092688302
62,-10,0.685918405
63,-10,0.836239191
64,-15,0.784875405
65,-25,0.781771207
66,0,0.510914157
67,-40,1.339478393
68,-25,0.749998167
69,-15,0.647489507
70,-30,0.965296252
71,-15,0.659779954
72,-25,1.371226443
73,-40,1.494909238
74,-30,1.386685634
75,-15,0.768175769
76,-35,0.929692368
77,-35,1.101421015
78,-15,0.640913826
79,-35,1.700585389
80,-25,0.784844077
81,-20,0.847337462
82,-5,0.734552624
83,-25,0.985635001
84,-30,1.091879876
85,-30,0.777073661
86,-35,1.36464311
87,-40,1.004765857
88,-40,1.336870031
89,-40,1.170216227
90,-35,1.018105479
91,5,0.364139379
92,15,0.728167539
93,35,1.169565157
94,0,0.429695008
95,5,0.535523706
96,25,0.797868986
97,25,0.8275534
98,25,1.130937955
99,5,0.57491997
100,30,1.272244051
101,5,0.492520552
102,35,1.073074976
103,20,1.27207091
104,0,0.527645456
105,10,0.562578679
106,10,0.677291533
107,30,0.867423463
108,30,1.418696214
109,35,0.746513093
110,15,0.58397014
111,15,1.25123391
112,10,0.632363502
113,10,0.568490795
114,15,0.983711501
115,5,0.618893233
116,20,0.79894785
117,15,0.58918553
118,0,0.734316705
119,25,0.724242329
120,35,1.200029345
121,15,0.657088162
122,30,1.268578548
123,35,1.478382172
124,30,0.79570691
125,25,1.037980101
126,30,1.546525155
127,20,0.724782776
128,15,0.677370409
129,15,0.557128688
130,10,0.684610055
131,20,1.249297023
132,10,0.452522026
133,0,0.5567333
134,40,0.900746185
135,5,0.512346594
136,35,0.743676946
137,10,0.748193627
138,20,0.566456312
139,10,0.608710506
140,10,0.585479885
141,40,1.128667993
142,0,0.63533189
143,40,0.934135731
144,0,0.547101917
145,0,0.416665984
146,30,1.640150512
147,20,0.754162149
148,10,0.622767619
149,0,0.597894805
150,25,1.036598969
151,25,0.707684162
152,5,0.541146657
153,0,0.444628335
154,20,0.698226448
155,25,0.809008581
156,20,0.59108305
157,30,1.069594093
158,20,0.768512901
159,15,0.528468798
160,0,0.514203847
161,5,0.522468254
162,25,0.743038939
163,40,1.160495662
164,40,1.429634188
165,20,0.752495977
166,40,0.956766484
167,35,1.334232969
168,25,0.563357682
169,35,0.782011068
170,15,0.841348751
171,40,1.424857115
172,5,0.754971644
173,5,0.520334189
174,30,0.759590652
175,30,0.90785308
176,35,1.101082175
177,40,1.38033779
178,35,0.896308636
179,40,0.863644303
180,40,0.95415564
