TrialNumber,Eccentricity,ReactionTime_s_
1,-25,0.9878442
2,-20,0.9904188
3,-5,0.6702121
4,-35,0.7389759
5,-10,0.6502431
6,0,0.6621489
7,-15,0.749924
8,0,0.6000266
9,-5,0.4728821
10,-10,0.785359
11,-15,0.7239101
12,0,0.5612638
13,-40,0.9027704
14,-40,0.7562985
15,-10,0.7268614
16,-5,0.6307915
17,-5,0.7135567
18,-15,0.7319531
19,-20,0.5849153
20,-40,0.7121815
21,0,0.5265601
22,-30,0.9347891
23,-30,0.8082502
24,-20,0.9341705
25,-10,0.6432952
26,-35,0.7887166
27,-30,0.9666297
28,-25,0.8536299
29,0,0.7226099
30,-25,0.6680609
31,-5,0.6029617
32,-20,0.7261874
33,-5,0.5158524
34,-35,0.4823023
35,-15,0.5988139
36,-20,0.4876792
37,0,0.4753414
38,-40,0.4963974
39,-5,0.6648517
40,-25,0.5003345
41,-35,0.4772751
42,-5,0.6401037
43,-25,0.5745349
44,-10,0.8525557
45,0,0.5893936
46,-10,0.6464592
47,-10,0.7210989
48,-10,0.5947329
49,-5,0.5345751
50,-35,0.3692209
51,0,0.5022643
52,-15,0.9266272
53,-15,0.496493
54,-25,0.57046
55,-40,0.6533641
56,-20,0.8346084
57,-40,1.1617792
58,-15,0.5525759
59,-10,0.5787627
60,-40,0.3993385
61,-15,0.4119741
62,-40,0.546424
63,-30,0.7911502
64,-20,0.8226031
65,-35,0.60511
66,-35,1.1962144
67,-25,0.8026069
68,-10,0.702143
69,-25,0.6561734
70,-30,0.7113459
71,-35,0.8151249
72,0,0.5648548
73,-20,1.1764049
74,-30,0.9969721
75,-35,0.5155393
76,-30,0.6505925
77,-20,0.7549469
78,0,0.6141808
79,-5,0.6219178
80,-15,0.6236935
81,-20,0.807832
82,-15,0.6247013
83,-25,0.8947343
84,-30,0.8552379
85,-30,1.011612
86,-30,0.742131
87,-35,0.6947617
88,-40,0.7599765
89,-25,0.6562342
90,-40,0.975442
91,40,0.6753671
92,25,0.8535324
93,35,0.7880206
94,25,0.64807
95,15,0.5028774
96,35,0.4740421
97,5,0.5789871
98,0,0.5530051
99,20,0.4887178
100,5,0.6629752
101,5,0.4644641
102,15,0.778136
103,30,0.7029202
104,35,0.4933539
105,10,0.505143
106,10,0.5054404
107,35,0.5749267
108,5,0.6389283
109,25,0.7894682
110,30,0.6745306
111,5,0.5180929
112,10,0.6164568
113,35,0.3692627
114,20,0.4628341
115,25,0.6195806
116,10,0.645928
117,30,0.7515894
118,10,0.4900874
119,35,0.6421378
120,10,0.7542474
121,10,0.7282258
122,20,0.7992636
123,0,0.5605824
124,5,0.5106903
125,30,0.7341407
126,0,0.5416613
127,15,0.6865611
128,30,0.4205167
129,25,0.4860699
130,25,0.6042284
131,20,0.5921465
132,10,0.745696
133,5,0.6503043
134,0,0.5575407
135,10,0.6435717
136,20,0.6754621
137,20,0.5303082
138,0,0.569538
139,0,0.4469114
140,0,0.5100082
141,40,0.6454753
142,15,0.5960818
143,5,0.4847314
144,15,0.5283253
145,20,0.7444808
146,15,0.5209338
147,0,0.5888098
148,0,0.5278637
149,15,0.6948583
150,25,0.5082645
151,15,0.797847
152,0,0.6025746
153,5,0.695236
154,40,0.804802
155,40,0.8570602
156,15,0.6128476
157,20,0.7295219
158,15,0.6226177
159,30,0.6835916
160,35,0.7864878
161,40,1.0570941
162,30,0.7558876
163,40,0.9885635
164,20,0.6992186
165,40,0.7695821
166,40,1.0416464
167,5,0.7223654
168,40,0.7183449
169,35,0.9235499
170,25,0.8375857
171,25,1.035713
172,20,0.6335022
173,30,0.4808346
174,10,0.5911084
175,40,0.7518534
176,25,0.6833355
177,35,0.9431927
178,35,0.7874762
179,30,0.6541295
180,30,0.3149741
