TrialNumber,Eccentricity,ReactionTime_s_
1,40,1.3364731
2,0,0.6564143
3,5,0.5223178
4,25,0.63154
5,40,0.7222913
6,40,1.1082581
7,25,0.9743259
8,10,0.5215697
9,5,0.5605211
10,15,0.3975792
11,40,1.4883775
12,5,0.3732171
13,5,0.5478695
14,20,0.7053171
15,40,1.0717321
16,30,0.6024188
17,15,0.6611953
18,10,0.9325636
19,10,0.5920821
20,15,0.5987596
21,10,0.4111416
22,20,0.7403336
23,15,1.0473826
24,35,1.1500216
25,15,0.7072123
26,25,0.6768417
27,5,0.6672307
28,35,0.5313319
29,30,0.8772243
30,40,1.0354224
31,40,0.8792617
32,15,0.6601024
33,10,0.6655521
34,10,0.4800548
35,30,0.6308888
36,10,0.6179991
37,15,0.4522872
38,35,1.4451669
39,15,0.5490412
40,30,0.78471
41,10,0.5699086
42,0,0.4780726
43,25,0.7524382
44,0,0.997212
45,20,0.7523393
46,5,0.6383508
47,25,0.6638504
48,0,0.6368434
49,10,0.5485163
50,30,0.570157
51,30,0.4918198
52,5,0.6138274
53,20,0.5378221
54,5,0.5836684
55,30,0.603206
56,20,0.6364881
57,20,0.5273396
58,15,0.3860707
59,20,0.6173063
60,0,0.6179139
61,10,0.4795102
62,15,0.4618418
63,5,0.3942759
64,0,0.4395599
65,20,0.5000169
66,25,0.5716009
67,25,0.6287743
68,35,0.6699917
69,0,0.5577401
70,40,0.6700879
71,40,0.701651
72,20,0.4981667
73,35,0.6697132
74,0,0.5965905
75,25,0.6490595
76,30,0.6737761
77,25,0.5684039
78,35,0.657613
79,35,0.6368376
80,35,0.5785382
81,35,0.4850616
82,30,0.711529
83,25,0.4621432
84,5,0.4487989
85,20,0.5474554
86,40,0.7573616
87,30,0.7637252
88,0,0.4572692
89,35,0.6454665
90,0,0.4915793
91,-25,0.6080193
92,-30,0.6797809
93,-15,0.5319317
94,0,0.5429282
95,0,0.438985
96,-25,0.5045003
97,-40,0.8008572
98,-15,0.5652174
99,-40,0.6151715
100,-5,0.6094332
101,-35,0.7204661
102,-15,0.6193534
103,-40,0.6397383
104,-5,0.6550532
105,-10,0.5221608
106,0,0.5055718
107,-5,0.5410118
108,-20,0.5708436
109,-40,0.7000999
110,-40,0.6941755
111,-35,0.6330971
112,-15,0.543626
113,0,0.7089954
114,-25,0.5975934
115,-15,0.5747002
116,-20,0.5850292
117,-15,0.5037013
118,-35,0.6886471
119,-10,0.5493955
120,-20,0.6527726
121,-10,0.5433587
122,-40,0.8252098
123,-15,0.5244476
124,-40,0.8278012
125,-20,0.5833205
126,-40,0.6429825
127,-35,0.6453017
128,-25,0.6254237
129,0,0.5568002
130,-30,0.4692961
131,-10,0.6393611
132,-10,0.5246736
133,-30,0.6236778
134,-10,0.4916629
135,-10,0.6082827
136,-25,0.7121431
137,-40,0.5640273
138,-25,0.568573
139,0,0.6828833
140,-25,0.5755654
141,-35,0.5696387
142,-10,0.5013739
143,-25,0.5027047
144,-35,0.5654267
145,-30,0.6158673
146,-5,0.60127
147,-15,0.4752458
148,0,0.5102393
149,-5,0.4816739
150,-20,0.5250407
151,-5,0.555303
152,-35,0.6865892
153,0,0.501667
154,0,0.5395158
155,-5,0.5216821
156,-30,0.6113423
157,-5,0.5671536
158,-30,0.5570067
159,-40,0.7251958
160,-30,0.5422663
161,-20,0.5464155
162,0,0.4724981
163,-35,0.6125696
164,-25,0.9157317
165,-30,0.6304275
166,-10,0.4200424
167,-30,0.7348904
168,-5,0.756522
169,-15,0.5268764
170,-25,0.6839216
171,-10,0.4185864
172,-5,0.5739072
173,-20,0.5644804
174,-30,0.5515621
175,-20,0.5935443
176,-20,0.5532952
177,-15,0.4556389
178,-20,0.5428448
179,-35,0.6851599
180,-35,0.6623275
