TrialNumber,Eccentricity,ReactionTime_s_
1,-30,1.0455612
2,-25,0.6500911
3,-10,0.6468475
4,0,0.6739977
5,-5,0.639811
6,-20,0.7323189
7,-15,0.6079268
8,-5,0.6207371
9,-40,1.2283735
10,-40,0.5972363
11,-35,0.7258647
12,-25,0.6338231
13,-10,0.616961
14,0,0.6785114
15,0,0.5564067
16,-30,0.8499561
17,-30,0.6726176
18,0,0.6211336
19,-5,0.5292961
20,0,0.5752024
21,-5,0.7052213
22,-15,0.8973885
23,-20,0.9796924
24,-30,1.0345168
25,-35,0.8143849
26,-10,0.7092798
27,-10,0.5625295
28,-20,0.7394195
29,-15,0.709994
30,-20,0.7393988
31,-40,0.9094925
32,-5,0.6773769
33,-20,0.8848082
34,0,0.501089
35,-20,0.6879118
36,-15,0.7260432
37,-5,0.525022
38,-20,0.5690015
39,-15,0.7228121
40,-15,0.7278923
41,-25,0.5616017
42,-5,0.499518
43,-20,0.5458932
44,-25,0.7074984
45,-25,0.7298498
46,-30,0.7478604
47,-30,0.6713086
48,-25,0.8230467
49,-25,0.7203603
50,-10,0.7530969
51,-35,0.6659144
52,-35,1.4560784
53,-30,0.6750816
54,-40,0.7096997
55,0,0.5507808
56,-5,0.6483125
57,-15,0.8936922
58,-10,0.6764672
59,-10,0.6980997
60,-10,0.749871
61,-20,0.6231876
62,-40,0.8373153
63,-5,0.5556263
64,0,0.4854448
65,-35,0.8368273
66,-15,0.8507534
67,0,0.64491
68,-30,0.7409677
69,-10,1.1182708
70,-10,0.5409734
71,-15,0.6952673
72,-35,0.7009934
73,-25,0.6801483
74,-35,0.6591039
75,-25,0.9013287
76,-15,0.952562
77,0,0.6298793
78,-40,0.6027091
79,-5,0.749034
80,-35,0.8979785
81,-20,0.6594285
82,-30,0.9380762
83,-35,0.8754015
84,-40,0.5005904
85,-25,0.7668985
86,-40,1.3585309
87,-40,1.4308239
88,-40,1.0953698
89,-35,0.9145889
90,-30,0.9917229
91,5,0.5570096
92,30,0.788868
93,35,0.656165
94,25,0.5890446
95,15,0.4941459
96,0,0.5084148
97,5,0.5255942
98,20,0.5346414
99,10,0.5436478
100,35,0.732263
101,10,0.7380105
102,15,0.6637083
103,30,0.8850713
104,30,0.689238
105,20,0.7344316
106,40,0.7083384
107,35,0.6510049
108,0,0.5147733
109,5,0.7308749
110,35,0.9059424
111,25,0.8649518
112,0,0.5711839
113,15,0.625893
114,0,0.6999846
115,15,0.7130161
116,20,0.7617453
117,0,0.5031165
118,10,0.609871
119,40,0.6980337
120,20,0.5328133
121,5,0.5126847
122,35,0.7373666
123,15,0.7986882
124,15,0.9405618
125,30,1.1142135
126,5,0.6562233
127,0,0.5425311
128,10,0.6843389
129,40,0.7363687
130,15,0.6979912
131,35,0.5762697
132,40,0.7272521
133,30,0.6711801
134,0,0.5408861
135,10,0.6672141
136,5,0.5656265
137,10,1.0462857
138,35,0.6907813
139,15,0.63542
140,5,0.6888097
141,10,0.687747
142,5,0.5829721
143,10,0.7990775
144,5,0.5304648
145,10,0.6903436
146,30,0.7079625
147,25,0.7660939
148,0,0.5450535
149,5,0.6473352
150,25,0.7463536
151,15,0.5812155
152,25,0.8412934
153,0,0.5736872
154,40,0.7026442
155,20,0.8878452
156,25,0.7641735
157,20,0.6077594
158,30,0.697442
159,15,0.6169042
160,25,0.8266864
161,25,0.6857788
162,20,0.6332521
163,40,0.5399599
164,0,0.5592227
165,10,0.6437645
166,35,0.8840396
167,40,0.7946333
168,30,0.7215735
169,25,0.55086
170,30,0.6404688
171,20,0.6150814
172,20,0.7465714
173,35,0.5953962
174,40,0.6650254
175,30,0.653572
176,20,0.6985422
177,40,0.7601508
178,25,1.1400596
179,40,0.8900071
180,35,0.8095813
