TrialNumber,Eccentricity,ReactionTime_s_
1,0,0.5183649
2,-5,0.5920017
3,-40,0.8147579
4,-25,0.7684226
5,-15,0.5852355
6,-10,0.4828746
7,0,0.549888
8,-30,0.6486236
9,-10,0.5539793
10,-40,1.0045826
11,-20,1.0542411
12,-30,0.8041824
13,-35,0.6895285
14,-5,0.4345039
15,-10,0.4648123
16,-5,0.4421388
17,-40,0.8528949
18,-30,0.6967762
19,0,0.4964867
20,-30,0.8155215
21,-35,0.7488337
22,-40,0.817257
23,-30,0.6294081
24,-15,0.4862644
25,-5,0.6222446
26,-25,0.6795968
27,-30,0.6478986
28,0,0.5380854
29,-35,0.7442255
30,-40,0.7367625
31,-35,0.8555135
32,-20,0.6190057
33,-10,0.6991735
34,-10,0.7689273
35,-35,0.7404725
36,-25,0.6190498
37,-20,0.6578532
38,-40,0.9069458
39,-15,0.8379595
40,-35,0.9044787
41,0,0.6286697
42,-10,0.5796229
43,-5,0.5355727
44,-40,0.8892518
45,-40,0.7274558
46,0,0.4972641
47,-25,0.9782843
48,-25,0.6519386
49,-20,0.6867833
50,0,0.4316776
51,-20,0.7049205
52,-15,0.4537928
53,-20,0.5649999
54,-15,0.6945848
55,-15,0.4641109
56,-5,0.7066434
57,-20,0.5506952
58,-35,0.6330219
59,-10,0.4188426
60,-5,0.687035
61,-25,0.7554773
62,-30,0.927029
63,-30,0.8722684
64,-20,0.6199251
65,0,0.8134512
66,-15,0.6440121
67,-5,0.6261282
68,-35,0.6415054
69,-30,0.7822486
70,-5,0.566022
71,-30,0.7992867
72,-25,0.829214
73,0,0.6045586
74,-40,1.197976
75,-15,0.5911644
76,-5,0.7390983
77,-10,0.4869921
78,-20,0.511183
79,-25,0.5114443
80,0,0.5598344
81,-25,0.6213559
82,-10,0.7363967
83,-20,0.9303347
84,-25,0.5581823
85,-15,0.5515169
86,-40,0.8193476
87,-15,0.5738218
88,-35,0.7642223
89,-35,0.8722116
90,-10,0.3740125
91,35,0.8956214
92,40,0.8443359
93,15,0.8371208
94,10,0.6890402
95,30,0.6778514
96,35,0.5466748
97,15,0.5711741
98,25,0.5162238
99,25,0.5702719
100,40,0.6666525
101,0,0.7381361
102,15,0.663564
103,15,0.7019551
104,15,0.4705185
105,5,0.6853251
106,10,0.6813931
107,15,0.8684795
108,10,0.6588681
109,20,0.7062214
110,10,0.7567848
111,30,0.8294069
112,25,0.7350057
113,20,0.4797008
114,30,0.5334784
115,15,0.8440112
116,40,0.9452063
117,10,0.6400013
118,0,0.6291708
119,5,0.5357137
120,35,1.0302546
121,25,0.7477719
122,5,0.5133359
123,10,0.6362846
124,25,0.5487904
125,40,1.083778
126,25,0.7708117
127,15,0.7260214
128,35,0.768081
129,15,0.7158255
130,40,0.9632687
131,20,0.6095024
132,0,0.6127284
133,5,0.6198473
134,30,0.6334369
135,10,0.627642
136,25,0.6473825
137,40,0.6558999
138,30,0.5711131
139,30,0.513649
140,35,0.8170881
141,35,0.7199418
142,25,0.7524843
143,35,0.6095819
144,30,0.6760387
145,25,0.6560981
146,0,0.4998027
147,40,1.0157665
148,15,0.6290582
149,30,0.5453748
150,0,0.5888082
151,5,0.6518619
152,0,0.7374805
153,5,0.4868761
154,35,0.8348483
155,20,0.5646608
156,0,0.4893306
157,10,0.5358279
158,20,0.5855687
159,20,0.6477434
160,5,0.5131017
161,5,0.5792757
162,35,0.7150802
163,20,0.6118315
164,20,0.7345531
165,0,0.4851109
166,25,0.640272
167,0,0.4483301
168,5,0.576914
169,5,0.6293709
170,40,0.9068308
171,40,0.8612197
172,35,0.8413192
173,30,0.6980712
174,20,0.5224108
175,40,0.8461779
176,30,0.7043212
177,10,0.5773568
178,10,0.6603066
179,20,0.5475258
180,0,0.5336305
