TrialNumber,Eccentricity,ReactionTime_s_
1,35,0.921430901
2,5,0.476818728
3,-25,0.566401052
4,5,0.779740619
5,-15,0.768909734
6,20,0.802220909
7,10,0.728646646
8,-15,0.785721928
9,-5,0.455298375
10,20,0.803833152
11,-40,0.625951295
12,-20,0.676686625
13,-35,0.932871307
14,20,0.872416337
15,-5,0.674017622
16,-10,0.608474842
17,40,0.721456299
18,20,0.866212069
19,-5,0.56363055
20,40,0.842403499
21,-40,0.80186786
22,20,0.799066288
23,10,0.502915755
24,-25,0.851337537
25,-25,0.610409759
26,-20,0.494352517
27,10,0.474165247
28,-10,0.523167614
29,0,0.72788595
30,15,0.703987862
31,-30,0.910342112
32,25,0.813706594
33,-15,0.501121219
34,30,0.747408195
35,-25,0.60616022
36,0,0.69746213
37,10,0.540683883
38,-20,0.877009426
39,40,0.780990937
40,25,0.881590363
41,10,0.613394547
42,20,0.678742746
43,-10,0.66674147
44,5,0.490404888
45,5,0.66049334
46,15,0.699224025
47,-20,0.810034013
48,-20,0.720065225
49,-25,0.564167025
50,30,0.485893671
51,5,0.643331897
52,-40,0.938459056
53,25,0.68753828
54,30,0.651614672
55,30,0.533226194
56,35,0.934826902
57,-40,0.802714899
58,-30,0.945165116
59,0,0.57484124
60,-5,0.392667362
61,-35,0.891712439
62,-25,0.83868787
63,-25,0.638978467
64,-40,0.772078404
65,-10,0.73912143
66,35,0.925848896
67,25,0.773157559
68,0,0.500483018
69,35,0.726124941
70,40,0.87845593
71,-15,0.637898586
72,-5,0.503319474
73,5,0.473641633
74,-20,0.545477524
75,10,0.810203131
76,-20,0.918156976
77,10,0.557492917
78,0,0.599354145
79,-10,0.536501313
80,40,0.995493119
81,35,0.635396016
82,-15,0.538106898
83,25,0.720199454
84,15,0.576402493
85,-40,0.923710439
86,-10,0.80604628
87,-10,0.775156933
88,35,0.897097458
89,-30,0.767886542
90,35,0.741560752
91,-15,0.481365523
92,30,0.610124562
93,-40,0.90954134
94,-5,0.661917426
95,35,0.735881089
96,-40,0.992145495
97,15,0.74653841
98,-5,0.539828658
99,-20,0.828273214
100,15,0.829163194
101,-10,0.56891174
102,30,0.876062491
103,30,0.569553983
104,20,0.567730612
105,5,0.443670869
106,-30,0.906898111
107,0,0.585184499
108,-15,0.442267406
109,-30,0.563845956
110,-20,0.662554751
111,-30,0.788147753
112,0,0.613370885
113,-15,0.752157614
114,0,0.443756809
115,20,0.812487083
116,15,0.788191679
117,40,1.091386242
118,-35,0.71992287
119,-5,0.455570466
120,40,0.972673556
121,15,0.562335071
122,-20,0.604811168
123,-35,0.754780172
124,0,0.633488105
125,-5,0.44252346
126,15,0.628949015
127,25,0.699044501
128,0,0.496740395
129,5,0.617661057
130,-10,0.521422384
131,-30,0.701934362
132,15,0.710213241
133,-30,0.610517453
134,30,0.529396364
135,0,0.788006523
136,40,0.835224526
137,15,0.787433151
138,20,0.80569398
139,0,0.489001344
140,30,0.847709026
141,-35,0.81718254
142,-15,0.476965563
143,-40,1.056654861
144,0,0.527242366
145,0,0.599192003
146,-25,0.915098795
147,35,0.639107406
148,5,0.562395163
149,-25,0.665373617
150,-10,0.59010692
151,-35,0.947922375
152,-40,0.916161641
153,25,0.751338267
154,25,0.754735277
155,30,0.865759374
156,40,0.849665391
157,-15,0.807005329
158,0,0.384682292
159,-35,0.570466224
160,10,0.698802352
161,25,0.622062467
162,-35,0.865401403
163,0,0.46453413
164,10,0.594766775
165,-30,0.731193201
166,20,0.568125276
167,0,0.3970099
168,0,0.616363612
169,0,0.507680877
170,5,0.536558391
171,-35,0.824835616
172,-5,0.800444337
173,10,0.399656744
174,35,0.857055591
175,40,0.782375354
176,-35,0.822478985
177,-30,0.842445873
178,25,0.698713422
179,-25,0.763151714
180,0,0.551054866
