TrialNumber,Eccentricity,ReactionTime_s_
1,-10,0.706289
2,-15,0.5485386
3,-25,0.7872827
4,-40,0.7790588
5,-35,0.7174544
6,-30,0.6594307
7,-40,0.7116622
8,-10,0.5575057
9,-30,0.6341669
10,-40,0.7608259
11,-10,0.5876088
12,-40,0.8871868
13,-25,0.6108104
14,-10,0.4732741
15,-20,0.4944066
16,-30,0.7734979
17,-25,0.5361626
18,-25,0.6360224
19,-35,0.601017
20,0,0.6589844
21,-20,0.5767403
22,-5,0.5477947
23,0,0.5190925
24,-15,0.570773
25,-20,0.4360107
26,-25,0.5317037
27,-10,0.4537274
28,-25,0.5565275
29,-10,0.4051334
30,-5,0.3770777
31,0,0.3930256
32,0,0.4449873
33,-20,0.6162063
34,-5,0.6370055
35,-5,0.503887
36,-30,0.601561
37,-15,0.5951865
38,-35,0.5123654
39,-15,0.6405136
40,-30,0.863755
41,0,0.8057898
42,-10,0.3276113
43,-20,0.6754175
44,-10,0.4742129
45,-5,0.5085637
46,-40,0.7579713
47,-30,0.7012317
48,-30,0.525051
49,-15,0.3911315
50,0,0.5105925
51,-40,0.6446499
52,-15,0.522844
53,-40,0.8238494
54,-20,0.4400304
55,-35,0.7021592
56,0,0.4753648
57,-20,0.5116351
58,-20,0.543618
59,-35,0.5652584
60,-20,0.6844765
61,-25,0.7215665
62,-25,0.6888329
63,-5,0.5555016
64,-25,0.5699135
65,-40,0.7038125
66,-30,0.525867
67,-20,0.5856118
68,-40,0.7003853
69,0,0.4491398
70,-15,0.5300199
71,0,0.5472544
72,-5,0.5629181
73,-10,0.8531912
74,-40,0.65249
75,-30,0.6388194
76,-15,0.4395178
77,-5,0.5505273
78,-30,0.4588406
79,-10,0.4916902
80,-15,0.655349
81,-35,0.5488903
82,-5,0.5399699
83,-35,0.6706938
84,-35,0.6916799
85,-25,0.5692218
86,0,0.5628518
87,-35,0.5552223
88,-15,0.7069585
89,-5,0.3900482
90,-35,0.5562391
91,30,0.7940353
92,40,0.7428375
93,25,0.751605
94,0,0.4744733
95,20,0.6903672
96,10,0.4263124
97,0,0.4628909
98,25,0.6674797
99,20,0.6243257
100,20,0.6776516
101,15,0.7119388
102,40,0.7053194
103,30,0.5894481
104,30,0.737822
105,25,0.5845849
106,15,0.5005943
107,25,0.6886329
108,5,0.556145
109,40,0.5699025
110,35,0.6257577
111,0,0.5060178
112,25,0.7599664
113,5,0.5343379
114,30,0.5995232
115,5,0.4063305
116,10,0.4726627
117,5,0.381245
118,15,0.4770916
119,10,0.4684456
120,40,0.4883262
121,25,0.6488018
122,35,0.6175688
123,25,0.7704495
124,20,0.5594812
125,0,0.491859
126,20,0.9298243
127,40,0.6163197
128,5,0.4968584
129,0,0.3710979
130,35,0.7556472
131,40,0.6637025
132,35,0.468262
133,30,0.5233975
134,10,0.5416528
135,0,0.3897153
136,40,0.8234906
137,30,0.7190001
138,15,0.5777897
139,15,0.3811351
140,40,0.8180108
141,20,0.5313941
142,20,0.5291146
143,10,0.433677
144,10,0.3679998
145,20,0.532516
146,35,0.5639433
147,35,0.6228257
148,0,0.3827092
149,15,0.6230779
150,30,0.5058211
151,10,0.6654322
152,0,0.5499815
153,15,0.5716462
154,40,0.6321162
155,10,0.563361
156,25,0.5157669
157,35,0.7730033
158,30,0.6969752
159,0,0.6895265
160,5,0.4721766
161,30,0.7365206
162,0,0.6287892
163,30,0.5049196
164,10,0.36235
165,15,0.4652159
166,15,0.4481141
167,15,0.7885639
168,25,0.4931036
169,5,0.4063693
170,40,0.6488076
171,35,0.6039016
172,5,0.4718148
173,5,0.3343124
174,25,0.6384744
175,10,0.5142614
176,5,0.7054578
177,35,0.6728895
178,20,0.5849047
179,20,0.5411889
180,35,0.7851671
