TrialNumber,Eccentricity,ReactionTime_s_
1,-40,0.6004348
2,0,0.6322771
3,-30,0.6254649
4,20,0.5543382
5,-10,0.6215944
6,5,0.5937647
7,-35,0.5696836
8,25,0.7068335
9,40,0.6958412
10,0,0.5127313
11,-5,0.5099022
12,-15,0.4420098
13,35,0.5699864
14,15,0.6374593
15,-20,0.55131954
16,30,0.6355418
17,10,1.0052743
18,-25,0.5209118
19,10,0.6636393
20,0,0.4111362
21,30,0.854583
22,20,0.586637
23,-10,0.5580922
24,-40,0.6082392
25,-35,0.6528804
26,10,0.6076264
27,5,0.600832
28,20,0.6191919
29,-30,0.6305449
30,15,0.6158141
31,5,0.4641653
32,40,0.5700836
33,15,0.486625
34,35,0.6284181
35,-40,0.6287566
36,25,0.5877073
37,30,0.6493026
38,-15,0.5715562
39,35,0.7686233
40,-20,0.7046303
41,-5,0.6041303
42,10,0.6308683
43,10,0.6089066
44,40,0.8084604
45,20,0.7860905
46,35,0.7577924
47,0,0.6718474
48,25,0.6032738
49,-35,0.5189173
50,40,0.583365
51,-10,0.5411733
52,25,0.6488784
53,40,0.56391874
54,-30,0.6695331
55,-5,0.4844191
56,40,0.7026869
57,40,0.7114217
58,0,0.5897914
59,0,0.6182652
60,15,0.5349685
61,-10,0.4611311
62,20,0.6981735
63,30,0.5289237
64,20,0.5263273
65,-5,0.7956324
66,-35,0.7539988
67,-30,0.5152243
68,15,0.4855475
69,0,0.5031067
70,-35,0.5435831
71,-10,0.5508957
72,-5,0.5447495
73,-35,0.7100504
74,-30,0.6761467
75,30,0.605517
76,0,0.5933522
77,25,0.5635996
78,25,0.5530905
79,-30,0.5891912
80,5,0.5339583
81,20,0.4709144
82,-25,0.5619967
83,-15,0.4288044
84,-25,0.7665542
85,0,0.516401
86,-40,0.5403446
87,40,0.6041519
88,0,0.663656
89,-40,0.7333419
90,0,0.7374866
91,30,0.654645
92,-25,0.5471994
93,35,0.7579725
94,-20,0.5491445
95,-15,0.4336348
96,-10,0.6929105
97,5,0.7563673
98,10,0.6713228
99,5,0.6173086
100,-40,0.6700419
101,25,0.634132
102,15,0.7034138
103,35,0.6884682
104,-5,0.6743886
105,-10,0.6955737
106,15,0.6886024
107,-20,0.6371517
108,-10,0.528283
109,-25,0.7410844
110,-15,0.5658383
111,0,0.4855663
112,-15,0.571184
113,-35,0.6257071
114,0,0.6482979
115,30,0.6535244
116,-35,0.6797736
