TrialNumber,Eccentricity,ReactionTime_s_
1,-5,0.661336694
2,-25,0.651089444
3,-25,0.629308616
4,-10,0.591704564
5,-30,0.744934852
6,-15,0.57832669
7,-30,0.725753629
8,25,0.548012832
9,0,0.535785242
10,-20,0.595070359
11,-35,0.661782459
12,25,0.677645217
13,-25,0.815168882
14,-25,0.62267757
15,35,0.660797714
16,0,0.608423286
17,0,0.618254119
18,0,0.739260093
19,-10,0.553073786
20,-40,0.685803371
21,10,0.597059019
22,-10,0.540690537
23,0,0.620004706
24,-35,0.622690239
25,-35,0.627271244
26,10,0.454359321
27,-15,0.538749015
28,20,0.656570996
29,-10,0.474240636
30,-20,0.517272753
31,-40,0.70882134
32,15,0.76654188
33,30,0.73749012
34,-30,0.546830575
35,-5,0.600111312
36,5,0.690795062
37,-40,0.759889131
38,-5,0.548646842
39,-20,0.578686765
40,5,0.550081198
41,15,0.617107713
42,20,0.52250759
43,40,0.576922214
44,35,0.639302923
45,10,0.44576074
46,35,0.566532977
47,5,0.470010274
48,-15,0.502879475
49,15,0.531036021
50,15,0.547523762
51,10,0.581482388
52,-30,0.557453082
53,-40,0.583829627
54,0,0.487235796
55,25,0.627287088
56,0,0.58420153
57,40,0.743607266
58,-20,0.560675457
59,35,0.665991138
60,30,0.671791433
61,35,0.687812927
62,0,0.556005546
63,10,0.606782412
64,-25,0.639602404
65,-20,0.62962403
66,0,0.542578068
67,-35,0.624965797
68,0,0.477858989
69,-15,0.670020838
70,10,0.71518412
71,5,0.582172383
72,-35,0.582774803
73,-35,0.784007169
74,40,0.598040458
75,20,0.649962451
76,15,0.621478
77,40,0.714927883
78,-10,0.538411155
79,25,0.637515961
80,-20,0.773334018
81,-30,0.61669668
82,-25,0.671292067
83,-35,0.699882554
84,30,0.651382757
85,40,0.562552321
86,-40,0.733470601
87,-10,0.627705274
88,15,0.561427008
89,-15,0.587450489
90,20,0.549993997
91,30,0.712009111
92,-5,0.49807715
93,0,0.649901613
94,20,0.755742023
95,25,0.788425348
96,10,0.52905754
97,30,0.676516577
98,5,0.558513687
99,-15,0.53264038
100,5,0.574680016
101,-20,0.611401058
102,-40,0.651064829
103,-5,0.696296067
104,-5,0.606381765
105,5,0.669067701
106,-30,0.658228542
107,20,0.601427988
108,-35,0.654313739
109,35,0.610975919
110,-20,0.545612634
111,30,0.633675018
112,25,0.627483398
113,-10,0.660843013
114,-40,0.758414281
115,-25,0.568419738
116,30,0.607689571
117,40,0.651813202
118,25,0.522147784
119,-10,0.514816014
120,-30,0.51543556
121,15,0.591919351
122,15,0.481316546
123,-15,0.615706394
124,-30,0.536477996
125,15,0.536912684
126,-35,0.579549675
127,-25,0.70130034
128,5,0.668140939
129,40,0.612464208
130,0,0.555726979
131,-15,0.569928851
132,20,0.619207956
133,40,0.771602727
134,-15,0.626276496
135,-5,0.514699805
136,0,0.539454993
137,-5,0.584909072
138,0,0.501921413
139,5,0.499786093
140,0,0.653231533
141,-30,0.590790745
142,0,0.548603843
143,20,0.732981246
144,10,0.595219257
145,25,0.622350211
146,-10,0.494352891
147,30,0.560640421
148,-5,0.520118131
149,30,0.644202364
150,10,0.524120697
151,15,0.639729246
152,0,0.724213017
153,-10,0.627340033
154,35,0.57074657
155,-40,0.786713755
156,-20,0.56588929
157,-25,0.724447221
158,0,0.604046304
159,25,0.627367796
160,35,0.65034077
161,0,0.629323637
162,5,0.561067188
163,20,0.579698344
164,35,0.601074394
165,-15,0.633896162
166,40,0.602200053
167,-40,0.594803205
168,10,0.485260562
169,-20,0.760576805
170,40,0.731177137
171,-40,0.597980917
172,35,0.613849178
173,20,0.635509415
174,-5,0.639645773
175,-30,0.692697869
176,25,0.626575256
177,-25,0.661330418
178,30,0.615753118
179,-35,0.689977699
180,0,0.564697484
