TrialNumber,Eccentricity,ReactionTime_s_
1,20,0.6668804
2,40,0.7637318
3,35,0.9671246
4,0,0.4879624
5,10,0.5314954
6,0,0.6433703
7,10,0.5097049
8,35,0.6827194
9,10,0.6845992
10,30,0.6020562
11,25,0.7480934
12,10,0.6100438
13,0,0.6817806
14,15,0.740031
15,20,0.7580292
16,25,0.7439449
17,0,0.6309678
18,40,0.8986791
19,15,0.8829679
20,15,0.7432078
21,35,0.6533856
22,25,0.7760573
23,20,0.6349186
24,35,0.5652807
25,20,0.7012389
26,15,0.5821926
27,30,0.8068487
28,20,0.7503782
29,5,0.6383453
30,35,0.7817806
31,30,0.7273121
32,40,0.8730644
33,30,0.6422273
34,30,0.62334
35,10,0.6125912
36,5,0.5090756
37,40,0.9218996
38,5,0.6227208
39,10,0.6505084
40,35,0.7611009
41,0,0.5372374
42,25,0.6797535
43,5,0.4745574
44,10,0.5835856
45,5,0.4791272
46,30,0.6822051
47,40,0.7479975
48,15,0.6024137
49,5,0.6352784
50,10,0.5224485
51,10,0.6874173
52,5,0.650684
53,25,0.6905048
54,0,0.6235293
55,25,0.6474768
56,20,0.671628
57,15,0.5260492
58,15,0.7785263
59,40,0.744066
60,30,0.6709757
61,15,0.6306231
62,15,0.6015373
63,40,0.659993
64,40,0.5428102
65,30,0.734428
66,35,0.8026612
67,25,0.7509185
68,20,0.6599949
69,0,0.5621696
70,40,0.948145
71,5,0.8030891
72,20,0.6492565
73,0,0.5823177
74,35,0.9605451
75,5,0.6490598
76,25,0.7405959
77,5,0.6057352
78,0,0.5248163
79,20,0.6762787
80,10,0.9584742
81,30,0.7670396
82,40,0.8445184
83,15,0.9799176
84,35,0.9548468
85,25,0.7608449
86,35,0.9931057
87,0,0.5697071
88,30,0.7791935
89,25,0.7958847
90,20,0.6965818
91,-20,0.5364707
92,-20,0.4843357
93,0,0.6043645
94,-40,0.6311205
95,0,0.5359963
96,-10,0.5141322
97,-10,0.667969
98,-15,0.484374
99,-30,0.8020913
100,-40,0.6601253
101,-30,0.858093
102,-10,0.7061989
103,0,0.5493429
104,-20,0.698979
105,-30,0.7183861
106,-35,0.7037011
107,0,0.6323935
108,-25,0.6765574
109,-30,0.7335459
110,-20,0.6181881
111,0,0.7057468
112,-5,0.6262695
113,0,0.6988069
114,-35,0.7870096
115,-40,0.7705627
116,-30,0.6980217
117,-10,0.7451093
118,0,0.7117626
119,-5,0.5887684
120,-25,0.7840998
121,-5,0.671046
122,-10,0.7242359
123,-10,0.6567633
124,-10,0.7136094
125,-25,0.6792915
126,0,0.6889172
127,-20,0.8076604
128,-25,0.6014597
129,-15,0.5398398
130,-35,0.792303
131,-15,0.5392184
132,-5,0.5480605
133,-30,0.633386
134,-35,0.7225601
135,-15,0.6249109
136,-20,0.7157929
137,-35,0.8694127
138,-15,0.7837265
139,-40,0.8495445
140,-15,0.5641882
141,-40,0.8346437
142,-10,0.7216748
143,-30,0.8056901
144,-5,0.7681714
145,-35,0.7348497
146,-5,0.6430859
147,-20,0.6844202
148,0,0.5770013
149,-35,0.7889324
150,-5,0.5347315
151,-40,0.6595288
152,-15,0.8245975
153,-25,0.7527363
154,-20,0.6543207
155,-30,0.7130075
156,-20,0.5491096
157,-15,0.4877696
158,-25,0.6981259
159,-15,0.5596239
160,-35,0.6830373
161,-30,0.5997013
162,-25,0.4828852
163,0,0.6792372
164,-40,0.8766521
165,-5,0.8151002
166,-25,0.6949006
167,-5,0.6436421
168,-40,1.0452727
169,-25,0.7161941
170,-5,0.8545406
171,-35,0.6859891
172,-25,0.66987
173,-30,0.8928875
174,-15,0.7545025
175,-20,0.609468
176,-35,0.6612482
177,-10,0.5738772
178,-10,0.7172157
179,-40,0.6213119
180,-40,0.5842424
