trial, dist, RT, interstim, Brightness, NumberofLED
1,30,300,364,15,1
2,30,206,749,15,1
3,0,247,436,15,1
4,-45,373,505,15,1
5,15,131,560,15,1
6,15,179,514,15,1
7,15,136,782,15,1
8,-60,282,361,15,1
9,-45,249,761,15,1
10,30,249,346,15,1
11,0,230,404,15,1
12,-45,209,432,15,1
13,15,197,774,15,1
14,15,222,476,15,1
15,15,208,798,15,1
16,15,196,365,15,1
17,0,155,623,15,1
18,15,205,460,15,1
19,-45,230,414,15,1
20,45,212,487,15,1
21,-45,210,698,15,1
22,-15,196,784,15,1
23,15,188,533,15,1
24,60,220,541,15,1
25,-45,218,561,15,1
26,45,186,367,15,1
27,-45,195,504,15,1
28,0,194,420,15,1
29,-60,251,449,15,1
30,-60,246,523,15,1
31,-60,282,422,15,1
32,15,292,304,15,1
33,45,235,517,15,1
34,-15,216,526,15,1
35,30,190,545,15,1
36,45,259,769,15,1
37,60,224,652,15,1
38,60,404,451,15,1
39,30,222,627,15,1
40,-60,261,370,15,1
41,0,194,616,15,1
42,45,266,301,15,1
43,0,204,566,15,1
44,-45,217,607,15,1
45,15,188,520,15,1
46,15,250,300,15,1
47,-30,217,710,15,1
48,60,244,420,15,1
49,-15,180,770,15,1
50,-45,229,702,15,1
51,15,215,483,15,1
52,60,205,798,15,1
53,-45,237,560,15,1
54,-15,201,698,15,1
55,-60,383,337,15,1
56,-60,286,789,15,1
57,45,215,681,15,1
58,-30,221,771,15,1
59,15,297,713,15,1
60,-30,272,359,15,1
61,0,253,739,15,1
62,45,274,459,15,1
63,-60,248,759,15,1
64,-30,205,599,15,1
65,0,239,503,15,1
66,30,210,454,15,1
67,-45,194,670,15,1
68,-15,220,331,15,1
69,45,211,431,15,1
70,15,245,309,15,1
71,-30,189,615,15,1
72,-60,255,588,15,1
73,-30,222,409,15,1
74,60,259,418,15,1
75,15,233,579,15,1
76,-15,200,544,15,1
77,-60,257,722,15,1
78,-15,239,409,15,1
79,-60,223,334,15,1
80,45,190,501,15,1
81,-60,231,590,15,1
82,45,246,311,15,1
83,0,205,655,15,1
84,30,231,560,15,1
85,-45,251,732,15,1
86,-15,218,539,15,1
87,0,202,628,15,1
88,15,234,323,15,1
89,60,236,412,15,1
90,15,361,795,15,1
91,-15,198,639,15,1
92,15,199,594,15,1
93,-45,242,765,15,1
94,-30,209,547,15,1
95,-30,192,459,15,1
96,-45,213,576,15,1
97,-60,263,339,15,1
98,45,162,623,15,1
99,-45,295,590,15,1
100,15,302,363,15,1
101,-60,226,441,15,1
102,15,194,498,15,1
103,15,216,427,15,1
104,60,235,369,15,1
105,30,190,346,15,1
106,-60,259,623,15,1
107,0,256,366,15,1
108,-15,169,412,15,1
109,0,240,331,15,1
110,45,152,715,15,1
111,60,227,751,15,1
112,0,185,729,15,1
113,60,251,302,15,1
114,-60,403,561,15,1
115,60,263,500,15,1
116,30,177,772,15,1
117,-60,277,509,15,1
118,-30,240,324,15,1
119,-60,245,399,15,1
120,60,420,433,15,1
121,-45,220,699,15,1
122,0,226,414,15,1
123,30,170,573,15,1
124,60,247,797,15,1
125,-15,247,407,15,1
126,-15,225,412,15,1
127,-15,163,713,15,1
128,45,168,688,15,1
129,15,199,380,15,1
130,-30,220,640,15,1
131,-45,250,491,15,1
132,-15,226,458,15,1
133,-30,209,479,15,1
134,-45,242,323,15,1
135,-30,397,491,15,1
136,-30,249,302,15,1
137,-15,214,453,15,1
138,-60,279,300,15,1
139,-45,214,573,15,1
140,30,205,660,15,1
141,-30,195,689,15,1
142,-30,340,791,15,1
143,-45,189,596,15,1
144,45,227,515,15,1
145,45,285,520,15,1
146,-45,204,748,15,1
147,-45,207,536,15,1
148,60,243,696,15,1
149,15,208,352,15,1
150,45,0,738,15,1
151,45,246,369,15,1
152,-45,253,791,15,1
153,0,261,446,15,1
154,-45,259,301,15,1
155,60,243,478,15,1
156,-60,208,631,15,1
157,45,316,501,15,1
158,-60,264,560,15,1
159,15,221,310,15,1
160,-30,196,669,15,1
161,0,227,607,15,1
162,-30,210,692,15,1
163,-45,259,516,15,1
164,-30,218,330,15,1
165,-45,252,548,15,1
166,30,237,720,15,1
167,-30,261,390,15,1
168,45,224,522,15,1
169,60,242,393,15,1
170,15,249,408,15,1
171,60,215,595,15,1
172,-45,346,454,15,1
173,-30,288,312,15,1
174,30,207,758,15,1
175,-15,230,547,15,1
176,45,192,659,15,1
177,0,210,512,15,1
178,-45,221,528,15,1
179,-60,297,379,15,1
180,-60,243,511,15,1
181,60,235,458,15,1
182,30,241,325,15,1
183,-15,191,575,15,1
184,60,235,366,15,1
185,60,235,360,15,1
186,30,216,563,15,1
187,-60,223,741,15,1
188,-30,214,360,15,1
189,-60,280,344,15,1
190,45,199,505,15,1
191,30,196,741,15,1
192,30,188,738,15,1
193,-30,294,361,15,1
194,-45,277,561,15,1
195,-45,229,517,15,1
196,30,271,371,15,1
197,-45,393,508,15,1
198,0,254,466,15,1
199,30,193,750,15,1
200,15,217,339,15,1
201,-45,234,439,15,1
