trial, dist, RT, interstim, Brightness, NumberofLED
1,0,280,441,15,1
2,0,405,790,15,1
3,30,281,585,15,1
4,-15,256,563,15,1
5,45,235,648,15,1
6,30,317,674,15,1
7,-45,604,701,15,1
8,45,292,448,15,1
9,30,283,603,15,1
10,-30,223,620,15,1
11,45,260,324,15,1
12,45,233,334,15,1
13,15,232,653,15,1
14,45,331,580,15,1
15,-15,213,661,15,1
16,0,211,384,15,1
17,-15,211,600,15,1
18,60,204,652,15,1
19,30,192,682,15,1
20,30,200,543,15,1
21,-30,195,640,15,1
22,60,330,303,15,1
23,-15,191,570,15,1
24,-45,154,781,15,1
25,-45,232,489,15,1
26,60,200,577,15,1
27,-15,207,331,15,1
28,-30,171,796,15,1
29,60,348,724,15,1
30,30,206,607,15,1
31,60,269,615,15,1
32,-15,310,327,15,1
33,0,198,378,15,1
34,45,161,748,15,1
35,-45,223,669,15,1
36,-30,245,746,15,1
37,45,228,613,15,1
38,45,378,391,15,1
39,-60,248,322,15,1
40,60,208,631,15,1
41,-15,383,506,15,1
42,45,237,427,15,1
43,45,248,321,15,1
44,15,224,597,15,1
45,0,206,623,15,1
46,-15,172,610,15,1
47,0,243,636,15,1
48,30,294,579,15,1
49,60,385,623,15,1
50,30,365,310,15,1
51,-45,237,378,15,1
52,-60,277,473,15,1
53,45,219,581,15,1
54,-15,205,601,15,1
55,-45,186,759,15,1
56,45,356,523,15,1
57,-45,237,372,15,1
58,0,258,452,15,1
59,-15,269,368,15,1
60,60,365,303,15,1
61,-30,381,388,15,1
62,0,233,500,15,1
63,-45,198,790,15,1
64,-60,258,754,15,1
65,-15,327,386,15,1
66,-30,281,584,15,1
67,-60,406,336,15,1
68,45,212,610,15,1
69,-30,244,778,15,1
70,-60,485,593,15,1
71,45,332,590,15,1
72,60,332,491,15,1
73,45,221,514,15,1
74,-30,233,499,15,1
75,30,188,527,15,1
76,0,278,335,15,1
77,-60,175,704,15,1
78,-15,479,516,15,1
79,45,227,789,15,1
80,-30,245,463,15,1
81,60,282,664,15,1
82,-30,278,747,15,1
83,60,251,374,15,1
84,30,291,658,15,1
85,60,232,778,15,1
86,-60,235,516,15,1
87,0,250,688,15,1
88,-45,267,324,15,1
89,0,221,536,15,1
90,15,203,774,15,1
91,30,199,391,15,1
92,30,235,600,15,1
93,0,273,551,15,1
94,-30,222,640,15,1
95,-45,357,366,15,1
96,45,235,490,15,1
97,15,194,448,15,1
98,15,183,796,15,1
99,45,270,385,15,1
100,60,297,315,15,1
101,-45,234,505,15,1
102,45,193,687,15,1
103,30,356,675,15,1
104,0,233,636,15,1
105,-60,169,559,15,1
106,60,206,683,15,1
107,45,354,386,15,1
108,60,328,752,15,1
109,-15,216,546,15,1
110,0,227,527,15,1
111,-15,256,514,15,1
112,15,185,770,15,1
113,15,256,439,15,1
114,-15,285,562,15,1
115,60,214,626,15,1
116,-60,224,755,15,1
117,-15,214,749,15,1
118,60,365,600,15,1
119,0,251,670,15,1
120,-30,198,782,15,1
121,-60,243,668,15,1
122,-45,258,350,15,1
123,-15,208,580,15,1
124,-15,259,759,15,1
125,-15,240,558,15,1
126,30,0,748,15,1
127,-60,343,769,15,1
128,-15,168,655,15,1
129,15,217,537,15,1
130,60,229,350,15,1
131,15,384,365,15,1
132,0,246,494,15,1
133,60,200,530,15,1
134,30,203,509,15,1
135,-45,149,752,15,1
136,15,348,314,15,1
137,60,255,721,15,1
138,15,240,317,15,1
139,-45,196,704,15,1
140,-15,186,445,15,1
141,-60,294,391,15,1
142,45,209,493,15,1
143,60,275,770,15,1
144,-15,209,440,15,1
145,30,211,393,15,1
146,-30,282,662,15,1
147,45,254,382,15,1
148,60,193,555,15,1
149,-45,193,652,15,1
150,45,104,796,15,1
151,-30,219,463,15,1
152,30,263,532,15,1
153,-60,257,483,15,1
154,45,376,464,15,1
155,-45,173,519,15,1
156,-15,213,378,15,1
157,45,195,691,15,1
158,30,236,480,15,1
159,30,204,426,15,1
160,-15,227,753,15,1
161,45,200,578,15,1
162,0,189,488,15,1
163,45,206,654,15,1
164,-60,207,648,15,1
165,30,187,443,15,1
166,60,248,369,15,1
167,-45,185,754,15,1
168,30,244,371,15,1
169,60,286,470,15,1
170,60,342,404,15,1
171,-30,182,575,15,1
172,-45,201,661,15,1
173,30,262,544,15,1
174,60,360,673,15,1
175,-30,215,467,15,1
176,-60,243,301,15,1
177,15,214,429,15,1
178,15,227,699,15,1
179,0,224,341,15,1
180,-30,260,429,15,1
181,30,253,770,15,1
182,-45,244,557,15,1
183,60,379,458,15,1
184,-30,233,495,15,1
185,30,241,728,15,1
186,-60,280,609,15,1
187,-60,269,397,15,1
188,0,292,589,15,1
189,30,219,578,15,1
190,-30,225,407,15,1
191,-30,334,570,15,1
192,-60,246,315,15,1
193,-60,259,313,15,1
194,-45,241,755,15,1
195,45,212,393,15,1
196,-30,210,681,15,1
197,-60,252,319,15,1
198,-45,222,305,15,1
199,-60,246,791,15,1
200,-15,241,317,15,1
201,15,230,321,15,1
