trial, dist, RT, interstim, Brightness, NumberofLED
1,-60,0,511,15,2
2,-15,404,782,15,1
3,45,567,378,15,2
4,60,470,683,15,3
5,30,463,745,15,3
6,30,427,469,15,3
7,-45,645,513,15,2
8,-45,486,609,15,3
9,30,437,380,15,3
10,30,489,371,15,2
11,-45,367,471,15,1
12,45,0,357,15,2
13,60,762,414,15,1
14,30,494,349,15,3
15,0,428,562,15,3
16,-60,574,687,15,2
17,-15,430,746,15,3
18,0,338,594,15,2
19,-45,0,421,15,2
20,60,0,680,15,2
21,0,379,537,15,3
22,30,432,602,15,1
23,-15,397,546,15,3
24,-60,0,611,15,2
25,60,489,398,15,3
26,-15,424,629,15,2
27,30,417,405,15,3
28,-30,404,589,15,2
29,45,488,571,15,1
30,15,414,471,15,1
31,0,326,554,15,1
32,-15,380,412,15,1
33,-45,329,450,15,1
34,0,284,600,15,2
35,0,317,438,15,2
36,0,320,444,15,1
37,15,337,318,15,1
38,30,455,672,15,3
39,15,503,790,15,3
40,60,507,327,15,1
41,-30,647,459,15,3
42,15,364,419,15,2
43,-15,514,628,15,2
44,-15,366,776,15,1
45,45,457,649,15,1
46,45,509,732,15,3
47,45,556,464,15,2
48,15,463,566,15,3
49,30,360,313,15,1
50,-30,473,718,15,3
51,-45,0,363,15,2
52,60,530,369,15,2
53,15,382,324,15,3
54,-60,745,685,15,2
55,45,571,301,15,3
56,-60,459,640,15,1
57,-15,448,562,15,3
58,-45,481,716,15,3
59,45,473,661,15,3
60,45,648,746,15,2
61,60,672,650,15,1
62,60,925,567,15,2
63,15,516,721,15,2
64,-45,511,631,15,3
65,45,737,354,15,1
66,-60,568,336,15,3
67,-15,443,538,15,3
68,30,401,531,15,1
69,60,470,522,15,1
70,0,396,688,15,3
71,-30,375,385,15,1
72,45,546,415,15,2
73,45,600,418,15,1
74,30,421,602,15,3
75,30,446,742,15,3
76,-30,375,490,15,3
77,45,598,470,15,2
78,-30,382,440,15,1
79,0,333,604,15,1
80,-60,699,525,15,2
81,15,370,788,15,2
82,60,695,631,15,2
83,-30,469,664,15,3
84,-15,412,586,15,2
85,15,366,329,15,1
86,-30,433,418,15,2
87,30,468,704,15,3
88,-30,515,398,15,2
89,-30,366,650,15,1
90,-45,383,433,15,1
91,60,444,591,15,1
92,0,365,719,15,2
93,-30,428,355,15,1
94,45,555,699,15,3
95,30,469,612,15,1
96,-45,520,624,15,2
97,-30,481,346,15,3
98,45,657,439,15,2
99,30,382,561,15,1
100,45,418,506,15,1
101,30,401,506,15,2
102,0,355,465,15,1
103,-15,457,581,15,2
104,-15,406,469,15,2
105,60,578,747,15,3
106,-15,401,314,15,2
107,60,462,431,15,1
108,-15,447,740,15,3
109,45,418,452,15,1
110,45,421,615,15,3
111,-30,442,463,15,2
112,-60,490,575,15,1
113,-15,507,538,15,3
114,60,920,591,15,2
115,0,408,794,15,2
116,-30,435,312,15,3
117,60,519,511,15,1
118,-15,399,358,15,1
119,-60,525,740,15,3
120,15,389,691,15,2
121,15,470,475,15,3
122,-30,491,751,15,2
123,60,0,609,15,2
124,15,398,466,15,2
125,0,375,362,15,1
126,60,437,309,15,3
127,60,0,627,15,1
128,30,406,656,15,1
129,-45,435,390,15,3
130,-30,523,380,15,2
131,60,429,519,15,3
132,60,636,754,15,1
133,30,442,683,15,1
134,-15,416,308,15,1
135,-30,445,360,15,2
136,45,0,663,15,2
137,-60,494,592,15,1
138,-15,403,380,15,2
139,-30,517,370,15,1
140,0,387,508,15,2
141,-15,413,331,15,1
142,60,391,468,15,3
143,15,457,309,15,3
144,60,471,588,15,1
145,60,0,796,15,2
146,60,540,402,15,3
147,0,365,494,15,3
148,15,371,356,15,1
149,-15,410,732,15,3
150,45,402,452,15,1
151,45,0,481,15,2
152,-15,410,492,15,2
153,-30,361,760,15,1
154,45,447,396,15,3
155,60,445,325,15,1
156,-15,454,560,15,2
157,0,327,537,15,3
158,60,433,415,15,3
159,15,396,694,15,2
160,45,555,454,15,1
161,-45,517,321,15,1
162,-15,391,631,15,2
163,-15,405,491,15,1
164,-45,483,719,15,3
165,15,489,761,15,3
166,-30,414,392,15,1
167,-45,364,352,15,1
168,-60,441,443,15,1
169,-60,654,368,15,2
170,-30,486,560,15,2
171,-30,453,361,15,1
172,60,467,779,15,3
173,-15,526,602,15,3
174,-15,458,796,15,3
175,-45,565,711,15,3
176,0,371,481,15,3
177,-30,0,311,15,2
178,45,411,645,15,3
179,-45,420,681,15,3
180,-30,610,442,15,1
181,15,470,345,15,2
182,60,465,659,15,3
183,-30,437,789,15,1
184,60,512,306,15,3
185,-45,459,400,15,3
186,-60,0,681,15,3
187,-45,413,502,15,1
188,15,484,581,15,3
189,60,601,611,15,2
190,-15,393,422,15,1
191,60,477,309,15,3
192,30,401,407,15,1
193,-15,503,712,15,3
194,-15,426,795,15,3
195,60,435,508,15,3
196,-45,490,684,15,1
197,-45,454,312,15,3
198,15,462,467,15,3
199,-15,379,765,15,1
200,-15,571,346,15,2
201,-30,357,644,15,1
202,45,449,453,15,1
203,45,585,334,15,2
204,60,435,323,15,1
205,30,465,449,15,2
206,-15,432,775,15,3
207,0,422,357,15,3
208,45,514,719,15,2
209,-15,394,322,15,1
210,0,407,638,15,2
211,30,566,653,15,2
212,45,398,702,15,3
213,15,448,693,15,2
