trial, dist, RT, interstim, Brightness, NumberofLED
1,-60,0,783,15,3
2,45,565,797,15,3
3,15,352,702,15,3
4,-45,405,435,15,3
5,-45,380,365,15,3
6,60,579,751,15,2
7,30,420,447,15,1
8,-15,634,727,15,2
9,-30,460,728,15,3
10,-30,448,700,15,1
11,15,472,671,15,3
12,15,454,789,15,1
13,45,522,439,15,2
14,-15,526,712,15,2
15,45,518,431,15,1
16,-15,592,707,15,2
17,45,566,617,15,1
18,0,495,629,15,3
19,60,438,396,15,1
20,-60,583,337,15,1
21,15,641,590,15,2
22,15,593,653,15,2
23,-15,405,785,15,1
24,0,0,379,15,2
25,-30,616,652,15,2
26,15,755,667,15,2
27,-45,645,646,15,3
28,-30,708,360,15,1
29,45,676,444,15,1
30,-60,663,796,15,2
31,-60,731,449,15,1
32,60,0,678,15,3
33,60,729,733,15,3
34,0,589,318,15,1
35,-15,571,601,15,3
36,-15,429,306,15,1
37,0,442,436,15,2
38,30,439,689,15,1
39,45,629,544,15,3
40,30,613,378,15,2
41,60,497,566,15,3
42,0,448,534,15,2
43,-15,448,764,15,2
44,30,583,722,15,3
45,30,0,468,15,2
46,-60,0,742,15,2
47,-30,525,574,15,3
48,30,589,683,15,1
49,-60,665,437,15,3
50,45,603,443,15,1
51,-45,630,769,15,2
52,45,0,740,15,2
53,30,423,668,15,2
54,-45,723,622,15,2
55,-15,514,343,15,3
56,0,412,352,15,3
57,0,397,686,15,2
58,-60,630,581,15,3
59,45,732,785,15,2
60,-60,0,610,15,1
61,15,0,404,15,2
62,-15,517,499,15,3
63,-45,0,678,15,2
64,-60,427,539,15,3
65,45,447,708,15,1
66,-30,356,494,15,1
67,0,404,469,15,2
68,15,631,792,15,3
69,-60,0,695,15,2
70,-30,491,350,15,3
71,45,472,467,15,1
72,30,378,516,15,2
73,-60,455,627,15,3
74,-15,546,749,15,3
75,30,484,556,15,3
76,30,336,528,15,3
77,-45,593,393,15,1
78,-30,549,641,15,3
79,-45,452,378,15,3
80,30,0,612,15,2
81,-30,345,509,15,1
82,-60,0,548,15,2
83,0,0,548,15,3
84,30,443,556,15,3
85,30,0,538,15,2
86,0,468,316,15,2
87,15,403,727,15,1
88,-15,594,739,15,2
89,30,376,375,15,1
90,0,448,540,15,2
91,-60,402,411,15,1
92,15,489,342,15,3
93,60,458,704,15,3
94,45,497,746,15,1
95,0,443,543,15,3
96,0,455,541,15,1
97,45,706,775,15,3
98,60,0,570,15,2
99,45,585,420,15,3
100,0,326,659,15,1
101,-30,534,735,15,3
102,45,555,795,15,3
103,0,492,748,15,1
104,-60,338,377,15,1
105,-60,0,460,15,2
106,-45,0,691,15,2
107,-30,441,713,15,1
108,45,0,586,15,2
109,30,539,719,15,1
110,-45,0,768,15,2
111,-45,590,754,15,3
112,-30,499,653,15,3
113,60,494,316,15,3
114,-30,493,450,15,3
115,0,480,768,15,3
116,30,460,301,15,3
117,-45,622,665,15,1
118,-60,640,696,15,1
119,-60,0,412,15,2
120,45,466,498,15,3
121,60,464,311,15,3
122,-15,399,620,15,3
123,-45,504,768,15,3
124,60,492,342,15,1
125,-60,0,311,15,3
126,-30,424,414,15,3
127,15,384,625,15,1
128,-45,394,685,15,3
129,15,367,590,15,1
130,-45,0,568,15,2
131,-15,373,328,15,3
132,30,690,550,15,2
133,-45,434,563,15,1
134,-45,438,659,15,3
135,-60,632,658,15,1
136,30,0,794,15,2
137,-15,0,373,15,2
138,-30,0,643,15,3
139,0,0,533,15,1
140,-30,481,524,15,3
141,-60,569,355,15,3
142,0,0,678,15,2
143,-15,427,564,15,1
144,60,0,517,15,2
145,-60,689,623,15,3
146,-60,439,306,15,3
147,45,434,361,15,3
148,-45,538,665,15,1
149,-60,334,700,15,1
150,-30,0,319,15,2
151,-45,0,662,15,2
152,0,458,708,15,3
153,-45,486,508,15,3
154,15,286,635,15,3
155,-60,0,332,15,2
