trial, dist, RT, interstim, Brightness, NumberofLED
1,0,0,388,15,1
2,15,713,785,15,3
3,45,0,362,15,2
4,0,581,512,15,1
5,0,0,334,15,3
6,0,588,620,15,2
7,-30,0,665,15,3
8,-15,675,792,15,3
9,-15,585,717,15,2
10,60,0,400,15,2
11,30,649,568,15,2
12,30,628,794,15,2
13,-45,838,654,15,2
14,15,0,792,15,2
15,15,593,709,15,3
16,30,492,735,15,3
17,30,620,439,15,2
18,30,736,395,15,1
19,-60,975,681,15,3
20,0,734,366,15,3
21,-15,608,509,15,1
22,-30,679,778,15,3
23,-30,665,352,15,2
24,-30,582,727,15,3
25,-15,542,442,15,3
26,-15,550,348,15,1
27,-30,784,404,15,3
28,-30,657,476,15,2
29,-45,0,788,15,2
30,-15,705,739,15,3
31,45,674,328,15,2
32,60,700,732,15,2
33,0,468,591,15,2
34,0,0,449,15,3
35,-15,528,431,15,1
36,30,554,500,15,1
37,15,0,670,15,3
38,-45,951,390,15,2
39,30,616,746,15,3
40,60,694,422,15,3
41,-45,870,672,15,3
42,-60,861,772,15,3
43,15,531,401,15,2
44,45,981,417,15,2
45,-30,786,404,15,2
46,-30,725,675,15,3
47,-45,516,316,15,3
48,-60,0,590,15,2
49,30,415,619,15,1
50,30,818,305,15,3
51,-45,672,320,15,1
52,-30,864,584,15,2
53,60,678,709,15,2
54,45,600,748,15,1
55,-15,771,656,15,3
56,45,622,704,15,1
57,0,532,618,15,3
58,15,366,580,15,1
59,60,629,798,15,1
60,-15,617,701,15,3
61,15,733,797,15,2
62,15,657,526,15,2
63,-15,465,648,15,1
64,15,0,428,15,2
65,0,585,410,15,2
66,-15,632,475,15,3
67,-60,428,772,15,1
68,-30,420,747,15,1
69,0,631,664,15,3
70,-15,564,316,15,3
71,-60,665,439,15,1
72,15,522,549,15,3
73,15,545,483,15,1
74,15,464,477,15,1
75,15,440,452,15,1
76,-30,554,584,15,1
77,-30,544,792,15,3
78,30,437,630,15,1
79,15,500,321,15,3
80,60,941,455,15,3
81,-30,589,798,15,3
82,0,582,374,15,2
83,60,0,483,15,2
84,30,617,698,15,3
85,45,782,394,15,3
86,-15,544,522,15,1
87,60,0,751,15,2
88,15,403,453,15,1
89,-15,373,693,15,1
90,-15,533,499,15,2
91,0,411,608,15,1
92,30,520,594,15,2
93,15,540,660,15,3
94,-45,459,408,15,1
95,60,0,412,15,2
96,45,808,492,15,1
97,45,851,622,15,3
98,-30,404,564,15,1
99,15,594,537,15,2
100,-15,384,519,15,1
101,30,705,560,15,2
102,30,636,462,15,3
103,60,579,357,15,3
104,30,528,700,15,2
105,-15,0,492,15,3
106,-30,0,564,15,2
107,45,562,354,15,1
108,60,526,465,15,1
109,0,435,725,15,2
110,-30,628,400,15,2
111,0,675,501,15,3
112,0,479,684,15,3
113,-45,551,391,15,1
114,0,452,714,15,2
115,-30,585,564,15,2
116,-60,0,313,15,3
117,-15,501,455,15,2
118,30,483,436,15,1
119,0,496,517,15,1
120,60,739,538,15,1
121,60,0,345,15,2
122,-45,435,795,15,1
123,45,906,385,15,2
124,45,0,476,15,3
125,30,0,767,15,1
126,-60,0,682,15,2
127,-15,742,309,15,2
128,30,907,760,15,1
129,0,850,546,15,3
130,-30,819,466,15,3
131,0,605,706,15,2
132,-15,377,543,15,1
133,60,565,616,15,1
134,-45,917,328,15,2
135,-45,0,570,15,2
136,-60,824,391,15,2
137,0,454,356,15,2
138,-15,841,414,15,3
139,30,458,782,15,3
140,-15,577,545,15,2
141,15,440,368,15,2
142,30,0,567,15,3
143,60,0,446,15,3
144,45,637,739,15,3
145,-15,620,551,15,1
146,60,0,416,15,2
147,-15,627,426,15,1
148,30,772,793,15,2
149,45,636,673,15,1
150,-30,710,303,15,2
151,-60,672,542,15,3
152,60,735,545,15,3
153,-60,795,703,15,2
154,15,492,533,15,2
155,-60,878,394,15,3
156,0,628,722,15,3
157,-60,0,444,15,2
158,-15,798,720,15,2
159,60,760,630,15,3
160,-45,612,528,15,3
161,45,0,303,15,3
162,15,827,350,15,3
163,45,0,700,15,2
164,60,684,356,15,3
165,-45,991,505,15,2
166,-15,551,429,15,3
167,30,619,648,15,3
168,60,808,631,15,3
169,0,392,700,15,3
170,45,739,761,15,3
171,-60,0,452,15,3
172,-15,500,600,15,1
173,-15,426,607,15,2
174,15,380,393,15,1
175,45,0,397,15,2
176,60,865,676,15,3
177,-30,673,643,15,2
178,30,517,562,15,1
179,15,531,302,15,1
180,30,0,671,15,2
181,0,344,554,15,2
182,45,0,430,15,2
183,-30,512,509,15,2
184,-60,0,354,15,2
185,60,865,548,15,2
186,30,405,419,15,2
187,0,508,638,15,3
188,-15,379,684,15,1
189,15,547,662,15,1
190,-15,620,615,15,3
191,60,619,513,15,3
192,-45,569,417,15,3
193,60,472,792,15,1
194,60,358,589,15,3
195,-15,506,705,15,2
196,30,540,552,15,3
197,60,784,722,15,2
198,45,482,304,15,1
199,45,650,507,15,3
200,-45,507,475,15,3
201,0,451,561,15,2
202,45,0,499,15,3
203,60,586,633,15,3
204,-30,494,355,15,1
205,30,458,367,15,1
206,-45,737,427,15,2
207,-15,429,595,15,1
208,30,513,780,15,1
209,45,482,657,15,1
210,-45,398,466,15,1
211,-45,795,744,15,3
212,-15,634,591,15,2
213,-60,847,579,15,3
214,-45,809,747,15,2
215,45,0,474,15,3
216,-15,0,714,15,2
217,15,575,417,15,2
218,0,522,535,15,2
219,-60,562,725,15,1
220,60,0,566,15,3
221,-15,541,302,15,2
222,-30,465,358,15,1
223,-30,463,700,15,1
224,-15,702,364,15,2
225,15,529,335,15,2
226,-15,494,768,15,1
227,-45,750,461,15,3
228,-45,908,579,15,2
229,30,0,476,15,2
230,60,838,587,15,3
231,45,600,557,15,1
232,45,595,589,15,1
233,-15,610,402,15,3
234,-45,619,677,15,3
235,-30,579,547,15,3
236,-60,0,365,15,2
237,45,539,549,15,1
238,-30,545,724,15,3
239,45,0,554,15,2
240,30,759,347,15,3
