trial, dist, RT, interstim, Brightness, NumberofLED
1,-30,457,695,15,2
2,60,678,796,15,1
3,15,520,406,15,3
4,0,489,574,15,3
5,-15,469,679,15,3
6,-45,613,623,15,3
7,-15,517,505,15,3
8,-15,541,314,15,1
9,-60,0,630,15,2
10,45,663,531,15,2
11,45,700,518,15,1
12,15,452,414,15,1
13,-30,600,633,15,1
14,30,587,466,15,3
15,0,394,455,15,2
16,45,719,480,15,3
17,-45,681,486,15,3
18,0,404,548,15,2
19,15,481,702,15,3
20,45,657,415,15,1
21,-45,700,584,15,3
22,-60,716,302,15,1
23,-45,639,682,15,1
24,30,483,660,15,3
25,-60,0,577,15,3
26,45,629,515,15,1
27,-15,502,682,15,2
28,-30,574,570,15,3
29,15,440,658,15,1
30,-30,511,643,15,3
31,30,498,369,15,3
32,15,477,614,15,3
33,-60,676,307,15,1
34,45,893,593,15,3
35,60,614,302,15,3
36,30,482,711,15,3
37,60,726,317,15,1
38,30,803,621,15,1
39,-45,509,734,15,1
40,30,0,674,15,2
41,-45,760,432,15,3
42,45,715,780,15,2
43,-15,552,367,15,3
44,0,392,732,15,2
45,-30,485,486,15,2
46,-45,544,349,15,1
47,-30,487,487,15,1
48,15,497,774,15,2
49,45,839,588,15,3
50,15,483,484,15,1
51,-45,713,645,15,3
52,15,512,403,15,3
53,0,334,498,15,2
54,30,620,727,15,2
55,-30,556,469,15,3
56,0,435,651,15,3
57,-45,632,337,15,2
58,-15,380,327,15,1
59,15,543,642,15,3
60,-45,700,360,15,3
61,15,483,682,15,3
62,30,660,418,15,2
63,30,568,497,15,2
64,-45,680,701,15,3
65,30,739,498,15,1
66,-60,991,362,15,2
67,-15,692,304,15,3
68,-60,0,395,15,2
69,0,449,356,15,1
70,60,635,702,15,1
71,-15,498,492,15,2
72,-15,594,759,15,2
73,-30,450,644,15,1
74,60,0,602,15,3
75,15,537,447,15,3
76,30,500,376,15,1
77,60,610,348,15,1
78,-30,522,543,15,2
79,-45,601,429,15,1
80,60,0,323,15,2
81,-30,647,331,15,3
82,-15,482,733,15,3
83,-15,503,512,15,2
84,-15,409,529,15,2
85,-15,536,555,15,3
86,-30,498,371,15,2
87,60,600,782,15,1
88,45,748,728,15,1
89,30,590,475,15,2
90,-60,964,759,15,2
91,30,458,778,15,2
92,-30,0,350,15,2
93,-45,719,308,15,2
94,45,783,558,15,3
95,0,431,319,15,1
96,-30,588,726,15,3
97,30,672,353,15,2
98,0,455,693,15,2
99,15,456,484,15,1
100,60,759,341,15,3
101,-60,0,466,15,3
102,-15,526,681,15,2
103,60,0,580,15,3
104,-15,432,598,15,1
105,45,604,549,15,2
106,45,731,330,15,3
107,30,578,585,15,3
108,-60,773,555,15,2
109,0,417,445,15,3
110,-45,532,450,15,1
111,45,732,590,15,3
112,0,0,488,15,2
113,-60,594,645,15,1
114,30,567,514,15,3
115,0,0,372,15,2
116,15,542,404,15,1
117,-30,466,490,15,1
118,15,436,550,15,3
119,-30,526,724,15,1
120,60,719,623,15,2
121,15,559,761,15,3
122,60,0,438,15,3
123,-30,527,632,15,2
124,30,611,632,15,2
125,45,756,368,15,3
126,60,612,641,15,1
127,60,451,486,15,1
128,-15,367,716,15,1
129,-45,0,349,15,3
130,30,539,669,15,3
131,15,446,592,15,1
132,0,427,719,15,1
133,-15,549,396,15,2
134,-45,615,402,15,2
135,60,612,672,15,1
136,-60,0,770,15,3
137,60,618,396,15,1
138,30,617,385,15,1
139,60,0,381,15,3
140,-45,691,666,15,1
141,0,410,612,15,2
142,-15,525,691,15,2
143,0,720,544,15,1
144,-60,0,595,15,3
145,15,482,756,15,1
146,-15,439,690,15,2
147,0,360,599,15,2
148,-60,0,429,15,3
149,-45,0,681,15,3
150,30,614,498,15,3
151,15,482,732,15,1
152,45,542,491,15,1
153,15,400,516,15,1
154,-15,401,385,15,1
155,15,379,304,15,1
156,30,526,702,15,3
157,60,484,358,15,1
158,15,401,590,15,1
159,-15,367,445,15,1
160,60,0,754,15,3
161,-45,421,542,15,1
162,-60,507,779,15,1
163,30,596,719,15,3
164,0,487,569,15,3
165,30,526,725,15,2
166,-60,438,796,15,1
167,-30,540,346,15,2
168,-15,374,600,15,1
169,45,558,428,15,2
170,-45,792,306,15,3
171,60,517,610,15,2
172,-60,0,303,15,3
173,30,547,701,15,3
174,-15,532,573,15,3
175,30,0,692,15,1
176,60,716,544,15,2
177,15,519,593,15,3
178,-15,511,739,15,1
179,0,430,436,15,2
180,-45,681,740,15,2
181,-15,503,688,15,1
182,-60,768,599,15,2
183,-45,851,398,15,3
184,0,398,591,15,1
185,-30,600,524,15,2
186,-15,547,585,15,1
187,45,824,522,15,3
188,60,0,442,15,3
189,-60,0,680,15,2
190,-45,698,440,15,3
191,-30,516,684,15,3
192,60,533,335,15,2
193,-60,0,326,15,3
194,-30,532,343,15,1
195,30,534,493,15,3
196,0,452,770,15,2
197,30,540,639,15,3
198,15,730,479,15,3
199,60,765,775,15,1
200,60,0,722,15,3
201,-45,613,508,15,2
202,45,604,431,15,1
203,15,427,465,15,2
204,-30,580,644,15,2
205,-15,453,667,15,2
206,30,484,644,15,1
207,15,339,638,15,2
208,60,707,454,15,2
209,15,0,757,15,1
210,-15,613,453,15,1
211,15,587,656,15,3
212,15,485,375,15,1
213,-45,481,451,15,1
214,30,593,723,15,2
215,-15,521,646,15,2
216,-45,541,765,15,1
217,45,790,421,15,3
218,30,530,300,15,1
219,0,464,649,15,3
220,45,490,520,15,1
221,0,374,505,15,1
222,-60,0,499,15,2
223,-15,537,770,15,3
224,-15,687,329,15,2
225,0,382,567,15,1
226,-60,0,316,15,2
227,-60,618,353,15,1
228,-60,760,589,15,1
