trial, dist, RT, interstim, Brightness, NumberofLED
1,30,220,590,15,1
2,-30,209,455,15,1
3,-10,218,746,15,1
4,-40,213,497,15,1
5,-40,100,710,15,1
6,10,0,754,15,1
7,30,358,640,15,1
8,-10,276,396,15,1
9,40,219,641,15,1
10,-30,191,331,15,1
11,20,231,621,15,1
12,0,205,556,15,1
13,30,198,771,15,1
14,-10,221,533,15,1
15,20,286,677,15,1
16,10,214,452,15,1
17,-30,373,664,15,1
18,-20,223,782,15,1
19,0,0,564,15,1
20,-20,209,533,15,1
21,-20,0,665,15,1
22,-10,161,677,15,1
23,-10,210,615,15,1
24,30,397,312,15,1
25,40,259,640,15,1
26,-40,0,334,15,1
27,-10,200,571,15,1
28,-20,469,454,15,1
29,-10,275,314,15,1
30,40,177,700,15,1
31,40,251,637,15,1
32,10,281,413,15,1
33,0,0,449,15,1
34,20,343,315,15,1
35,40,258,472,15,1
36,-10,246,664,15,1
37,20,385,583,15,1
38,-20,236,773,15,1
39,-20,215,679,15,1
40,10,191,777,15,1
41,40,272,326,15,1
42,-20,80,542,15,1
43,-30,111,730,15,1
44,-10,151,537,15,1
45,20,305,550,15,1
46,-40,276,416,15,1
47,-10,158,745,15,1
48,-30,277,367,15,1
49,-30,415,406,15,1
50,20,452,475,15,1
51,-30,59,594,15,1
52,-40,108,559,15,1
53,-30,298,457,15,1
54,-30,172,601,15,1
55,-20,187,656,15,1
56,-30,0,799,15,1
57,-20,261,405,15,1
58,30,316,328,15,1
59,10,230,629,15,1
60,20,162,769,15,1
61,20,241,642,15,1
62,0,288,391,15,1
63,0,356,527,15,1
64,10,158,312,15,1
65,-40,0,796,15,1
66,40,271,381,15,1
67,20,201,648,15,1
68,-10,221,440,15,1
69,-40,10,740,15,1
70,30,0,383,15,1
71,-20,280,373,15,1
72,0,147,726,15,1
73,20,183,788,15,1
74,20,1,374,15,1
75,20,0,551,15,1
76,-30,263,467,15,1
77,30,123,449,15,1
78,30,184,554,15,1
79,20,98,633,15,1
80,30,238,627,15,1
81,-10,238,542,15,1
82,-40,228,407,15,1
83,40,0,577,15,1
84,-10,230,387,15,1
85,-20,282,699,15,1
86,0,254,518,15,1
87,10,208,758,15,1
88,10,257,367,15,1
89,-30,184,657,15,1
90,-30,304,300,15,1
91,-20,185,581,15,1
92,-40,210,598,15,1
93,0,210,705,15,1
94,0,209,396,15,1
95,-40,265,450,15,1
96,30,202,775,15,1
97,10,219,506,15,1
98,-30,192,552,15,1
99,30,262,367,15,1
100,-40,279,334,15,1
101,20,170,641,15,1
102,0,126,661,15,1
103,0,203,618,15,1
104,10,0,775,15,1
105,0,254,370,15,1
106,20,456,310,15,1
107,-30,231,444,15,1
108,40,275,323,15,1
109,20,229,439,15,1
110,-40,198,318,15,1
111,-10,193,343,15,1
112,-20,219,310,15,1
113,30,182,423,15,1
114,0,254,397,15,1
115,20,53,723,15,1
116,-10,213,392,15,1
117,-40,0,553,15,1
118,40,223,310,15,1
119,30,109,619,15,1
120,30,203,583,15,1
121,10,160,727,15,1
122,-30,237,616,15,1
123,10,225,515,15,1
124,30,270,498,15,1
125,-30,324,412,15,1
126,-30,329,726,15,1
127,-30,340,449,15,1
128,30,236,788,15,1
129,-20,224,540,15,1
130,20,49,771,15,1
131,10,195,714,15,1
132,30,260,726,15,1
133,10,287,343,15,1
134,-30,176,733,15,1
135,30,383,407,15,1
136,20,199,673,15,1
137,30,56,766,15,1
138,10,0,614,15,1
139,20,0,779,15,1
140,-40,0,645,15,1
141,40,254,599,15,1
142,-30,429,302,15,1
143,40,217,662,15,1
144,-30,228,373,15,1
145,-20,127,681,15,1
146,0,94,580,15,1
147,40,122,681,15,1
148,0,228,301,15,1
149,-10,208,708,15,1
150,10,429,514,15,1
151,30,221,705,15,1
152,0,220,654,15,1
153,20,281,321,15,1
154,-10,239,487,15,1
155,0,0,742,15,1
156,30,228,326,15,1
157,40,272,442,15,1
158,-20,207,511,15,1
159,0,213,543,15,1
160,-20,197,629,15,1
161,-30,0,604,15,1
162,-30,124,491,15,1
163,30,226,434,15,1
164,-10,196,433,15,1
165,30,262,395,15,1
166,-10,0,791,15,1
167,-10,191,552,15,1
168,0,321,742,15,1
169,-30,248,478,15,1
170,-20,343,425,15,1
171,0,331,534,15,1
172,40,424,523,15,1
173,-20,229,614,15,1
174,30,422,315,15,1
175,0,215,326,15,1
176,20,231,377,15,1
177,-30,414,667,15,1
178,40,361,320,15,1
179,10,305,779,15,1
180,20,328,794,15,1
181,10,288,649,15,1
182,-10,178,799,15,1
183,20,277,475,15,1
184,0,247,448,15,1
185,-30,260,766,15,1
186,-20,440,330,15,1
187,-30,251,644,15,1
188,20,237,454,15,1
189,20,213,557,15,1
190,40,220,741,15,1
191,30,273,502,15,1
192,-10,214,447,15,1
193,-40,61,757,15,1
194,-40,221,533,15,1
195,-40,354,497,15,1
196,-40,219,736,15,1
197,-40,296,620,15,1
198,-10,246,589,15,1
199,40,309,314,15,1
200,-40,210,752,15,1
201,-20,305,303,15,1
202,30,294,510,15,1
203,40,252,338,15,1
204,30,226,603,15,1
205,20,81,696,15,1
206,20,209,771,15,1
207,-40,243,522,15,1
208,-10,257,697,15,1
209,-40,604,728,15,1
210,30,353,324,15,1
211,-30,211,417,15,1
212,-30,230,497,15,1
213,-20,252,577,15,1
214,-10,145,377,15,1
215,10,0,537,15,1
216,-10,263,559,15,1
217,-10,274,302,15,1
218,-10,217,619,15,1
219,40,345,583,15,1
