trial, dist, RT, interstim, Brightness, NumberofLED
1,10,270,406,15,1
2,0,174,794,15,1
3,20,272,365,15,1
4,10,42,606,15,1
5,0,227,776,15,1
6,-30,183,600,15,1
7,10,0,795,15,1
8,-30,201,544,15,1
9,10,215,391,15,1
10,-40,144,671,15,1
11,-40,164,574,15,1
12,20,253,499,15,1
13,0,188,699,15,1
14,-10,177,769,15,1
15,20,194,784,15,1
16,20,248,659,15,1
17,0,228,424,15,1
18,-20,229,328,15,1
19,-40,95,636,15,1
20,0,190,651,15,1
21,10,153,618,15,1
22,-40,262,330,15,1
23,0,178,479,15,1
24,-30,106,763,15,1
25,30,236,608,15,1
26,20,247,448,15,1
27,20,170,794,15,1
28,-20,250,473,15,1
29,0,198,727,15,1
30,-20,239,528,15,1
31,10,235,322,15,1
32,-10,112,711,15,1
33,10,185,592,15,1
34,-10,244,322,15,1
35,0,185,461,15,1
36,-30,217,397,15,1
37,-10,205,584,15,1
38,-10,180,324,15,1
39,20,155,588,15,1
40,30,181,783,15,1
41,-40,343,353,15,1
42,40,197,681,15,1
43,-30,205,491,15,1
44,-30,207,581,15,1
45,-20,244,360,15,1
46,20,195,799,15,1
47,30,211,722,15,1
48,-20,180,659,15,1
49,-40,263,778,15,1
50,-10,250,356,15,1
51,-40,255,312,15,1
52,0,200,525,15,1
53,-10,198,636,15,1
54,0,176,559,15,1
55,30,186,488,15,1
56,20,172,788,15,1
57,0,183,777,15,1
58,10,203,717,15,1
59,20,177,648,15,1
60,0,163,655,15,1
61,40,227,610,15,1
62,20,211,540,15,1
63,-10,171,751,15,1
64,10,196,742,15,1
65,-30,244,652,15,1
66,40,255,355,15,1
67,30,180,735,15,1
68,40,187,723,15,1
69,-10,193,553,15,1
70,-20,191,369,15,1
71,-40,181,766,15,1
72,40,247,382,15,1
73,-10,174,562,15,1
74,10,182,374,15,1
75,30,243,346,15,1
76,20,240,581,15,1
77,20,199,571,15,1
78,30,182,451,15,1
79,-40,248,308,15,1
80,40,208,682,15,1
81,10,172,499,15,1
82,0,221,305,15,1
83,30,206,729,15,1
84,-10,204,444,15,1
85,0,194,326,15,1
86,-10,181,565,15,1
87,-10,146,680,15,1
88,-40,223,537,15,1
89,10,206,479,15,1
90,-20,196,621,15,1
91,10,202,394,15,1
92,-20,238,467,15,1
93,0,186,399,15,1
94,0,187,537,15,1
95,-10,202,743,15,1
96,20,206,673,15,1
97,-30,179,499,15,1
98,0,194,798,15,1
99,40,258,444,15,1
100,-40,200,646,15,1
101,-10,244,328,15,1
102,10,148,798,15,1
103,30,206,619,15,1
104,10,179,793,15,1
105,10,163,715,15,1
106,-20,241,441,15,1
107,-10,171,790,15,1
108,-20,235,361,15,1
109,-40,226,593,15,1
110,20,239,483,15,1
111,40,110,716,15,1
112,40,223,544,15,1
113,-20,232,463,15,1
114,20,224,474,15,1
115,20,228,645,15,1
116,-40,320,300,15,1
117,20,181,721,15,1
118,20,235,618,15,1
119,20,179,635,15,1
120,0,176,651,15,1
121,20,232,441,15,1
122,0,173,576,15,1
123,-30,184,492,15,1
124,30,226,332,15,1
125,30,245,406,15,1
126,-40,62,541,15,1
127,-30,218,590,15,1
128,-30,176,728,15,1
129,-20,218,434,15,1
130,-20,171,482,15,1
131,40,195,788,15,1
132,-20,203,614,15,1
133,40,253,630,15,1
134,-10,0,786,15,1
135,-30,200,595,15,1
136,0,183,566,15,1
137,30,274,462,15,1
138,-20,263,609,15,1
139,-40,178,621,15,1
140,-10,175,487,15,1
141,40,189,671,15,1
142,20,242,432,15,1
143,-40,190,574,15,1
144,-30,229,366,15,1
145,10,176,368,15,1
146,40,171,792,15,1
147,40,261,576,15,1
148,-40,188,728,15,1
149,0,173,612,15,1
150,30,210,468,15,1
151,-40,253,454,15,1
152,40,306,302,15,1
153,-10,200,418,15,1
154,30,106,498,15,1
155,30,147,616,15,1
156,0,176,684,15,1
157,10,179,621,15,1
158,10,205,336,15,1
159,20,204,792,15,1
160,-30,227,476,15,1
161,-30,234,530,15,1
162,0,207,490,15,1
163,0,198,559,15,1
164,-40,256,436,15,1
165,20,215,431,15,1
166,20,207,534,15,1
167,-20,242,705,15,1
168,-30,247,438,15,1
169,-10,29,771,15,1
170,-10,223,679,15,1
171,30,190,785,15,1
172,30,269,352,15,1
173,40,284,515,15,1
174,20,200,538,15,1
175,40,253,345,15,1
176,-20,164,461,15,1
177,30,173,738,15,1
178,0,238,726,15,1
179,-20,191,671,15,1
180,20,202,496,15,1
181,20,10,659,15,1
182,-20,215,506,15,1
183,30,232,366,15,1
184,40,171,663,15,1
185,-40,224,642,15,1
186,40,232,573,15,1
187,0,171,771,15,1
188,-10,206,593,15,1
189,10,239,488,15,1
190,-30,219,723,15,1
191,0,189,627,15,1
192,-30,219,519,15,1
193,-10,185,790,15,1
194,-30,274,485,15,1
195,-20,222,512,15,1
196,30,0,503,15,1
197,0,178,646,15,1
198,0,0,577,15,1
199,-10,244,304,15,1
200,-10,39,376,15,1
201,-10,56,586,15,1
202,40,217,385,15,1
203,-20,63,707,15,1
204,-10,0,782,15,1
205,-30,220,478,15,1
