4trial, dist, RT, interstim, Brightness, Response, NumberofLED
1,20,292,479,15,1,1
2,0,126,734,15,1,1
3,20,148,457,15,1,1
4,0,383,654,15,1,1
5,40,68,762,15,1,1
6,40,171,612,15,1,1
7,40,182,669,15,1,1
8,20,166,652,15,1,1
9,20,3,723,15,1,1
10,-10,276,348,15,1,1
11,40,337,419,15,1,1
12,30,169,541,15,1,1
13,-30,145,574,15,1,1
14,40,1,761,15,1,1
15,-20,164,563,15,1,1
16,-20,159,478,15,1,1
17,20,132,658,15,1,1
18,-20,178,514,15,1,1
19,10,55,614,15,1,1
20,-40,180,410,15,1,1
21,0,192,338,15,1,1
22,0,3,610,15,1,1
23,-30,146,356,15,1,1
24,10,182,314,15,1,1
25,40,164,341,15,1,1
26,-40,749,419,15,1,1
27,20,185,303,15,1,1
28,10,51,779,15,1,1
29,-10,144,570,15,1,1
30,-30,18,683,15,1,1
31,-40,172,493,15,1,1
32,10,203,410,15,1,1
33,-10,66,518,15,1,1
34,-10,89,487,15,1,1
35,-20,5,492,15,1,1
36,10,394,783,15,1,1
37,10,169,392,15,1,1
38,30,424,773,15,1,1
39,-20,173,700,15,1,1
40,0,31,542,15,1,1
41,-40,97,551,15,1,1
42,-20,133,595,15,1,1
43,-30,165,495,15,1,1
44,30,0,696,15,1,1
45,10,146,686,15,1,1
46,10,170,732,15,1,1
47,-30,224,509,15,1,1
48,20,185,506,15,1,1
49,10,212,328,15,1,1
50,30,194,414,15,1,1
51,-10,247,345,15,1,1
52,10,194,370,15,1,1
53,10,0,694,15,1,1
54,40,180,736,15,1,1
55,-10,277,356,15,1,1
56,-40,145,469,15,1,1
57,10,0,695,15,1,1
58,-40,0,657,15,1,1
59,-40,198,381,15,1,1
60,-20,154,643,15,1,1
61,-30,283,504,15,1,1
62,10,217,311,15,1,1
63,-30,154,565,15,1,1
64,10,153,555,15,1,1
65,-30,175,429,15,1,1
66,20,54,759,15,1,1
67,40,195,353,15,1,1
68,0,250,339,15,1,1
69,10,408,780,15,1,1
70,20,180,757,15,1,1
71,-30,244,404,15,1,1
72,-10,158,418,15,1,1
73,30,150,437,15,1,1
74,30,981,690,15,1,1
75,40,335,676,15,1,1
76,-40,217,368,15,1,1
77,30,171,759,15,1,1
78,-30,208,312,15,1,1
79,0,140,484,15,1,1
80,20,187,351,15,1,1
81,10,142,393,15,1,1
82,-40,154,449,15,1,1
83,-40,168,560,15,1,1
84,-40,0,706,15,1,1
85,-40,195,613,15,1,1
86,10,28,725,15,1,1
87,0,203,687,15,1,1
88,40,339,313,15,1,1
89,-10,235,491,15,1,1
90,-10,12,759,15,1,1
91,30,188,495,15,1,1
92,-20,139,719,15,1,1
93,-20,156,446,15,1,1
94,20,131,649,15,1,1
95,10,144,606,15,1,1
96,10,160,736,15,1,1
97,-20,288,400,15,1,1
98,0,147,351,15,1,1
99,20,195,416,15,1,1
100,-30,183,798,15,1,1
101,-20,213,759,15,1,1
102,-20,293,366,15,1,1
103,10,209,341,15,1,1
104,40,189,508,15,1,1
105,20,201,621,15,1,1
106,-10,90,726,15,1,1
107,20,244,398,15,1,1
108,20,367,434,15,1,1
109,20,0,760,15,1,1
110,-40,351,731,15,1,1
111,40,205,561,15,1,1
112,-10,119,684,15,1,1
113,0,0,684,15,1,1
114,40,233,534,15,1,1
115,-40,186,591,15,1,1
116,40,438,326,15,1,1
117,40,67,730,15,1,1
118,30,248,346,15,1,1
119,-30,237,514,15,1,1
120,-20,221,551,15,1,1
121,10,238,349,15,1,1
122,-40,213,341,15,1,1
123,-40,227,546,15,1,1
124,-30,155,541,15,1,1
125,-10,262,382,15,1,1
126,20,463,400,15,1,1
127,-20,123,744,15,1,1
128,30,232,609,15,1,1
129,40,248,600,15,1,1
130,20,170,710,15,1,1
131,0,156,497,15,1,1
132,30,214,425,15,1,1
133,-30,164,667,15,1,1
134,-10,230,370,15,1,1
135,20,166,588,15,1,1
136,-30,124,662,15,1,1
137,30,272,339,15,1,1
138,40,0,777,15,1,1
139,-20,186,307,15,1,1
140,-20,203,328,15,1,1
141,-10,186,563,15,1,1
142,-10,192,649,15,1,1
143,10,155,558,15,1,1
144,10,174,554,15,1,1
145,0,10,686,15,1,1
146,30,0,678,15,1,1
147,40,247,376,15,1,1
148,20,114,658,15,1,1
149,-40,243,706,15,1,1
150,0,181,630,15,1,1
151,40,175,770,15,1,1
152,-20,276,320,15,1,1
153,10,164,437,15,1,1
154,-20,240,322,15,1,1
155,-40,184,486,15,1,1
156,-10,411,321,15,1,1
157,-30,173,760,15,1,1
158,40,327,535,15,1,1
159,30,189,689,15,1,1
160,20,254,593,15,1,1
161,40,315,491,15,1,1
162,30,194,332,15,1,1
163,30,226,383,15,1,1
164,10,143,704,15,1,1
165,10,231,387,15,1,1
166,0,273,329,15,1,1
167,10,160,557,15,1,1
168,20,146,582,15,1,1
169,10,135,645,15,1,1
170,0,58,756,15,1,1
171,30,347,787,15,1,1
172,40,295,702,15,1,1
173,-20,254,346,15,1,1
174,0,107,714,15,1,1
175,40,263,411,15,1,1
176,20,242,625,15,1,1
177,10,191,705,15,1,1
178,30,311,678,15,1,1
179,20,170,715,15,1,1
180,20,112,660,15,1,1
181,10,45,766,15,1,1
182,-30,245,470,15,1,1
183,-40,214,475,15,1,1
184,0,1,773,15,1,1
185,-20,151,767,15,1,1
186,-20,233,373,15,1,1
187,-30,154,355,15,1,1
188,0,193,551,15,1,1
189,40,388,589,15,1,1
190,-40,178,393,15,1,1
191,10,142,662,15,1,1
192,-10,150,335,15,1,1
193,30,0,755,15,1,1
194,-20,119,738,15,1,1
195,40,228,473,15,1,1
196,30,166,472,15,1,1
197,-30,145,458,15,1,1
198,0,170,634,15,1,1
199,10,124,540,15,1,1
200,10,140,400,15,1,1
