trial, dist, RT, interstim, Brightness, NumberofLED
1,-40,338,511,15,1
2,-10,325,782,15,1
3,30,253,378,15,1
4,40,233,683,15,1
5,20,226,745,15,1
6,20,203,469,15,1
7,-30,122,513,15,1
8,-30,215,609,15,1
9,20,238,380,15,1
10,20,220,371,15,1
11,-30,159,471,15,1
12,30,203,357,15,1
13,40,228,414,15,1
14,20,242,349,15,1
15,0,103,562,15,1
16,-40,0,687,15,1
17,-10,189,746,15,1
18,0,272,594,15,1
19,-30,261,421,15,1
20,40,234,680,15,1
21,0,272,537,15,1
22,20,226,602,15,1
23,-10,238,546,15,1
24,-40,280,611,15,1
25,40,268,398,15,1
26,-10,106,629,15,1
27,20,212,405,15,1
28,-20,189,589,15,1
29,30,207,571,15,1
30,10,225,471,15,1
31,0,191,554,15,1
32,-10,209,412,15,1
33,-30,219,450,15,1
34,0,279,600,15,1
35,0,299,438,15,1
36,0,329,444,15,1
37,10,276,318,15,1
38,20,254,672,15,1
39,10,246,790,15,1
40,40,331,327,15,1
41,-20,226,459,15,1
42,10,257,419,15,1
43,-10,240,628,15,1
44,-10,221,776,15,1
45,30,277,649,15,1
46,30,318,732,15,1
47,30,314,464,15,1
48,10,259,566,15,1
49,20,214,313,15,1
50,-20,208,718,15,1
51,-30,212,363,15,1
52,40,36,369,15,1
53,10,238,324,15,1
54,-40,239,685,15,1
55,30,252,301,15,1
56,-40,226,640,15,1
57,-10,271,562,15,1
58,-30,283,716,15,1
59,30,293,661,15,1
60,30,245,746,15,1
61,40,238,650,15,1
62,40,251,567,15,1
63,10,274,721,15,1
64,-30,238,631,15,1
65,30,396,354,15,1
66,-40,279,336,15,1
67,-10,259,538,15,1
68,20,246,531,15,1
69,40,296,522,15,1
70,0,212,688,15,1
71,-20,406,385,15,1
72,30,257,415,15,1
73,30,236,418,15,1
74,20,802,602,15,1
75,20,230,742,15,1
76,-20,258,490,15,1
77,30,287,470,15,1
78,-20,305,440,15,1
79,0,328,604,15,1
80,-40,297,525,15,1
81,10,290,788,15,1
82,40,398,631,15,1
83,-20,299,664,15,1
84,-10,238,586,15,1
85,10,432,329,15,1
86,-20,302,418,15,1
87,20,306,704,15,1
88,-20,309,398,15,1
89,-20,255,650,15,1
90,-30,248,433,15,1
91,40,278,591,15,1
92,0,272,719,15,1
93,-20,252,355,15,1
94,30,263,699,15,1
95,20,273,612,15,1
96,-30,251,624,15,1
97,-20,309,346,15,1
98,30,288,439,15,1
99,20,277,561,15,1
100,30,313,506,15,1
101,20,274,506,15,1
102,0,459,465,15,1
103,-10,292,581,15,1
104,-10,214,469,15,1
105,40,0,747,15,1
106,-10,286,314,15,1
107,40,279,431,15,1
108,-10,266,740,15,1
109,30,224,452,15,1
110,30,83,615,15,1
111,-20,205,463,15,1
112,-40,76,575,15,1
113,-10,248,538,15,1
114,40,329,591,15,1
115,0,224,794,15,1
116,-20,305,312,15,1
117,40,203,511,15,1
118,-10,261,358,15,1
119,-40,421,740,15,1
120,10,244,691,15,1
121,10,239,475,15,1
122,-20,234,751,15,1
123,40,396,609,15,1
124,10,389,466,15,1
125,0,282,362,15,1
126,40,339,309,15,1
127,40,221,627,15,1
128,20,244,656,15,1
129,-30,258,390,15,1
130,-20,229,380,15,1
131,40,319,519,15,1
132,40,252,754,15,1
133,20,277,683,15,1
134,-10,285,308,15,1
135,-20,267,360,15,1
136,30,287,663,15,1
137,-40,395,592,15,1
138,-10,273,380,15,1
139,-20,242,370,15,1
140,0,258,508,15,1
141,-10,252,331,15,1
142,40,251,468,15,1
143,10,262,309,15,1
144,40,257,588,15,1
145,40,347,796,15,1
146,40,287,402,15,1
147,0,197,494,15,1
148,10,152,356,15,1
149,-10,0,732,15,1
150,30,232,452,15,1
151,30,245,481,15,1
152,-10,271,492,15,1
153,-20,225,760,15,1
154,30,302,396,15,1
155,40,249,325,15,1
156,-10,240,560,15,1
157,0,292,537,15,1
158,40,274,415,15,1
159,10,217,694,15,1
160,30,274,454,15,1
161,-30,350,321,15,1
162,-10,240,631,15,1
163,-10,169,491,15,1
164,-30,245,719,15,1
165,10,37,761,15,1
166,-20,243,392,15,1
167,-30,251,352,15,1
168,-40,244,443,15,1
169,-40,238,368,15,1
170,-20,233,560,15,1
171,-20,280,361,15,1
172,40,257,779,15,1
173,-10,257,602,15,1
174,-10,322,796,15,1
175,-30,296,711,15,1
176,0,370,481,15,1
177,-20,469,311,15,1
178,30,251,645,15,1
179,-30,270,681,15,1
180,-20,445,442,15,1
181,10,452,345,15,1
182,40,0,659,15,1
183,-20,232,789,15,1
184,40,281,306,15,1
185,-30,245,400,15,1
186,-40,236,681,15,1
187,-30,211,502,15,1
188,10,202,581,15,1
189,40,240,611,15,1
190,-10,232,422,15,1
191,40,283,309,15,1
192,20,210,407,15,1
193,-10,251,712,15,1
194,-10,254,795,15,1
195,40,367,508,15,1
196,-30,245,684,15,1
197,-30,286,312,15,1
198,10,206,467,15,1
199,-10,227,765,15,1
200,-10,274,346,15,1
201,-20,217,644,15,1
202,30,230,453,15,1
203,30,230,334,15,1
204,40,273,323,15,1
