trial, dist, RT, interstim, Brightness, NumberofLED
1,0,301,669,15,1
2,-40,263,628,15,1
3,40,243,761,15,1
4,-30,260,311,15,1
5,-10,211,528,15,1
6,0,226,392,15,1
7,0,206,767,15,1
8,0,279,683,15,1
9,-40,247,755,15,1
10,10,241,791,15,1
11,-10,230,624,15,1
12,-40,226,755,15,1
13,20,223,628,15,1
14,-30,250,717,15,1
15,-40,202,792,15,1
16,-30,290,364,15,1
17,-40,213,729,15,1
18,40,240,470,15,1
19,40,221,707,15,1
20,10,229,739,15,1
21,-30,219,440,15,1
22,-40,224,752,15,1
23,-10,308,331,15,1
24,20,208,513,15,1
25,40,273,382,15,1
26,20,244,686,15,1
27,40,245,590,15,1
28,-20,245,672,15,1
29,40,193,704,15,1
30,-20,244,782,15,1
31,-20,197,720,15,1
32,20,220,561,15,1
33,30,193,448,15,1
34,40,253,677,15,1
35,-20,222,359,15,1
36,-10,222,384,15,1
37,40,203,495,15,1
38,30,203,374,15,1
39,30,231,568,15,1
40,-30,250,580,15,1
41,20,192,546,15,1
42,40,213,665,15,1
43,30,291,332,15,1
44,-20,223,798,15,1
45,10,237,304,15,1
46,-30,212,600,15,1
47,-40,251,379,15,1
48,20,256,315,15,1
49,20,193,499,15,1
50,-30,253,732,15,1
51,-30,213,472,15,1
52,-30,230,602,15,1
53,20,195,590,15,1
54,-20,224,517,15,1
55,20,218,364,15,1
56,-20,211,311,15,1
57,-40,203,748,15,1
58,0,280,587,15,1
59,-10,259,597,15,1
60,20,209,792,15,1
61,0,195,634,15,1
62,-40,193,568,15,1
63,0,249,333,15,1
64,-40,232,346,15,1
65,-10,263,385,15,1
66,40,214,573,15,1
67,40,256,758,15,1
68,-40,243,496,15,1
69,-40,229,605,15,1
70,-30,267,431,15,1
71,-30,221,508,15,1
72,-30,200,390,15,1
73,20,236,305,15,1
74,20,49,499,15,1
75,20,219,713,15,1
76,-40,274,797,15,1
77,20,208,781,15,1
78,-20,305,315,15,1
79,-40,228,515,15,1
80,10,219,729,15,1
81,-30,225,443,15,1
82,-30,209,330,15,1
83,20,201,490,15,1
84,-10,230,688,15,1
85,30,209,569,15,1
86,20,208,618,15,1
87,10,256,312,15,1
88,40,211,336,15,1
89,40,226,311,15,1
90,-20,242,667,15,1
91,10,218,571,15,1
92,10,200,477,15,1
93,20,231,702,15,1
94,-20,272,593,15,1
95,-10,212,435,15,1
96,10,210,573,15,1
97,-40,235,666,15,1
98,0,222,312,15,1
99,30,268,526,15,1
100,-20,232,662,15,1
101,10,288,776,15,1
102,0,227,357,15,1
103,10,237,508,15,1
104,30,325,728,15,1
105,-40,245,493,15,1
106,-30,233,306,15,1
107,0,197,604,15,1
108,0,238,759,15,1
109,10,249,779,15,1
110,-20,229,521,15,1
111,10,238,723,15,1
112,-10,255,692,15,1
113,-30,302,308,15,1
114,-40,248,703,15,1
115,40,224,505,15,1
116,0,182,619,15,1
117,-30,208,595,15,1
118,-10,213,762,15,1
119,0,189,498,15,1
120,-40,222,475,15,1
121,20,212,332,15,1
122,40,231,481,15,1
123,-30,224,421,15,1
124,-40,230,383,15,1
125,30,235,609,15,1
126,-10,159,643,15,1
127,-10,208,771,15,1
128,40,265,773,15,1
129,-20,198,337,15,1
130,-40,220,662,15,1
131,-30,231,556,15,1
132,10,253,698,15,1
133,-10,224,503,15,1
134,40,305,658,15,1
135,-10,204,454,15,1
136,10,210,683,15,1
137,10,241,440,15,1
138,20,220,701,15,1
139,-40,248,541,15,1
140,20,219,429,15,1
141,-10,257,367,15,1
142,-20,311,783,15,1
143,-30,274,515,15,1
144,-10,295,658,15,1
145,10,222,713,15,1
146,-30,246,758,15,1
147,0,273,368,15,1
148,-10,234,746,15,1
149,-10,210,684,15,1
150,-10,211,576,15,1
151,40,255,429,15,1
152,10,250,316,15,1
153,-30,226,382,15,1
154,-40,270,578,15,1
155,-40,259,512,15,1
156,-30,206,592,15,1
157,-10,281,700,15,1
158,10,205,754,15,1
159,-20,268,392,15,1
160,20,232,304,15,1
161,-30,190,534,15,1
162,-40,271,704,15,1
163,-20,251,730,15,1
164,0,423,647,15,1
165,-40,240,529,15,1
166,0,232,337,15,1
167,10,253,752,15,1
168,40,363,541,15,1
169,-30,289,588,15,1
170,-20,217,437,15,1
171,30,237,560,15,1
172,40,265,620,15,1
173,-30,264,479,15,1
174,-20,239,334,15,1
175,30,260,794,15,1
176,30,232,773,15,1
177,-40,269,523,15,1
178,-30,237,348,15,1
179,40,282,377,15,1
180,-20,212,793,15,1
181,10,229,600,15,1
182,40,284,439,15,1
183,-20,282,661,15,1
184,-30,221,590,15,1
185,-30,240,485,15,1
186,0,236,479,15,1
187,-20,256,639,15,1
188,40,271,474,15,1
189,-10,195,503,15,1
190,0,252,413,15,1
191,20,316,695,15,1
192,-30,274,340,15,1
193,10,276,302,15,1
194,30,252,771,15,1
195,-40,282,339,15,1
196,-40,255,641,15,1
197,30,220,575,15,1
198,-30,231,711,15,1
199,10,191,510,15,1
200,10,179,658,15,1
