trial, dist, RT, interstim, Brightness, NumberofLED
1,30,255,590,15,1
2,-30,296,455,15,1
3,-10,250,746,15,1
4,-40,294,497,15,1
5,-40,349,710,15,1
6,10,195,754,15,1
7,30,239,640,15,1
8,-10,306,396,15,1
9,40,271,641,15,1
10,-30,458,331,15,1
11,20,301,621,15,1
12,0,248,556,15,1
13,30,337,771,15,1
14,-10,276,533,15,1
15,20,275,677,15,1
16,10,275,452,15,1
17,-30,291,664,15,1
18,-20,279,782,15,1
19,0,342,564,15,1
20,-20,319,533,15,1
21,-20,363,665,15,1
22,-10,295,677,15,1
23,-10,324,615,15,1
24,30,394,312,15,1
25,40,313,640,15,1
26,-40,302,334,15,1
27,-10,285,571,15,1
28,-20,307,454,15,1
29,-10,431,314,15,1
30,40,485,700,15,1
31,40,398,637,15,1
32,10,323,413,15,1
33,0,270,449,15,1
34,20,382,315,15,1
35,40,347,472,15,1
36,-10,208,664,15,1
37,20,406,583,15,1
38,-20,264,773,15,1
39,-20,264,679,15,1
40,10,292,777,15,1
41,40,574,326,15,1
42,-20,375,542,15,1
43,-30,243,730,15,1
44,-10,284,537,15,1
45,20,333,550,15,1
46,-40,256,416,15,1
47,-10,266,745,15,1
48,-30,300,367,15,1
49,-30,319,406,15,1
50,20,385,475,15,1
51,-30,288,594,15,1
52,-40,302,559,15,1
53,-30,336,457,15,1
54,-30,286,601,15,1
55,-20,342,656,15,1
56,-30,387,799,15,1
57,-20,315,405,15,1
58,30,358,328,15,1
59,10,234,629,15,1
60,20,320,769,15,1
61,20,259,642,15,1
62,0,313,391,15,1
63,0,258,527,15,1
64,10,342,312,15,1
65,-40,389,796,15,1
66,40,482,381,15,1
67,20,280,648,15,1
68,-10,298,440,15,1
69,-40,285,740,15,1
70,30,508,383,15,1
71,-20,480,373,15,1
72,0,273,726,15,1
73,20,258,788,15,1
74,20,250,374,15,1
75,20,275,551,15,1
76,-30,240,467,15,1
77,30,289,449,15,1
78,30,258,554,15,1
79,20,249,633,15,1
80,30,343,627,15,1
81,-10,244,542,15,1
82,-40,316,407,15,1
83,40,415,577,15,1
84,-10,238,387,15,1
85,-20,258,699,15,1
86,0,294,518,15,1
87,10,260,758,15,1
88,10,340,367,15,1
89,-30,259,657,15,1
90,-30,341,300,15,1
91,-20,313,581,15,1
92,-40,273,598,15,1
93,0,232,705,15,1
94,0,257,396,15,1
95,-40,428,450,15,1
96,30,312,775,15,1
97,10,288,506,15,1
98,-30,247,552,15,1
99,30,338,367,15,1
100,-40,267,334,15,1
101,20,214,641,15,1
102,0,194,661,15,1
103,0,211,618,15,1
104,10,243,775,15,1
105,0,282,370,15,1
106,20,293,310,15,1
107,-30,246,444,15,1
108,40,443,323,15,1
109,20,266,439,15,1
110,-40,324,318,15,1
111,-10,319,343,15,1
112,-20,286,310,15,1
113,30,246,423,15,1
114,0,236,397,15,1
115,20,248,723,15,1
116,-10,269,392,15,1
117,-40,263,553,15,1
118,40,473,310,15,1
119,30,341,619,15,1
120,30,361,583,15,1
121,10,255,727,15,1
122,-30,266,616,15,1
123,10,266,515,15,1
124,30,350,498,15,1
125,-30,257,412,15,1
126,-30,237,726,15,1
127,-30,317,449,15,1
128,30,325,788,15,1
129,-20,300,540,15,1
130,20,260,771,15,1
131,10,265,714,15,1
132,30,294,726,15,1
133,10,474,343,15,1
134,-30,305,733,15,1
135,30,557,407,15,1
136,20,289,673,15,1
137,30,463,766,15,1
138,10,353,614,15,1
139,20,380,779,15,1
140,-40,398,645,15,1
141,40,497,599,15,1
142,-30,356,302,15,1
143,40,465,662,15,1
144,-30,395,373,15,1
145,-20,303,681,15,1
146,0,287,580,15,1
147,40,438,681,15,1
148,0,388,301,15,1
149,-10,223,708,15,1
150,10,311,514,15,1
151,30,503,705,15,1
152,0,229,654,15,1
153,20,344,321,15,1
154,-10,329,487,15,1
155,0,256,742,15,1
156,30,387,326,15,1
157,40,414,442,15,1
158,-20,256,511,15,1
159,0,269,543,15,1
160,-20,302,629,15,1
161,-30,347,604,15,1
162,-30,285,491,15,1
163,30,297,434,15,1
164,-10,298,433,15,1
165,30,378,395,15,1
166,-10,243,791,15,1
167,-10,250,552,15,1
168,0,262,742,15,1
169,-30,330,478,15,1
170,-20,321,425,15,1
171,0,242,534,15,1
172,40,469,523,15,1
173,-20,447,614,15,1
174,30,403,315,15,1
175,0,335,326,15,1
176,20,293,377,15,1
177,-30,278,667,15,1
178,40,520,320,15,1
179,10,330,779,15,1
180,20,251,794,15,1
181,10,277,649,15,1
182,-10,326,799,15,1
183,20,307,475,15,1
184,0,279,448,15,1
185,-30,284,766,15,1
186,-20,318,330,15,1
187,-30,269,644,15,1
188,20,354,454,15,1
189,20,457,557,15,1
190,40,486,741,15,1
191,30,305,502,15,1
192,-10,288,447,15,1
193,-40,264,757,15,1
194,-40,316,533,15,1
195,-40,305,497,15,1
196,-40,330,736,15,1
197,-40,328,620,15,1
198,-10,347,589,15,1
199,40,489,314,15,1
200,-40,343,752,15,1
