trial, dist, RT, interstim, Brightness, NumberofLED
1,20,496,634,15,1
2,-40,522,779,15,1
3,40,413,541,15,1
4,-10,274,501,15,1
5,-40,416,303,15,1
6,40,473,318,15,1
7,-40,409,361,15,1
8,30,205,779,15,1
9,-40,206,690,15,1
10,-10,340,342,15,1
11,10,213,374,15,1
12,40,195,567,15,1
13,10,147,674,15,1
14,20,266,406,15,1
15,-10,267,415,15,1
16,-10,205,639,15,1
17,-40,238,553,15,1
18,-20,200,646,15,1
19,-20,179,661,15,1
20,-10,227,494,15,1
21,0,235,565,15,1
22,-30,189,779,15,1
23,0,196,740,15,1
24,20,306,348,15,1
25,0,323,354,15,1
26,0,208,410,15,1
27,-20,204,553,15,1
28,-20,194,349,15,1
29,0,194,707,15,1
30,30,258,703,15,1
31,-40,238,427,15,1
32,20,327,445,15,1
33,40,321,662,15,1
34,0,210,751,15,1
35,10,222,798,15,1
36,-20,225,388,15,1
37,0,279,466,15,1
38,-20,279,307,15,1
39,0,247,334,15,1
40,-40,221,732,15,1
41,-10,281,746,15,1
42,-40,297,419,15,1
43,-30,236,355,15,1
44,40,223,782,15,1
45,0,248,541,15,1
46,0,208,789,15,1
47,-10,222,465,15,1
48,-20,234,395,15,1
49,30,218,654,15,1
50,30,265,778,15,1
51,-40,272,406,15,1
52,20,435,654,15,1
53,-10,426,792,15,1
54,-10,425,475,15,1
55,-10,263,593,15,1
56,-30,199,576,15,1
57,-10,353,653,15,1
58,20,205,705,15,1
59,20,247,524,15,1
60,-20,173,644,15,1
61,-20,244,503,15,1
62,-20,223,608,15,1
63,30,295,441,15,1
64,10,205,481,15,1
65,-30,85,651,15,1
66,10,245,697,15,1
67,20,405,304,15,1
68,-40,249,462,15,1
69,-20,220,733,15,1
70,0,267,707,15,1
71,0,234,684,15,1
72,-30,342,781,15,1
73,-30,297,353,15,1
74,40,350,374,15,1
75,20,319,532,15,1
76,-30,234,543,15,1
77,-10,240,648,15,1
78,30,219,603,15,1
79,-20,414,534,15,1
80,-20,305,448,15,1
81,30,345,631,15,1
82,-10,219,388,15,1
83,10,228,345,15,1
84,-40,313,474,15,1
85,-10,214,617,15,1
86,-40,356,314,15,1
87,0,268,304,15,1
88,40,225,696,15,1
89,-30,182,754,15,1
90,40,228,514,15,1
91,0,235,721,15,1
92,-20,267,344,15,1
93,30,300,550,15,1
94,0,193,490,15,1
95,10,287,312,15,1
96,-10,209,756,15,1
97,20,0,717,15,1
98,-10,247,314,15,1
99,40,187,585,15,1
100,-10,358,493,15,1
101,30,244,599,15,1
102,-30,244,468,15,1
103,20,254,452,15,1
104,40,318,738,15,1
105,10,232,649,15,1
106,-10,307,564,15,1
107,40,270,508,15,1
108,30,307,515,15,1
109,-20,229,326,15,1
110,0,169,477,15,1
111,-40,302,425,15,1
112,20,235,466,15,1
113,20,291,685,15,1
114,-20,222,615,15,1
115,20,499,671,15,1
116,0,221,664,15,1
117,0,249,714,15,1
118,-30,368,633,15,1
119,20,436,463,15,1
120,-20,357,344,15,1
121,-10,241,605,15,1
122,-10,301,707,15,1
123,40,426,333,15,1
124,0,267,603,15,1
125,-20,386,457,15,1
126,20,283,436,15,1
127,0,210,445,15,1
128,20,292,699,15,1
129,40,597,587,15,1
130,-10,673,794,15,1
131,0,0,479,15,1
132,-10,361,318,15,1
133,0,239,750,15,1
134,10,283,435,15,1
135,-10,258,650,15,1
136,10,296,435,15,1
137,0,256,328,15,1
138,-10,0,493,15,1
139,40,299,605,15,1
140,10,325,324,15,1
141,-20,219,647,15,1
142,-30,215,722,15,1
143,-20,255,672,15,1
144,-30,254,584,15,1
145,0,260,688,15,1
146,30,273,388,15,1
147,10,319,562,15,1
148,10,224,419,15,1
149,30,174,644,15,1
150,-10,228,748,15,1
151,10,253,420,15,1
152,30,251,586,15,1
153,0,234,670,15,1
154,-40,305,612,15,1
155,20,241,756,15,1
156,-20,254,398,15,1
157,-40,209,777,15,1
158,0,305,610,15,1
159,-20,197,758,15,1
160,0,191,527,15,1
161,0,281,339,15,1
162,-40,286,559,15,1
163,40,269,635,15,1
164,0,327,435,15,1
165,-30,289,370,15,1
166,-20,241,502,15,1
167,10,292,703,15,1
168,-20,201,755,15,1
169,10,301,389,15,1
170,10,261,359,15,1
171,-10,238,417,15,1
172,0,313,458,15,1
173,-10,299,450,15,1
174,-40,364,346,15,1
175,-10,264,672,15,1
176,-40,356,433,15,1
177,-20,276,332,15,1
178,40,313,375,15,1
179,20,253,707,15,1
180,20,307,713,15,1
181,20,268,489,15,1
182,-40,311,388,15,1
183,-30,249,569,15,1
184,30,493,758,15,1
185,-10,269,399,15,1
186,-10,265,443,15,1
187,20,199,513,15,1
188,30,319,478,15,1
189,-10,231,560,15,1
190,0,277,729,15,1
191,40,292,752,15,1
192,-20,232,544,15,1
193,40,347,779,15,1
194,30,240,501,15,1
195,0,257,458,15,1
196,10,438,463,15,1
197,-10,378,755,15,1
198,-10,243,630,15,1
199,40,242,523,15,1
200,10,208,570,15,1
201,40,324,374,15,1
202,40,233,760,15,1
203,30,382,535,15,1
