trial, dist, RT, interstim, Brightness, Response, NumberofLED
1,-40,746,449,15,1,1
2,-10,302,302,15,1,1
3,0,228,727,15,1,1
4,0,243,732,15,1,1
5,30,309,357,15,1,1
6,10,318,425,15,1,1
7,20,190,662,15,1,1
8,40,329,327,15,1,1
9,-10,308,657,15,1,1
10,-10,265,589,15,1,1
11,30,353,712,15,1,1
12,-20,289,641,15,1,1
13,30,338,613,15,1,1
14,0,376,352,15,1,1
15,20,280,749,15,1,1
16,-30,246,723,15,1,1
17,30,580,372,15,1,1
18,-40,339,797,15,1,1
19,-10,314,722,15,1,1
20,40,232,787,15,1,1
21,-40,364,528,15,1,1
22,-30,336,301,15,1,1
23,40,323,441,15,1,1
24,-20,296,392,15,1,1
25,40,213,665,15,1,1
26,20,406,453,15,1,1
27,-10,431,533,15,1,1
28,-30,291,697,15,1,1
29,-20,305,739,15,1,1
30,30,272,679,15,1,1
31,0,169,770,15,1,1
32,30,322,754,15,1,1
33,20,543,736,15,1,1
34,30,549,438,15,1,1
35,20,306,582,15,1,1
36,-20,316,323,15,1,1
37,-40,387,668,15,1,1
38,0,314,704,15,1,1
39,-10,332,793,15,1,1
40,0,311,364,15,1,1
41,40,266,358,15,1,1
42,40,214,486,15,1,1
43,40,11,766,15,1,1
44,0,238,514,15,1,1
45,-40,71,702,15,1,1
46,40,27,735,15,1,1
47,-30,249,338,15,1,1
48,0,224,469,15,1,1
49,20,190,406,15,1,1
50,10,187,511,15,1,1
51,-20,161,559,15,1,1
52,-30,156,686,15,1,1
53,-40,195,415,15,1,1
54,-30,239,353,15,1,1
55,-20,133,532,15,1,1
56,-40,0,779,15,1,1
57,-20,255,302,15,1,1
58,-20,171,555,15,1,1
59,30,284,416,15,1,1
60,-20,248,417,15,1,1
61,40,236,476,15,1,1
62,-40,41,689,15,1,1
63,-20,216,704,15,1,1
64,-20,182,648,15,1,1
65,-40,166,757,15,1,1
66,30,193,640,15,1,1
67,10,225,419,15,1,1
68,-30,241,533,15,1,1
69,30,367,787,15,1,1
70,40,552,311,15,1,1
71,-40,235,747,15,1,1
72,30,342,527,15,1,1
73,10,465,421,15,1,1
74,0,297,352,15,1,1
75,-10,244,367,15,1,1
76,30,295,564,15,1,1
77,30,497,345,15,1,1
78,-30,226,423,15,1,1
79,-10,291,569,15,1,1
80,10,192,683,15,1,1
81,20,241,498,15,1,1
82,0,269,366,15,1,1
83,30,136,650,15,1,1
84,-40,218,753,15,1,1
85,30,373,332,15,1,1
86,10,213,726,15,1,1
87,-20,115,729,15,1,1
88,0,206,485,15,1,1
89,40,169,414,15,1,1
90,0,113,744,15,1,1
91,20,204,665,15,1,1
92,30,265,600,15,1,1
93,40,266,565,15,1,1
94,0,281,329,15,1,1
95,20,287,419,15,1,1
96,20,300,462,15,1,1
97,30,106,758,15,1,1
98,0,269,590,15,1,1
99,-10,173,583,15,1,1
100,40,417,367,15,1,1
101,-40,343,427,15,1,1
102,40,207,675,15,1,1
103,-30,255,485,15,1,1
104,-30,256,413,15,1,1
105,10,172,539,15,1,1
106,20,228,330,15,1,1
107,10,198,784,15,1,1
108,-30,263,505,15,1,1
109,20,288,344,15,1,1
110,40,199,373,15,1,1
111,-20,140,666,15,1,1
112,-20,124,706,15,1,1
113,-10,187,351,15,1,1
114,40,0,613,15,1,1
115,-40,157,765,15,1,1
116,-30,82,700,15,1,1
117,-30,146,584,15,1,1
118,-30,953,353,15,1,1
119,40,199,778,15,1,1
120,10,285,317,15,1,1
121,-20,225,501,15,1,1
122,20,234,526,15,1,1
123,-30,4,684,15,1,1
124,-40,176,652,15,1,1
125,-30,143,678,15,1,1
126,-20,192,387,15,1,1
127,20,153,703,15,1,1
128,-10,197,777,15,1,1
129,30,375,308,15,1,1
130,10,322,341,15,1,1
131,20,301,319,15,1,1
132,0,274,591,15,1,1
133,30,273,409,15,1,1
134,20,218,795,15,1,1
135,30,300,445,15,1,1
136,0,268,579,15,1,1
137,40,297,571,15,1,1
138,20,156,453,15,1,1
139,10,294,705,15,1,1
140,-40,302,740,15,1,1
141,30,402,333,15,1,1
142,40,292,536,15,1,1
143,-30,353,318,15,1,1
144,20,368,397,15,1,1
145,0,536,472,15,1,1
146,0,178,718,15,1,1
147,-30,412,463,15,1,1
148,-30,223,303,15,1,1
149,-30,181,710,15,1,1
150,10,292,700,15,1,1
151,-40,335,354,15,1,1
152,-40,198,450,15,1,1
153,-30,193,549,15,1,1
154,40,172,659,15,1,1
155,40,279,442,15,1,1
156,40,145,526,15,1,1
157,40,254,525,15,1,1
158,-10,277,700,15,1,1
159,-30,190,464,15,1,1
160,10,69,755,15,1,1
161,10,272,359,15,1,1
162,10,34,423,15,1,1
163,20,176,431,15,1,1
164,40,0,637,15,1,1
165,20,192,360,15,1,1
166,-30,0,723,15,0,1
167,-10,138,791,15,1,1
168,-30,213,476,15,1,1
169,20,166,739,15,1,1
170,-10,247,355,15,1,1
171,10,686,645,15,1,1
172,40,293,592,15,1,1
173,30,251,358,15,1,1
174,40,197,620,15,1,1
175,-40,200,417,15,1,1
176,20,157,640,15,1,1
177,10,219,757,15,1,1
178,-30,641,426,15,1,1
179,-10,185,384,15,1,1
180,-30,83,698,15,1,1
181,-30,152,753,15,1,1
182,40,192,641,15,1,1
183,-20,181,485,15,1,1
184,10,158,540,15,1,1
185,20,169,673,15,1,1
186,20,141,561,15,1,1
187,10,117,647,15,1,1
188,0,150,795,15,1,1
189,-20,119,635,15,1,1
190,-40,185,326,15,1,1
191,-10,177,445,15,1,1
192,30,0,708,15,1,1
193,40,235,692,15,1,1
194,0,302,431,15,1,1
195,10,682,740,15,1,1
196,10,202,506,15,1,1
197,-20,209,606,15,1,1
198,40,351,653,15,1,1
199,20,0,759,15,1,1
200,10,183,480,15,1,1
201,20,153,695,15,1,1
